Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4014 Htp 15North America C0,DVB-S28PSK75003/4,,Media-Comm,,,,7.9,Digicipher,C Tutt230926,4014 H,tp 15,0,Digicipher,https://www.lyngsat.com/providers/us/Media-Comm.html,,
4014 Htp 15North America C0,DVB-S28PSK75003/4,1,INSP,,MPEG-4/HD,80,81 Eng,Digicipher,,4014 H,tp 15,0,Digicipher,,INSP,https://www.lyngsat.com/tvchannels/us/INSP.html
4014 Htp 15North America C0,DVB-S28PSK75003/4,1,INSP,,MPEG-4/HD,80,81 Eng,Digicipher,,4014 H,tp 15,0,Digicipher,,INSP,https://www.lyngsat.com/tvchannels/us/INSP.html
4014 Htp 15North America C0,DVB-S28PSK75003/4,2,INSP,,MPEG-2/SD,23,24 Eng,Digicipher,,4014 H,tp 15,0,Digicipher,,INSP,https://www.lyngsat.com/tvchannels/us/INSP.html
4014 Htp 15North America C0,DVB-S28PSK75003/4,2,INSP,,MPEG-2/SD,23,24 Eng,Digicipher,,4014 H,tp 15,0,Digicipher,,INSP,https://www.lyngsat.com/tvchannels/us/INSP.html
4014 Htp 15North America C0,DVB-S28PSK75003/4,3,Inspiration TV,,MPEG-2/SD,20,21 Eng,Digicipher,,4014 H,tp 15,0,Digicipher,,Inspiration TV,https://www.lyngsat.com/tvchannels/us/Inspiration-TV.html
4014 Htp 15North America C0,DVB-S28PSK75003/4,3,Inspiration TV,,MPEG-2/SD,20,21 Eng,Digicipher,,4014 H,tp 15,0,Digicipher,,Inspiration TV,https://www.lyngsat.com/tvchannels/us/Inspiration-TV.html
4020 Vtp 16North America C0,DVB-S216APSK342862/3,,,,,,,PowerVu,NOS482230311,4020 V,tp 16,0,PowerVu,,,
4020 Vtp 16North America C0,DVB-S216APSK342862/3,6,Sinclair promo,,HEVC/HD,2010,2000 Eng,,,4020 V,tp 16,0,,,,
4120 Htp 21North America C0,DVB-S28PSK342863/4,4,Sinclair promo,,HEVC/UHD,2010,2000 Eng,,,4120 H,tp 21,0,,,,
4140 Vtp 22North America C0,DVB-S28PSK342863/4,5,Sinclair promo,,HEVC/UHD,2010,2000 Eng,,,4140 V,tp 22,0,,,,
4020 Vtp 16North America C0,DVB-S216APSK342862/3,76,Yes Network,,HEVC/HD,110,100 Eng 102 Spa,PowerVu,,4020 V,tp 16,0,PowerVu,,Yes Network,https://www.lyngsat.com/tvchannels/us/Yes-Network.html
4020 Vtp 16North America C0,DVB-S216APSK342862/3,76,Yes Network,,HEVC/HD,110,100 Eng 102 Spa,PowerVu,,4020 V,tp 16,0,PowerVu,,Yes Network,https://www.lyngsat.com/tvchannels/us/Yes-Network.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,53,Yes Network,,HEVC/HD,310,300 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Yes Network,https://www.lyngsat.com/tvchannels/us/Yes-Network.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,53,Yes Network,,HEVC/HD,310,300 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Yes Network,https://www.lyngsat.com/tvchannels/us/Yes-Network.html
4020 Vtp 16North America C0,DVB-S216APSK342862/3,80,Marquee Sports Network,,MPEG-4/HD,510,500 Eng 502 Spa,PowerVu,,4020 V,tp 16,0,PowerVu,,Marquee Sports Network,https://www.lyngsat.com/tvchannels/us/Marquee-Sports-Network.html
4020 Vtp 16North America C0,DVB-S216APSK342862/3,84,Marquee Sports Network Alternate,,MPEG-4/HD,910,900 Eng 902 Spa,PowerVu,,4020 V,tp 16,0,PowerVu,,Marquee Sports Network Alternate,https://www.lyngsat.com/tvchannels/us/Marquee-Sports-Network-Alternate.html
4040 Htp 17North America C,DVB-S216APSK342862/3,,(Bally Sports feeds),,,,,,Mike 4221119,4040 H,tp 17,,,,,
4060 Vtp 18North America C0,DVB-S216APSK342862/3,,HBO The Works,,,,,Nagravision,NOS482221210,4060 V,tp 18,0,Nagravision,https://www.lyngsat.com/providers/us/HBO-The-Works.html,,
4060 Vtp 18North America C0,DVB-S216APSK342862/3,,HBO The Works,,,,,Nagravision,NOS482221210,4060 V,tp 18,0,Nagravision,https://www.lyngsat.com/providers/us/HBO-The-Works.html,,
4080 Htp 19North America C0,DVB-S216APSK342862/3,,HBO The Works,,,,,Nagravision,NOS482221210,4080 H,tp 19,0,Nagravision,https://www.lyngsat.com/providers/us/HBO-The-Works.html,,
4080 Htp 19North America C0,DVB-S216APSK342862/3,,HBO The Works,,,,,Nagravision,NOS482221210,4080 H,tp 19,0,Nagravision,https://www.lyngsat.com/providers/us/HBO-The-Works.html,,
4060 Vtp 18North America C0,DVB-S216APSK342862/3,100,HBO East,,HEVC/HD,1001,1002 Eng,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO East,https://www.lyngsat.com/tvchannels/us/HBO-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,101,HBO 2 East,,HEVC/HD,1011,1012 Eng1013 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO 2 East,https://www.lyngsat.com/tvchannels/us/HBO-2-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,102,HBO Signature East,,HEVC/HD,1021,1022 Eng1023 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO Signature East,https://www.lyngsat.com/tvchannels/us/HBO-Signature-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,103,HBO Family East,,HEVC/HD,1031,1032 Eng1033 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO Family East,https://www.lyngsat.com/tvchannels/us/HBO-Family-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,104,HBO Latino Este,,HEVC/HD,1041,1042 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO Latino Este,https://www.lyngsat.com/tvchannels/us/HBO-Latino-Este.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,105,Cinemax East,,HEVC/HD,1051,1052 Eng1053 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,Cinemax East,https://www.lyngsat.com/tvchannels/us/Cinemax-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,106,MoreMax East,,HEVC/HD,1061,1062 Eng1063 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,MoreMax East,https://www.lyngsat.com/tvchannels/us/MoreMax-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,107,ActionMax East,,HEVC/HD,1071,1072 Eng1073 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,ActionMax East,https://www.lyngsat.com/tvchannels/us/ActionMax-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,108,HBO Comedy East,,HEVC/HD,1081,1082 Eng1083 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO Comedy East,https://www.lyngsat.com/tvchannels/us/HBO-Comedy-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,109,HBO Zone East,,HEVC/HD,1091,1092 Eng1093 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,HBO Zone East,https://www.lyngsat.com/tvchannels/us/HBO-Zone-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,110,ThrillerMax East,,HEVC/HD,1101,1102 Eng,Nagravision,,4060 V,tp 18,0,Nagravision,,ThrillerMax East,https://www.lyngsat.com/tvchannels/us/ThrillerMax-East.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,111,MovieMax,,HEVC/HD,1111,1112 Eng,Nagravision,,4060 V,tp 18,0,Nagravision,,MovieMax,https://www.lyngsat.com/tvchannels/us/MovieMax.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,112,MaxLatino,,HEVC/HD,1121,1122 Spa,Nagravision,,4060 V,tp 18,0,Nagravision,,MaxLatino,https://www.lyngsat.com/tvchannels/us/MaxLatino.html
4060 Vtp 18North America C0,DVB-S216APSK342862/3,113,[HBO East test card],,HEVC/HD,1131,1132 Eng,,,4060 V,tp 18,0,,,,
4080 Htp 19North America C0,DVB-S216APSK342862/3,115,HBO West,,HEVC/HD,1151,1152 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO West,https://www.lyngsat.com/tvchannels/us/HBO-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,116,HBO 2 West,,HEVC/HD,1163,1164 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO 2 West,https://www.lyngsat.com/tvchannels/us/HBO-2-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,117,HBO Signature West,,HEVC/HD,1171,1172 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO Signature West,https://www.lyngsat.com/tvchannels/us/HBO-Signature-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,118,HBO Family West,,HEVC/HD,1181,1182 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO Family West,https://www.lyngsat.com/tvchannels/us/HBO-Family-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,119,HBO Latino Oeste,,HEVC/HD,1191,1192 Spa,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO Latino Oeste,https://www.lyngsat.com/tvchannels/us/HBO-Latino-Oeste.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,120,Cinemax West,,HEVC/HD,1201,1202 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,Cinemax West,https://www.lyngsat.com/tvchannels/us/Cinemax-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,121,MoreMax West,,HEVC/HD,1211,1212 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,MoreMax West,https://www.lyngsat.com/tvchannels/us/MoreMax-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,122,ActionMax West,,HEVC/HD,1221,1222 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,ActionMax West,https://www.lyngsat.com/tvchannels/us/ActionMax-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,123,HBO Comedy West,,HEVC/HD,1231,1232 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO Comedy West,https://www.lyngsat.com/tvchannels/us/HBO-Comedy-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,124,HBO Zone West,,HEVC/HD,1241,1242 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,HBO Zone West,https://www.lyngsat.com/tvchannels/us/HBO-Zone-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,125,ThrillerMax West,,HEVC/HD,1251,1252 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,ThrillerMax West,https://www.lyngsat.com/tvchannels/us/ThrillerMax-West.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,126,5 StarMax,,HEVC/HD,1261,1262 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,5 StarMax,https://www.lyngsat.com/tvchannels/us/5-StarMax.html
4080 Htp 19North America C0,DVB-S216APSK342862/3,127,OuterMax,,HEVC/HD,1271,1272 Eng,Nagravision,,4080 H,tp 19,0,Nagravision,,OuterMax,https://www.lyngsat.com/tvchannels/us/OuterMax.html
