Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3797 HC,DVB-S15503/4,1,[PANP test card],,65535-1MPEG-2/SD,308,5.5 256,,T Kameda200922,3797 H,,,,,,
3797 HC,DVB-S15503/4,1,Radyo Pilipinas 1,,,,256 Tgl,,,3797 H,,,,,Radyo Pilipinas 1,https://www.lyngsat.com/radiochannels/ph/Radyo-Pilipinas-1.html
12257 VKu0,DVB-S30963/4,1,[JCSAT 5A test card],,176-1MPEG-2/SD,48,5.5  .9,,T Kameda060726,12257 V,,0,,,,
12746 HKu0,DVB-S30963/4,1,[JCSAT 5A test card],,176-1MPEG-2/SD,48,5.5  49,,T Kameda060726,12746 H,,0,,,,
12288 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080309,12288 H,,,,,,
12340 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080309,12340 H,,,,,,
12400 VKu,DVB-S216APSK66022/3,,(feeds),,,,,,T Kameda170723,12400 V,,,,,,
12408 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080501,12408 H,,,,,,
12420 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080420,12420 H,,,,,,
12323 VKu0,DVB-S232APSK133303/4,2700,NTV News 24,,?-?MPEG-4/SD,2048,8001 Jpn,,T Kameda170723,12323 V,,0,,,,
,,,,,,,,,,,,,,,DVB-S232APSK133303/4,
