Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11804 Rtp 5,ISDB-S8PSK288602/3,,BS Digital,,,,,B-CAS,N Kawano120224,11804 R,tp 5,,B-CAS,,,
11843 Rtp 7,ISDB-S316APSK33756.,,BS Digital,,,,,ACAS,Alimudin 328200504,11843 R,tp 7,,ACAS,,,
11919 Rtp 11,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200504,11919 R,tp 11,,B-CAS,,,
12073 Rtp 19,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,T Kameda181008,12073 R,tp 19,,B-CAS,,,
12111 Rtp 21,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,T Kameda180803,12111 R,tp 21,,B-CAS,,,
12149 Rtp 23,ISDB-S8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,12149 R,tp 23,,B-CAS,,,
11843 Rtp 7,ISDB-S316APSK33756.,45168,BS Asahi 4K,,HEVC/UHD,,Jpn,ACAS,,11843 R,tp 7,,ACAS,,BS Asahi 4K,https://www.lyngsat.com/tvchannels/jp/BS-Asahi-4K.html
11843 Rtp 7,ISDB-S316APSK33756.,45169,BS TV Tokyo 4K,,HEVC/UHD,,Jpn,ACAS,,11843 R,tp 7,,ACAS,,BS TV Tokyo 4K,https://www.lyngsat.com/tvchannels/jp/BS-TV-Tokyo-4K.html
11843 Rtp 7,ISDB-S316APSK33756.,45170,BS Nippon TV 4K,,HEVC/UHD,,Jpn,ACAS,,11843 R,tp 7,,ACAS,,BS Nippon TV 4K,https://www.lyngsat.com/tvchannels/jp/BS-Nippon-TV-4K.html
11919 Rtp 11,ISDB-STC8PSK288602/3,231,BS Campus ex,,/HD,,Jpn,B-CAS,,11919 R,tp 11,,B-CAS,,BS Campus ex,https://www.lyngsat.com/tvchannels/jp/BS-Campus-ex.html
11919 Rtp 11,ISDB-STC8PSK288602/3,232,BS Campus on,,/HD,,Jpn,B-CAS,,11919 R,tp 11,,B-CAS,,BS Campus on,https://www.lyngsat.com/tvchannels/jp/BS-Campus-on.html
11919 Rtp 11,ISDB-STC8PSK288602/3,531,The Open University of Japan Radio,,,,Jpn,B-CAS,,11919 R,tp 11,,B-CAS,,The Open University of Japan Radio,https://www.lyngsat.com/radiochannels/jp/The-Open-University-of-Japan-Radio.html
