Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10985 Htp 17Russia0,DVB-S28PSK350073/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240302,10985 H,tp 17,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
10985 Htp 17Russia0,DVB-S28PSK350073/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240302,10985 H,tp 17,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
10985 Htp 17Russia0,DVB-S28PSK350073/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240302,10985 H,tp 17,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
11665 VRussia0,DVB-S449225/6,,STV,,4371-11,,6.5,Irdeto,N Schlammer211002,11665 V,,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
11665 VRussia0,DVB-S449225/6,,STV,,4371-11,,6.5,Irdeto,N Schlammer211002,11665 V,,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
11665 VRussia0,DVB-S449225/6,,STV,,4371-11,,6.5,Irdeto,N Schlammer211002,11665 V,,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
12527 HRussia0,DVB-S28PSK350003/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240302,12527 H,,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
12527 HRussia0,DVB-S28PSK350003/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240302,12527 H,,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
12527 HRussia0,DVB-S28PSK350003/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240302,12527 H,,0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,
10985 Htp 17Russia0,DVB-S28PSK350073/4,2,Mult,,MPEG-4/HD,1001,1110 Rus,Irdeto,,10985 H,tp 17,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
10985 Htp 17Russia0,DVB-S28PSK350073/4,2,Mult,,MPEG-4/HD,1001,1110 Rus,Irdeto,,10985 H,tp 17,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
10985 Htp 17Russia0,DVB-S28PSK350073/4,2,Mult,,MPEG-4/HD,1001,1110 Rus,Irdeto,,10985 H,tp 17,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
11665 VRussia0,DVB-S449225/6,16,Mult,,MPEG-2/SD,216,316 Rus,Irdeto,,11665 V,,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
11665 VRussia0,DVB-S449225/6,16,Mult,,MPEG-2/SD,216,316 Rus,Irdeto,,11665 V,,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
11665 VRussia0,DVB-S449225/6,16,Mult,,MPEG-2/SD,216,316 Rus,Irdeto,,11665 V,,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
12527 HRussia0,DVB-S28PSK350003/4,2,Mult,,MPEG-4/HD,1001,1110 Rus,Irdeto,,12527 H,,0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html
