Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10721 Htp A1Europe B44-46,DVB-S28PSK300003/5,,EClutch,,366-7,,5.5,Conax,S Günes240308,10721 H,tp A1,44-46,Conax,https://www.lyngsat.com/providers/--/EClutch.html,,,True,EClutch
10721 Htp A1Europe B44-46,DVB-S28PSK300003/5,1001,Ginx TV International,,MPEG-4/HD,1011.0,1012 Eng,Conax,new,10721 H,tp A1,44-46,Conax,,Ginx TV International,https://www.lyngsat.com/tvchannels/uk/Ginx-TV-International.html,False,EClutch
10721 Htp A1Europe B44-46,DVB-S28PSK300003/5,1002,Bigg TV,,MPEG-4/HD,1021.0,1022 Eng,Conax,new,10721 H,tp A1,44-46,Conax,,Bigg TV,https://www.lyngsat.com/tvchannels/fr/Bigg-TV.html,False,EClutch
10721 Htp A1Europe B44-46,DVB-S28PSK300003/5,1004,ESR 24x7 Esports Network,,MPEG-4/HD,1041.0,1042 Eng,Conax,new,10721 H,tp A1,44-46,Conax,,ESR 24x7 Esports Network,https://www.lyngsat.com/tvchannels/us/ESR-24x7-Esports-Network.html,False,EClutch
10762 Htp A3Europe B44-46,DVB-S28PSK300003/5,,DigitAlb,,366-20300,,5.5,Conax,S Günes240222,10762 H,tp A3,44-46,Conax,,,,False,EClutch
10804 Htp A5Europe B44-46,DVB-S28PSK299502/3,,DigitAlb,,366-20500,,6.6,Conax,M Al-Taie211102,10804 H,tp A5,44-46,Conax,,,,False,EClutch
10845 Htp A7Europe B44-46,DVB-S28PSK300003/5,,DigitAlb,,366-20700,,5.5,Conax,M Al-Taie240210,10845 H,tp A7,44-46,Conax,,,,False,EClutch
10887 Htp A9Europe B44-46,DVB-S28PSK300003/5,,DigitAlb,,366-20900,,5.5,ConaxIrdetoVideoguard,M Al-Taie240206,10887 H,tp A9,44-46,"Conax,Irdeto,Videoguard",,,,False,EClutch
10762 Htp A3Europe B44-46,DVB-S28PSK300003/5,1000,RTK 1 Sat,,MPEG-4/SD,1001.0,1002 Alb,,,10762 H,tp A3,44-46,,,RTK 1 Sat,https://www.lyngsat.com/tvchannels/rs/RTK-1-Sat.html,False,EClutch
10762 Htp A3Europe B44-46,DVB-S28PSK300003/5,1520,Top News,,MPEG-4/HD,1521.0,1522 Alb,,,10762 H,tp A3,44-46,,,Top News,https://www.lyngsat.com/tvchannels/al/Top-News.html,False,EClutch
10762 Htp A3Europe B44-46,DVB-S28PSK300003/5,1520,Top News,,MPEG-4/HD,1521.0,1522 Alb,,,10762 H,tp A3,44-46,,,Top News,https://www.lyngsat.com/tvchannels/al/Top-News.html,False,EClutch
10762 Htp A3Europe B44-46,DVB-S28PSK300003/5,1800,Top Albania Radio,,,,1803 Alb,,,10762 H,tp A3,44-46,,,Top Albania Radio,https://www.lyngsat.com/radiochannels/al/Top-Albania-Radio.html,False,EClutch
