Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10716 Htp A2K10,DVB-S28PSK250003/4,,Allente,,70-71,,7.9,ConaxNagravisionVideoguard,F Dibba230502,10716 H,tp A2,0,"Conax,Nagravision,Videoguard",,,,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,,Allente,,70-70,,7.9,ConaxNagravisionVideoguard,I Heien210603,10747 V,tp A3,0,"Conax,Nagravision,Videoguard",,,,False,
10747 Htp A4K10,DVB-S28PSK250003/4,,Allente,,70-68,,7.9,ConaxNagravisionVideoguard,O Andersson201016,10747 H,tp A4,0,"Conax,Nagravision,Videoguard",,,,False,
10778 Vtp A5K10,DVB-S28PSK250003/4,,Allente,,70-67,,7.9,ConaxNagravisionVideoguard,Sux200501,10778 V,tp A5,0,"Conax,Nagravision,Videoguard",,,,False,
10778 Htp A6K10,DVB-S28PSK250003/4,,Allente,,70-66,,7.9,ConaxNagravisionVideoguard,M Al-Taie240305,10778 H,tp A6,0,"Conax,Nagravision,Videoguard",,,,False,
10809 Vtp A7K10,DVB-S28PSK250003/4,,Allente,,70-62,,7.9,ConaxNagravisionVideoguard,M Al-Taie240319,10809 V,tp A7,0,"Conax,Nagravision,Videoguard",,,,False,
10809 Htp A8K10,DVB-S28PSK250003/4,,Allente,,70-65,,7.9,ConaxNagravisionVideoguard,M Al-Taie240319,10809 H,tp A8,0,"Conax,Nagravision,Videoguard",,,,False,
10841 Htp A10K10,DVB-S28PSK250003/4,,Allente,,70-63,,7.9,ConaxNagravisionVideoguard,M Al-Taie240305,10841 H,tp A10,0,"Conax,Nagravision,Videoguard",,,,False,
10872 Vtp A11K10,DVB-S28PSK250003/4,,Allente,,70-61,,7.9,ConaxNagravisionVideoguard,F Dibba210602,10872 V,tp A11,0,"Conax,Nagravision,Videoguard",,,,False,
10872 Htp A12K10,DVB-S28PSK250003/4,,Allente,,70-72,,7.9,ConaxNagravisionVideoguard,M Al-Taie240307,10872 H,tp A12,0,"Conax,Nagravision,Videoguard",,,,False,
10903 Vtp A13K10,DVB-S28PSK250003/4,,Allente,,70-69,,7.9,ConaxNagravisionVideoguard,F Dibba221219,10903 V,tp A13,0,"Conax,Nagravision,Videoguard",,,,False,
10903 Htp A14K10,DVB-S28PSK250003/4,,Allente,,70-48,,7.9,ConaxNagravisionVideoguard,M Al-Taie240305,10903 H,tp A14,0,"Conax,Nagravision,Videoguard",,,,False,
10934 Vtp A15K10,DVB-S28PSK250003/4,,Allente,,70-10,,7.9,ConaxNagravisionVideoguard,N Schlammer220613,10934 V,tp A15,0,"Conax,Nagravision,Videoguard",,,,False,
10934 Htp A16K10,DVB-S28PSK250003/4,,Allente,,70-14,,7.9,ConaxNagravisionVideoguard,M Al-Taie240305,10934 H,tp A16,0,"Conax,Nagravision,Videoguard",,,,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7867,NRK P1 Stor-Oslo,,,,3867 Nor,,,10747 V,tp A3,0,,,NRK P1 Stor-Oslo,https://www.lyngsat.com/radiochannels/no/NRK-P1-Stor-Oslo.html,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7867,NRK P1 Stor-Oslo,,,,3867 Nor,,,10747 V,tp A3,0,,,NRK P1 Stor-Oslo,https://www.lyngsat.com/radiochannels/no/NRK-P1-Stor-Oslo.html,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7868,NRK P1 Troms,,,,3868 Nor,,,10747 V,tp A3,0,,,NRK P1 Troms,https://www.lyngsat.com/radiochannels/no/NRK-P1-Troms.html,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7868,NRK P1 Troms,,,,3868 Nor,,,10747 V,tp A3,0,,,NRK P1 Troms,https://www.lyngsat.com/radiochannels/no/NRK-P1-Troms.html,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7869,NRK P1 Finnmark,,,,3869 Nor,,,10747 V,tp A3,0,,,NRK P1 Finnmark,https://www.lyngsat.com/radiochannels/no/NRK-P1-Finnmark.html,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7869,NRK P1 Finnmark,,,,3869 Nor,,,10747 V,tp A3,0,,,NRK P1 Finnmark,https://www.lyngsat.com/radiochannels/no/NRK-P1-Finnmark.html,False,
10747 Vtp A3K10,DVB-S28PSK250003/4,7870,NRK P1 Nordland,,,,3870 Nor,,,10747 V,tp A3,0,,,NRK P1 Nordland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Nordland.html,False,
