Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,,Nilesat,,2048-22,,6.5,,R Cervi240307,12054 V,tp 18,,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,,Nilesat,,2048-22,,6.5,,R Cervi240307,12054 V,tp 18,,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat
13575 HMiddle East & North Africa Extended49,DVB-S275005/6,,Nilesat,,,,6.5,,N Stanislav230522,13575 H,,49.0,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat
13575 HMiddle East & North Africa Extended49,DVB-S275005/6,,Nilesat,,,,6.5,,N Stanislav230522,13575 H,,49.0,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2201.0,Al Shams TV,,MPEG-2/SD,2101.0,2111 Ara,,,12054 V,tp 18,,,,Al Shams TV,https://www.lyngsat.com/tvchannels/eg/Al-Shams-TV.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2202.0,Oscar TV,,MPEG-2/SD,2102.0,2122 Ara,,,12054 V,tp 18,,,,Oscar TV,https://www.lyngsat.com/tvchannels/--/Oscar-TV.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2203.0,Al Joumhouriyah TV,,MPEG-4/HD,2105.0,2104 Ara,,new,12054 V,tp 18,,,,Al Joumhouriyah TV,https://www.lyngsat.com/tvchannels/ye/Al-Joumhouriyah-TV.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2204.0,Al Masriyah,,MPEG-4/HD,2010.0,2004 Ara,,,12054 V,tp 18,,,,Al Masriyah,https://www.lyngsat.com/tvchannels/eg/Al-Masriyah.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2204.0,Al Masriyah,,MPEG-4/HD,2010.0,2004 Ara,,,12054 V,tp 18,,,,Al Masriyah,https://www.lyngsat.com/tvchannels/eg/Al-Masriyah.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2205.0,Nile TV International,,MPEG-2/SD,2116.0,2117,,,12054 V,tp 18,,,,Nile TV International,https://www.lyngsat.com/tvchannels/eg/Nile-TV-International.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2205.0,Nile TV International,,MPEG-2/SD,2116.0,2117,,,12054 V,tp 18,,,,Nile TV International,https://www.lyngsat.com/tvchannels/eg/Nile-TV-International.html,False,Nilesat
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2206.0,ERTU 2,,MPEG-2/SD,2118.0,2119 Ara,,,12054 V,tp 18,,,,ERTU 2,https://www.lyngsat.com/tvchannels/eg/ERTU-2.html,False,Nilesat
