Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3726 Rtp EHR2East hemi,DVB-S28PSK44003/4,,(feeds),,,,,,DX Bozóth230523,3726 R,tp EHR2,,,,,,False,
10977 Htp EUH1Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,Jamie AV Kopertehov160119,10977 H,tp EUH1,,,,,,False,
11001 Htp 1Europe & Middle East,DVB-S28PSK72005/6,,(feeds),,,,,,Roli191109,11001 H,tp 1,,,,,,False,
11162 Htp EUH4Europe & Middle East,DVB-S28PSK143685/6,,(feeds),,,,,BISS,William-1201117,11162 H,tp EUH4,,BISS,,,,False,
11536 Htp EUH6Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli231104,11536 H,tp EUH6,,,,,,False,
11547 Htp EUH6Europe & Middle East,DVB-S28PSK48753/4,,(feeds),,,,,,Roli240305,11547 H,tp EUH6,,,,,,False,
11555 Htp EUH6Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli210830,11555 H,tp EUH6,,,,,,False,
11573 Htp EUH6Europe & Middle East,DVB-S28PSK70003/4,,(feeds),,,,,,Roli160606,11573 H,tp EUH6,,,,,,False,
11654 Htp EUH8Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,Jamie A160224,11654 H,tp EUH8,,,,,,False,
11667 Htp EUH8Europe & Middle East,DVB-S28PSK75009/10,,(feeds),,,,,,R Hable130407,11667 H,tp EUH8,,,,,,False,
11675 Htp EUH8Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,V Kopertehov160119,11675 H,tp EUH8,,,,,,False,
11682 Htp EUH8Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,Jamie A160627,11682 H,tp EUH8,,,,,,False,
11688 Htp EUH8Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,DX Bozóth160716,11688 H,tp EUH8,,,,,,False,
11694 Htp EUH8Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,DX Bozóth160719,11694 H,tp EUH8,,,,,,False,
12512 Htp EUH9Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230916,12512 H,tp EUH9,,,,,,False,
12534 Htp EUH9Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli210907,12534 H,tp EUH9,,,,,,False,
12545 Htp EUH9Europe & Middle East,DVB-S28PSK70003/4,,(feeds),,,,,,DX Bozóth200913,12545 H,tp EUH9,,,,,,False,
12553 Htp EUH9Europe & Middle East,DVB-S248003/4,,(feeds),,,,,,Stanley_cassidy240116,12553 H,tp EUH9,,,,,,False,
12559 Htp EUH9Europe & Middle East,DVB-S248003/4,,(feeds),,,,,,Stanley_cassidy240116,12559 H,tp EUH9,,,,,,False,
12577 Htp EUH10Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli210509,12577 H,tp EUH10,,,,,,False,
12587 Htp EUH10Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli211023,12587 H,tp EUH10,,,,,,False,
12595 Htp EUH10Europe & Middle East,DVB-S28PSK48003/4,,(feeds),,,,,,M Sixx201027,12595 H,tp EUH10,,,,,,False,
12605 Htp EUH10Europe & Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli190805,12605 H,tp EUH10,,,,,,False,
12612 Htp EUH10Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,Roli190412,12612 H,tp EUH10,,,,,,False,
12618 Htp EUH10Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,Roli190412,12618 H,tp EUH10,,,,,,False,
12625 Htp EUH10Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,M Sixx190603,12625 H,tp EUH10,,,,,,False,
12635 Htp EUH11Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,Jamie A150107,12635 H,tp EUH11,,,,,,False,
12642 Htp EUH11Europe & Middle East,DVB-S28PSK24003/4,,(feeds),,,,,,Roli220915,12642 H,tp EUH11,,,,,,False,
12650 Htp EUH11Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,RoliStanley_cassidy220606,12650 H,tp EUH11,,,,,,False,
12656 Htp EUH11Europe & Middle East,DVB-S28PSK46103/4,,(feeds),,,,,,RoliStanley_cassidy220606,12656 H,tp EUH11,,,,,,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,,Easy TV Côte d'Ivoire,,183-900,,6.6,,N Stanislav231213,3749 L,tp EHL2,,,,,,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 173T2-MIPLP 2,,Easy TV Côte d'Ivoire,,183-902,,6.6,Nagravision,N Stanislav231213,3749 L,tp EHL2,,Nagravision,,,,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 174T2-MIPLP 5,,Easy TV Côte d'Ivoire,,183-907,,6.6,,N Stanislav231213,3749 L,tp EHL2,,,,,,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,101,RTI 1,,MPEG-4/HD,1012.0,1013 Fre,,,3749 L,tp EHL2,,,,RTI 1,https://www.lyngsat.com/tvchannels/ci/RTI-1.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,101,RTI 1,,MPEG-4/HD,1012.0,1013 Fre,,,3749 L,tp EHL2,,,,RTI 1,https://www.lyngsat.com/tvchannels/ci/RTI-1.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,102,RTI 2,,MPEG-4/HD,1022.0,1023 Fre,,,3749 L,tp EHL2,,,,RTI 2,https://www.lyngsat.com/tvchannels/ci/RTI-2.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,102,RTI 2,,MPEG-4/HD,1022.0,1023 Fre,,,3749 L,tp EHL2,,,,RTI 2,https://www.lyngsat.com/tvchannels/ci/RTI-2.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,103,RTI La 3,,MPEG-4/HD,1032.0,1033 Fre,,,3749 L,tp EHL2,,,,RTI La 3,https://www.lyngsat.com/tvchannels/ci/RTI-La-3.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,104,La Nouvelle Chaîne Ivorienne,,MPEG-4/HD,1042.0,1043 Fre,,,3749 L,tp EHL2,,,,La Nouvelle Chaîne Ivorienne,https://www.lyngsat.com/tvchannels/ci/La-Nouvelle-Chaine-Ivorienne.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,104,La Nouvelle Chaîne Ivorienne,,MPEG-4/HD,1042.0,1043 Fre,,,3749 L,tp EHL2,,,,La Nouvelle Chaîne Ivorienne,https://www.lyngsat.com/tvchannels/ci/La-Nouvelle-Chaine-Ivorienne.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,105,A+ Ivoire,,MPEG-4/HD,1052.0,1053 Fre,,,3749 L,tp EHL2,,,,A+ Ivoire,https://www.lyngsat.com/tvchannels/fr/A--Ivoire.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,106,Life TV (Ivory Coast),,MPEG-4/HD,1062.0,1063 Fre,,,3749 L,tp EHL2,,,,Life TV (Ivory Coast),https://www.lyngsat.com/tvchannels/ci/Life-TV.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 171T2-MIPLP 0,107,7 Info,,MPEG-4/HD,1072.0,1073 Fre,,,3749 L,tp EHL2,,,,7 Info,https://www.lyngsat.com/tvchannels/ci/7-Info.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 173T2-MIPLP 2,8114,Easy TV promo,,HEVC/SD,1410.0,1421 Fre,,,3749 L,tp EHL2,,,,,,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 174T2-MIPLP 5,200,Radio Côte d'Ivoire,,,,2003 Fre,,,3749 L,tp EHL2,,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 174T2-MIPLP 5,200,Radio Côte d'Ivoire,,,,2003 Fre,,,3749 L,tp EHL2,,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 174T2-MIPLP 5,200,Radio Côte d'Ivoire,,,,2003 Fre,,,3749 L,tp EHL2,,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
3749 Ltp EHL2East hemi,DVB-S28PSK458302/3MultistreamStream 174T2-MIPLP 5,200,Radio Côte d'Ivoire,,,,2003 Fre,,,3749 L,tp EHL2,,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
12610 Vtp WAV15West Africa0,DVB-S2QPSK300003/4,8453,Radio Côte d'Ivoire,,,,5391 Fre,,,12610 V,tp WAV15,0,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
12610 Vtp WAV15West Africa0,DVB-S2QPSK300003/4,8453,Radio Côte d'Ivoire,,,,5391 Fre,,,12610 V,tp WAV15,0,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
12610 Vtp WAV15West Africa0,DVB-S2QPSK300003/4,8453,Radio Côte d'Ivoire,,,,5391 Fre,,,12610 V,tp WAV15,0,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
12610 Vtp WAV15West Africa0,DVB-S2QPSK300003/4,8453,Radio Côte d'Ivoire,,,,5391 Fre,,,12610 V,tp WAV15,0,,,Radio Côte d'Ivoire,https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,False,
3867 Rtp EHR4East hemi,DVB-S2571/2,1,Radio Maria Sierra Leone,,0-0,,2.7 255 Eng,,Onacila201202,3867 R,tp EHR4,,,,,,False,
3970 Ltp WHL12West hemi0,DVB-S33323/4,1,TV Cidade São Luíz,,?-?MPEG-2/SD,33.0,5.5 256 Por,,Edinho fta220327,3970 L,tp WHL12,0,,,,,False,
3974 Ltp WHL12West hemi0,DVB-S2QPSK32005/6,,TV Verdade,,MPEG-4/HD,273.0,5.2 2.4 Por,,Edinho fta220327,3974 L,tp WHL12,0,,,,,False,
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,TV Cidade Fortaleza,,,,5.5,,Edinho fta230604,4015 L,tp WHL13,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,TV Cidade Fortaleza,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Fortaleza.html,True,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,TV Cidade Fortaleza,,,,5.5,,Edinho fta230604,4015 L,tp WHL13,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,TV Cidade Fortaleza,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Fortaleza.html,True,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,TV Cidade Fortaleza,,MPEG-4/HD,273.0,274 Por,,,4015 L,tp WHL13,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,TV Cidade Fortaleza,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Fortaleza.html,True,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,TV Cidade Fortaleza,,MPEG-4/HD,273.0,274 Por,,,4015 L,tp WHL13,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,TV Cidade Fortaleza,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Fortaleza.html,True,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,TV Cidade Fortaleza,,MPEG-4/1seg,641.0,643 Por,,,4015 L,tp WHL13,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,TV Cidade Fortaleza,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Fortaleza.html,True,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,TV Cidade Fortaleza,,MPEG-4/1seg,641.0,643 Por,,,4015 L,tp WHL13,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,TV Cidade Fortaleza,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Fortaleza.html,True,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,Clube FM 91.7,,,,40 Por,,,4015 L,tp WHL13,0,,,Clube FM 91.7,https://www.lyngsat.com/radiochannels/br/Clube-FM-917.html,False,TV Cidade Fortaleza
4015 Ltp WHL13West hemi0,DVB-S28PSK59833/5,,Clube FM 91.7,,,,40 Por,,,4015 L,tp WHL13,0,,,Clube FM 91.7,https://www.lyngsat.com/radiochannels/br/Clube-FM-917.html,False,TV Cidade Fortaleza
4021 Ltp WHL13West hemi0,DVB-S28PSK32003/4,,TV Leste,,MPEG-4/HD,273.0,7.9 274 Por,,Wilkherdasilva190827,4021 L,tp WHL13,0,,,,,False,TV Cidade Fortaleza
4026 Ltp WHL13West hemi0,DVB-S28PSK50002/3,,TV Asa Branca,,MPEG-4/HD,273.0,6.6 274 Por,,Edinho fta230604,4026 L,tp WHL13,0,,,,,False,TV Cidade Fortaleza
4026 Ltp WHL13West hemi0,DVB-S28PSK50002/3,,CBN Caruaru,,,,1010 Por,,,4026 L,tp WHL13,0,,,CBN Caruaru,https://www.lyngsat.com/radiochannels/br/CBN-Caruaru.html,False,TV Cidade Fortaleza
4026 Ltp WHL13West hemi0,DVB-S28PSK50002/3,,CBN Caruaru,,,,1010 Por,,,4026 L,tp WHL13,0,,,CBN Caruaru,https://www.lyngsat.com/radiochannels/br/CBN-Caruaru.html,False,TV Cidade Fortaleza
4034 Ltp WHL13West hemi0,DVB-S29633/4,,TV Jornal Caruaru,,MPEG-2/SD,210.0,5.5 220 Por,,Edinho fta230604,4034 L,tp WHL13,0,,,,,False,TV Cidade Fortaleza
4044 Ltp EHL14East hemi,DVB-S2QPSK33603/4,1,Gabon 1ère,,65535-1MPEG-4/HD,259.0,4.0 258 Fre,,DX Bozóth230523,4044 L,tp EHL14,,,,,,False,TV Cidade Fortaleza
4044 Ltp EHL14East hemi,DVB-S2QPSK33603/4,1,Radio Gabon,,,,260 Fre,,,4044 L,tp EHL14,,,,Radio Gabon,https://www.lyngsat.com/radiochannels/ga/Radio-Gabon.html,False,TV Cidade Fortaleza
4044 Ltp EHL14East hemi,DVB-S2QPSK33603/4,1,Radio Gabon,,,,260 Fre,,,4044 L,tp EHL14,,,,Radio Gabon,https://www.lyngsat.com/radiochannels/ga/Radio-Gabon.html,False,TV Cidade Fortaleza
12570 Vtp WAV14West Africa0,DVB-S2QPSK300003/4,8351,Radio Gabon,,,,5191 Fre,,,12570 V,tp WAV14,0,,,Radio Gabon,https://www.lyngsat.com/radiochannels/ga/Radio-Gabon.html,False,TV Cidade Fortaleza
12570 Vtp WAV14West Africa0,DVB-S2QPSK300003/4,8351,Radio Gabon,,,,5191 Fre,,,12570 V,tp WAV14,0,,,Radio Gabon,https://www.lyngsat.com/radiochannels/ga/Radio-Gabon.html,False,TV Cidade Fortaleza
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rede Pampa de Rádios,,,,3.1,,Edinho fta230604,4045 R,tp WHR7,0,,https://www.lyngsat.com/providers/br/Rede-Pampa-de-Radios.html,,,True,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,104 FM,,,,1001 Por,,,4045 R,tp WHR7,0,,,104 FM,https://www.lyngsat.com/radiochannels/br/104-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,104 FM,,,,1001 Por,,,4045 R,tp WHR7,0,,,104 FM,https://www.lyngsat.com/radiochannels/br/104-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Capão FM,,,,1003 Por,,,4045 R,tp WHR7,0,,,Capão FM,https://www.lyngsat.com/radiochannels/br/Capao-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Capão FM,,,,1003 Por,,,4045 R,tp WHR7,0,,,Capão FM,https://www.lyngsat.com/radiochannels/br/Capao-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Cidreira FM,,,,1004 Por,,,4045 R,tp WHR7,0,,,Cidreira FM,https://www.lyngsat.com/radiochannels/br/Cidreira-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Cidreira FM,,,,1004 Por,,,4045 R,tp WHR7,0,,,Cidreira FM,https://www.lyngsat.com/radiochannels/br/Cidreira-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rádio Continental,,,,1005 Por,,,4045 R,tp WHR7,0,,,Rádio Continental,https://www.lyngsat.com/radiochannels/br/Radio-Continental.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Liberdade,,,,1006 Por,,,4045 R,tp WHR7,0,,,Liberdade,https://www.lyngsat.com/radiochannels/br/Liberdade.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Liberdade,,,,1006 Por,,,4045 R,tp WHR7,0,,,Liberdade,https://www.lyngsat.com/radiochannels/br/Liberdade.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Liberdade,,,,1010 Por,,,4045 R,tp WHR7,0,,,Liberdade,https://www.lyngsat.com/radiochannels/br/Liberdade.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Liberdade,,,,1010 Por,,,4045 R,tp WHR7,0,,,Liberdade,https://www.lyngsat.com/radiochannels/br/Liberdade.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rádio Eldorado,,,,1007 Por,,,4045 R,tp WHR7,0,,,Rádio Eldorado,https://www.lyngsat.com/radiochannels/br/Radio-Eldorado.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rádio Grenal,,,,1008 Por,,,4045 R,tp WHR7,0,,,Rádio Grenal,https://www.lyngsat.com/radiochannels/br/Radio-Grenal.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rádio Grenal,,,,1008 Por,,,4045 R,tp WHR7,0,,,Rádio Grenal,https://www.lyngsat.com/radiochannels/br/Radio-Grenal.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Imbé FM,,,,1009 Por,,,4045 R,tp WHR7,0,,,Imbé FM,https://www.lyngsat.com/radiochannels/br/Imbe-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Imbé FM,,,,1009 Por,,,4045 R,tp WHR7,0,,,Imbé FM,https://www.lyngsat.com/radiochannels/br/Imbe-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rádio Pampa,,,,1011 Por,,,4045 R,tp WHR7,0,,,Rádio Pampa,https://www.lyngsat.com/radiochannels/br/Radio-Pampa.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Rádio Pampa,,,,1011 Por,,,4045 R,tp WHR7,0,,,Rádio Pampa,https://www.lyngsat.com/radiochannels/br/Radio-Pampa.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Torres FM,,,,1012 Por,,,4045 R,tp WHR7,0,,,Torres FM,https://www.lyngsat.com/radiochannels/br/Torres-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Torres FM,,,,1012 Por,,,4045 R,tp WHR7,0,,,Torres FM,https://www.lyngsat.com/radiochannels/br/Torres-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Tramandaí FM,,,,1013 Por,,,4045 R,tp WHR7,0,,,Tramandaí FM,https://www.lyngsat.com/radiochannels/br/Tramandai-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Tramandaí FM,,,,1013 Por,,,4045 R,tp WHR7,0,,,Tramandaí FM,https://www.lyngsat.com/radiochannels/br/Tramandai-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Xangri-lá FM,,,,1014 Por,,,4045 R,tp WHR7,0,,,Xangri-lá FM,https://www.lyngsat.com/radiochannels/br/Xangri-la-FM.html,False,Rede Pampa de Rádios
4045 Rtp WHR7West hemi0,DVB-S2QPSK25002/3,,Xangri-lá FM,,,,1014 Por,,,4045 R,tp WHR7,0,,,Xangri-lá FM,https://www.lyngsat.com/radiochannels/br/Xangri-la-FM.html,False,Rede Pampa de Rádios
4047 Ltp EHL14East hemi,DVB-S2QPSK16663/4,1,Télé Africa,,.-.MPEG-2/SD,33.0,4.0  36 Fre,,DX Bozóth230523,4047 L,tp EHL14,,,,,,False,Rede Pampa de Rádios
4048 Rtp WHR7West hemi0,DVB-S2QPSK37503/4,,TV Tambaú,,MPEG-4/HD,273.0,4.0 274 Por,,Edinho fta220327,4048 R,tp WHR7,0,,,,,False,Rede Pampa de Rádios
4058 Ltp WHL14West hemi0,DVB-S2QPSK50005/6,,TV Cidade Verde Piauí,,,,5.2,,Edinho fta230604,4058 L,tp WHL14,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Verde-Piaui.html,TV Cidade Verde Piauí,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Verde-Piaui.html,True,TV Cidade Verde Piauí
4058 Ltp WHL14West hemi0,DVB-S2QPSK50005/6,,TV Cidade Verde Piauí,,,,5.2,,Edinho fta230604,4058 L,tp WHL14,0,,https://www.lyngsat.com/providers/br/TV-Cidade-Verde-Piaui.html,TV Cidade Verde Piauí,https://www.lyngsat.com/tvchannels/br/TV-Cidade-Verde-Piaui.html,True,TV Cidade Verde Piauí
