Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10981 Vtp B2Fixed 10,DVB-S449485/6,,Telekarta Vostok,,1-5,,6.5,ConaxIrdeto,N Stanislav220428,10981 V,tp B2,0,"Conax,Irdeto",,,,False,
11262 Vtp F4Fixed 20,DVB-S28PSK300003/4,,Telekarta Vostok,,,,7.9,ConaxIrdeto,N Stanislav220309,11262 V,tp F4,0,"Conax,Irdeto",,,,False,
11387 Vtp F10Fixed 20,DVB-S28PSK300003/4,,Telekarta Vostok,,,,7.9,ConaxIrdeto,N Stanislav230201,11387 V,tp F10,0,"Conax,Irdeto",,,,False,
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,,Telekarta Vostok,,1-2,,6.6,ConaxIrdeto,N Stanislav221214,11530 H,tp D3,0,"Conax,Irdeto",,,,False,
11557 Htp D3Fixed 10,DVB-S28PSK222502/3,,Telekarta Vostok,,1-3,,6.6,ConaxIrdeto,N Stanislav220406,11557 H,tp D3,0,"Conax,Irdeto",,,,False,
11665 Vtp D8Fixed 10,DVB-S384005/6,,Telekarta Vostok,,,,6.5,ConaxIrdeto,T Kameda230613,11665 V,tp D8,0,"Conax,Irdeto",,,,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,701.0,Telekarta promo,,MPEG-2/SD,801.0,901 Rus,,,10981 V,tp B2,0,,,,,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,712.0,Shop & Show,,MPEG-2/SD,812.0,912 Rus,,,10981 V,tp B2,0,,,Shop & Show,https://www.lyngsat.com/tvchannels/ru/Shop-and-Show.html,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,712.0,Shop & Show,,MPEG-2/SD,812.0,912 Rus,,,10981 V,tp B2,0,,,Shop & Show,https://www.lyngsat.com/tvchannels/ru/Shop-and-Show.html,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,791.0,Europa Plus (+7h),,,,991 Rus,,,10981 V,tp B2,0,,,Europa Plus (+7h),https://www.lyngsat.com/radiochannels/ru/Europa-Plus.html,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,791.0,Europa Plus (+7h),,,,991 Rus,,,10981 V,tp B2,0,,,Europa Plus (+7h),https://www.lyngsat.com/radiochannels/ru/Europa-Plus.html,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,792.0,Retro FM Rossiya (+7h),,,,992 Rus,,,10981 V,tp B2,0,,,Retro FM Rossiya (+7h),https://www.lyngsat.com/radiochannels/ru/Retro-FM-Rossiya.html,False,
10981 Vtp B2Fixed 10,DVB-S449485/6,792.0,Retro FM Rossiya (+7h),,,,992 Rus,,,10981 V,tp B2,0,,,Retro FM Rossiya (+7h),https://www.lyngsat.com/radiochannels/ru/Retro-FM-Rossiya.html,False,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,,Arktik Telekom,,,,7.9,,Antonipls180712,11124 V,tp B6,0,,https://www.lyngsat.com/providers/ru/Arktik-Telekom.html,,,True,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1.0,NVK Sakha,,MPEG-4/SD,111.0,112 Rus,,,11124 V,tp B6,0,,,NVK Sakha,https://www.lyngsat.com/tvchannels/ru/NVK-Sakha.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1.0,NVK Sakha,,MPEG-4/SD,111.0,112 Rus,,,11124 V,tp B6,0,,,NVK Sakha,https://www.lyngsat.com/tvchannels/ru/NVK-Sakha.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,2.0,Sakha 24,,MPEG-4/SD,211.0,212 Rus,,,11124 V,tp B6,0,,,Sakha 24,https://www.lyngsat.com/tvchannels/ru/Sakha-24.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,3.0,NVK Sakha Pokrovsk,,MPEG-4/SD,311.0,312 Rus,,,11124 V,tp B6,0,,,NVK Sakha Pokrovsk,https://www.lyngsat.com/tvchannels/ru/NVK-Sakha-Pokrovsk.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,4.0,Mamont TV,,MPEG-4/SD,411.0,412 Rus,,,11124 V,tp B6,0,,,Mamont TV,https://www.lyngsat.com/tvchannels/ru/Mamont-TV.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,5.0,Almaznyy kray TV,,MPEG-4/SD,511.0,512 Rus,,,11124 V,tp B6,0,,,Almaznyy kray TV,https://www.lyngsat.com/tvchannels/ru/Almaznyy-kray-TV.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1.0,Radio Republic Sakha,,,,112 Rus,,,11124 V,tp B6,0,,,Radio Republic Sakha,https://www.lyngsat.com/radiochannels/ru/Radio-Republic-Sakha.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1.0,Radio Mayak,,,,113 Rus,,,11124 V,tp B6,0,,,Radio Mayak,https://www.lyngsat.com/radiochannels/ru/Radio-Mayak.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1.0,Radio Mayak,,,,113 Rus,,,11124 V,tp B6,0,,,Radio Mayak,https://www.lyngsat.com/radiochannels/ru/Radio-Mayak.html,False,Arktik Telekom
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1.0,Radio Rossii,,,,113 Rus,,,11124 V,tp B6,0,,,Radio Rossii,https://www.lyngsat.com/radiochannels/ru/Radio-Rossii.html,False,Arktik Telekom
