Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3793 Vtp 4C,DVB-S270301/2,,(feeds),,,,,,Abbie100910,3793 V,tp 4,,,,,,False,
3980 Vtp 14C,DVB-S264705/6,,(feeds),,,,,,Abbie100910,3980 V,tp 14,,,,,,False,
4091 Vtp 20C,DVB-S132353/4,,(feeds),,,,,,EnoSat240210,4091 V,tp 20,,,,,,False,
4194 Vtp 24C,DVB-S28PSK75003/4,,(feeds),,,,,,EnoSat240210,4194 V,tp 24,,,,,,False,
3855 Vtp 8C0,DVB-S28PSK16675/6,1.0,CV Shopping,,65535-1MPEG-4/SD,33.0,9.4  34 Spa,,Mike 4230325,3855 V,tp 8,0.0,,,,,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,,,,,,,PowerVu,ML240123,3866 V,tp 8,0.0,PowerVu,,,,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,,,,,,,Director,NOS482220827,3940 V,tp 12,0.0,Director,,,,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,1.0,Las Estrellas México,,HEVC/HD,2001.0,4011 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Las Estrellas México,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,1.0,Las Estrellas México,,HEVC/HD,2001.0,4011 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Las Estrellas México,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,1.0,Las Estrellas México,,HEVC/HD,2001.0,4011 Spa,Director,,3940 V,tp 12,0.0,Director,,Las Estrellas México,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,1.0,Las Estrellas México,,HEVC/HD,2001.0,4011 Spa,Director,,3940 V,tp 12,0.0,Director,,Las Estrellas México,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,2.0,Canal 5 (Mexico City),,HEVC/HD,2002.0,4021 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Canal 5 (Mexico City),https://www.lyngsat.com/tvchannels/mx/Canal-5.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,2.0,Canal 5 (Mexico City),,HEVC/HD,2002.0,4021 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Canal 5 (Mexico City),https://www.lyngsat.com/tvchannels/mx/Canal-5.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,2.0,Canal 5 (Mexico City),,HEVC/HD,2002.0,4021 Spa,Director,,3940 V,tp 12,0.0,Director,,Canal 5 (Mexico City),https://www.lyngsat.com/tvchannels/mx/Canal-5.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,2.0,Canal 5 (Mexico City),,HEVC/HD,2002.0,4021 Spa,Director,,3940 V,tp 12,0.0,Director,,Canal 5 (Mexico City),https://www.lyngsat.com/tvchannels/mx/Canal-5.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,3.0,Nu9ve,,HEVC/HD,2003.0,4031 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Nu9ve,https://www.lyngsat.com/tvchannels/mx/Nu9ve.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,3.0,Nu9ve,,HEVC/HD,2003.0,4031 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Nu9ve,https://www.lyngsat.com/tvchannels/mx/Nu9ve.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,3.0,Nu9ve,,HEVC/HD,2003.0,4031 Spa,Director,,3940 V,tp 12,0.0,Director,,Nu9ve,https://www.lyngsat.com/tvchannels/mx/Nu9ve.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,3.0,Nu9ve,,HEVC/HD,2003.0,4031 Spa,Director,,3940 V,tp 12,0.0,Director,,Nu9ve,https://www.lyngsat.com/tvchannels/mx/Nu9ve.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,4.0,Foro TV (Mexico),,HEVC/HD,2004.0,4041 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,4.0,Foro TV (Mexico),,HEVC/HD,2004.0,4041 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,4.0,Foro TV (Mexico),,HEVC/HD,2004.0,4041 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3866 Vtp 8C0,DVB-S216APSK171405/6,4.0,Foro TV (Mexico),,HEVC/HD,2004.0,4041 Spa,PowerVu,,3866 V,tp 8,0.0,PowerVu,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,10.0,Foro TV (Mexico),,HEVC/HD,2010.0,4102 Spa,Director,,3940 V,tp 12,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,10.0,Foro TV (Mexico),,HEVC/HD,2010.0,4102 Spa,Director,,3940 V,tp 12,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,10.0,Foro TV (Mexico),,HEVC/HD,2010.0,4102 Spa,Director,,3940 V,tp 12,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,10.0,Foro TV (Mexico),,HEVC/HD,2010.0,4102 Spa,Director,,3940 V,tp 12,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,
3928 Htp 11C,DVB-S31257/8,,(Televisa feeds),,,,,,Voyager101005,3928 H,tp 11,,,,,,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,4.0,Las Estrellas México +1,,HEVC/HD,2004.0,4041 Spa,Director,,3940 V,tp 12,0.0,Director,,Las Estrellas México +1,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico--1.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,5.0,Las Estrellas México +2,,HEVC/HD,2005.0,4051 Spa,Director,,3940 V,tp 12,0.0,Director,,Las Estrellas México +2,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico--2.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,6.0,Canal 5 +1,,HEVC/HD,2006.0,4062 Spa,Director,,3940 V,tp 12,0.0,Director,,Canal 5 +1,https://www.lyngsat.com/tvchannels/mx/Canal-5--1.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,7.0,Canal 5 +2,,HEVC/HD,2007.0,4072 Spa,Director,,3940 V,tp 12,0.0,Director,,Canal 5 +2,https://www.lyngsat.com/tvchannels/mx/Canal-5--2.html,False,
3940 Vtp 12C0,DVB-S216APSK342865/6,8.0,Nu9ve +1,,HEVC/HD,2008.0,4082 Spa,Director,,3940 V,tp 12,0.0,Director,,Nu9ve +1,https://www.lyngsat.com/tvchannels/mx/Nu9ve--1.html,False,
