Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3750 H,DVB-S104903/4,,Hunan mux,,0-1,,5.5,,T Kameda121013,3750 H,,,,,,,False,
3750 H,DVB-S104903/4,1,Hunan TV,,MPEG-2/SD,257.0,258 Chi,,,3750 H,,,,,Hunan TV,https://www.lyngsat.com/tvchannels/cn/Hunan-TV.html,False,
3750 H,DVB-S104903/4,2,Golden Eagle Cartoon,,MPEG-2/SD,513.0,514 Chi,,,3750 H,,,,,Golden Eagle Cartoon,https://www.lyngsat.com/tvchannels/cn/Golden-Eagle-Cartoon.html,False,
3750 H,DVB-S104903/4,5,Hunan People's Satellite Radio,,,,1282 Chi,,,3750 H,,,,,Hunan People's Satellite Radio,https://www.lyngsat.com/radiochannels/cn/Hunan-Peoples-Satellite-Radio.html,False,
3750 H,DVB-S104903/4,81,Hunan Traffic Channel,,,,1297 Chi,,,3750 H,,,,,Hunan Traffic Channel,https://www.lyngsat.com/radiochannels/cn/Hunan-Traffic-Channel.html,False,
3750 H,DVB-S104903/4,82,Hunan Economic Radio,,,,1313 Chi,,,3750 H,,,,,Hunan Economic Radio,https://www.lyngsat.com/radiochannels/cn/Hunan-Economic-Radio.html,False,
3750 H,DVB-S104903/4,83,Hunan Culture Radio,,,,1329 Chi,,,3750 H,,,,,Hunan Culture Radio,https://www.lyngsat.com/radiochannels/cn/Hunan-Culture-Radio.html,False,
3750 H,DVB-S104903/4,87,Golden Eagle 955,,,,1393 Chi,,,3750 H,,,,,Golden Eagle 955,https://www.lyngsat.com/radiochannels/cn/Golden-Eagle-955.html,False,
3770 H,DVB-S28PSK123603/5,,CGTN,,2184-24,,5.5,,T Kameda170730,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,,CGTN,,2184-24,,5.5,,T Kameda170730,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,,CGTN,,2184-24,,5.5,,T Kameda170730,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,,CGTN,,2184-24,,5.5,,T Kameda170730,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,872,CGTN,,MPEG-4/HD,513.0,660 Eng,,,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,872,CGTN,,MPEG-4/HD,513.0,660 Eng,,,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,872,CGTN,,MPEG-4/HD,513.0,660 Eng,,,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
3770 H,DVB-S28PSK123603/5,872,CGTN,,MPEG-4/HD,513.0,660 Eng,,,3770 H,,,,https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,True,CGTN
