Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,11750 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,11750 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,11750 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,11750 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,11750 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11750 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220614,11750 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,11810 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,11810 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,11810 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,11810 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,11810 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11810 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp210329,11810 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11860 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220130,11860 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11860 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220130,11860 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11860 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220130,11860 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
11860 RKu0,ABS-S300004/5,,CCTV,,,,,Videoguard,Caribbean kelp220130,11860 R,,0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,True,CCTV
