Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3715 Vtp LM2CLandmass37.1-39.1,DVB-S28PSK28002/3,205,KBS Korea,,0-205MPEG-4/HD,2051.0,6.62052 Kor,,Bulek Sps180425,3715 V,tp LM2C,37.1-39.1,,,,,False,
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,,Warner Bros. Discovery,,1-301,,7.9,ConaxPowerVu,N Stanislav231019,3739 H,tp LM1C,37.1-39.1,"Conax,PowerVu",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,40*,Discovery Channel India,,MPEG-4/SD,1401.0,1402 Hin1404 Eng1406 Ben1408 Tel,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Discovery Channel India,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,45,DTamil,,MPEG-4/SD,1451.0,1452 Tam,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,DTamil,https://www.lyngsat.com/tvchannels/us/DTamil.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,60*,Animal Planet India,,MPEG-4/SD,1711.0,1712 Hin1714 Eng1716 Tam,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Animal Planet India,https://www.lyngsat.com/tvchannels/us/Animal-Planet-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,81,Investigation Discovery India,,MPEG-4/SD,1811.0,1812 Hin1813 Eng,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Investigation Discovery India,https://www.lyngsat.com/tvchannels/us/Investigation-Discovery-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,81,Investigation Discovery India,,MPEG-4/SD,1811.0,1812 Hin1813 Eng,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Investigation Discovery India,https://www.lyngsat.com/tvchannels/us/Investigation-Discovery-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,82,Investigation Discovery India,,MPEG-4/HD,1500.0,1501 Hin1502 Eng,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Investigation Discovery India,https://www.lyngsat.com/tvchannels/us/Investigation-Discovery-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,82,Investigation Discovery India,,MPEG-4/HD,1500.0,1501 Hin1502 Eng,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Investigation Discovery India,https://www.lyngsat.com/tvchannels/us/Investigation-Discovery-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,90*,Discovery Science India,,MPEG-4/SD,1910.0,1912 Eng1914 Hin,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Discovery Science India,https://www.lyngsat.com/tvchannels/us/Discovery-Science-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,100,Discovery Turbo India,,MPEG-4/SD,2011.0,2012 Eng,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Discovery Turbo India,https://www.lyngsat.com/tvchannels/us/Discovery-Turbo-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,120*,TLC India,,MPEG-4/SD,2211.0,2212 Hin2214 Eng,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,TLC India,https://www.lyngsat.com/tvchannels/us/TLC-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,131*,Discovery HD World India,,MPEG-4/HD,2511.0,2516 Mal2517 Kan2519 Ben,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Discovery HD World India,https://www.lyngsat.com/tvchannels/us/Discovery-HD-World-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,139*,Discovery Kids India,,MPEG-4/SD,2411.0,2415 Mal,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Discovery Kids India,https://www.lyngsat.com/tvchannels/us/Discovery-Kids-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,151*,TLC HD India,,MPEG-4/HD,2611.0,2612 Eng2613 Hin,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,TLC HD India,https://www.lyngsat.com/tvchannels/us/TLC-HD-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,152*,Animal Planet HD World India,,MPEG-4/HD,3111.0,3112 Eng3113 Hin3115 Tam,PowerVu,,3739 H,tp LM1C,37.1-39.1,PowerVu,,Animal Planet HD World India,https://www.lyngsat.com/tvchannels/us/Animal-Planet-HD-World-India.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,170,Pogo,,MPEG-4/SD,101.0,102 Hin 103 Tel 104 Kan 105 Mal 106 Mar 107 Tam,Conax,,3739 H,tp LM1C,37.1-39.1,Conax,,Pogo,https://www.lyngsat.com/tvchannels/in/Pogo.html,False,Warner Bros. Discovery
3739 Htp LM1CLandmass37.1-39.1,DVB-S28PSK300003/4,175,Cartoon Network India,,MPEG-4/SD,201.0,202 Hin 203 Eng 204 Tam 205 Tel 206 Kan 207 Mal 208 Mar,Conax,,3739 H,tp LM1C,37.1-39.1,Conax,,Cartoon Network India,https://www.lyngsat.com/tvchannels/us/Cartoon-Network-India.html,False,Warner Bros. Discovery
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,,Aastha TV,,,,7.9,,Albert I210515,3769 V,tp LM4C,37.1-39.1,,https://www.lyngsat.com/providers/in/Aastha-TV.html,,,True,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,,Aastha TV,,,,7.9,,Albert I210515,3769 V,tp LM4C,37.1-39.1,,https://www.lyngsat.com/providers/in/Aastha-TV.html,,,True,Aastha TV
