Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,,Nigerian mux,,1-2,,5.2,,M Hajdú201229,3751 R,tp SZD11,0.0,,,,,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,201.0,Lagos TV,,MPEG-4/SD,273.0,274 Eng,,,3751 R,tp SZD11,0.0,,,Lagos TV,https://www.lyngsat.com/tvchannels/ng/Lagos-TV.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,202.0,MITV,,MPEG-4/SD,289.0,290 Eng,,,3751 R,tp SZD11,0.0,,,MITV,https://www.lyngsat.com/tvchannels/ng/MITV.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,203.0,Silverbird TV,,MPEG-4/SD,305.0,306 Eng,,,3751 R,tp SZD11,0.0,,,Silverbird TV,https://www.lyngsat.com/tvchannels/ng/Silverbird-TV.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,204.0,TVC News,,MPEG-4/SD,321.0,322 Eng,,,3751 R,tp SZD11,0.0,,,TVC News,https://www.lyngsat.com/tvchannels/ng/TVC-News.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,204.0,TVC News,,MPEG-4/SD,321.0,322 Eng,,,3751 R,tp SZD11,0.0,,,TVC News,https://www.lyngsat.com/tvchannels/ng/TVC-News.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,205.0,TVC,,MPEG-4/SD,337.0,338 Eng,,,3751 R,tp SZD11,0.0,,,TVC,https://www.lyngsat.com/tvchannels/ng/TVC.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,205.0,TVC,,MPEG-4/SD,337.0,338 Eng,,,3751 R,tp SZD11,0.0,,,TVC,https://www.lyngsat.com/tvchannels/ng/TVC.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,206.0,Sunna TV (Nigeria),,MPEG-4/SD,353.0,354 Eng,,,3751 R,tp SZD11,0.0,,,Sunna TV (Nigeria),https://www.lyngsat.com/tvchannels/ng/Sunna-TV.html,False,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,207.0,Wazobia TV,,MPEG-4/SD,369.0,370 Eng,,,3751 R,tp SZD11,0.0,,,Wazobia TV,https://www.lyngsat.com/tvchannels/ng/Wazobia-TV.html,False,
