SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,Trikolor,253-2,,11747 R,tp ER2,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-19,,12073 L,tp ER19,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-21,,12111 L,tp ER21,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-25,,12190 L,tp ER25,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,22500.0,DVB-S2,,
,Trikolor,253-27,,12226 L,tp ER27,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-31,,12303 L,tp ER31,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-34,,12360 R,tp ER34,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,,,12380 L,tp ER35,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-37,,12418 L,tp ER37,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-39,,12456 L,tp ER39,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,Trikolor,253-40,,12476 R,tp ER40,0.0,"Exset,DRECrypt,DREGuard",,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65432,,12092 H,tp EA20,0.0,Irdeto,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65440,,12111 V,tp EA21,0.0,Irdeto,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65428,,12130 H,tp EA22,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65441,,12149 V,tp EA23,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65429,,12169 H,tp EA24,0.0,Irdeto,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65442,,12188 V,tp EA25,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65425,,12207 H,tp EA26,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65443,,12226 V,tp EA27,0.0,Irdeto,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65430,,12284 H,tp EA30,0.0,Irdeto,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65420,,12303 V,tp EA31,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65431,,12322 H,tp EA32,0.0,,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65433,,12341 V,tp EA33,0.0,Irdeto,,,,False,,2/3,27500.0,DVB-S2,,
,DSTV Africa,878-65427,,12360 H,tp EA34,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65426,,12399 H,tp EA36,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65503,,12440 H,tp EA38,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
,DSTV Africa,878-65501,,12476 H,tp EA40,0.0,Irdeto,,,,False,,3/4,27500.0,DVB-S2,,
1.0,TNV Tatarstan,1-1MPEG-2/SD,320.0,12174 L,tp ER25,0.0,,,,,False,,3/4,4340.0,DVB-S4,Rus,
1.0,Bolgar Radiosi,,,12174 L,tp ER25,0.0,,,Bolgar Radiosi,https://www.lyngsat.com/radiochannels/ru/Bolgar-Radiosi.html,False,,3/4,4340.0,DVB-S4,Rus,ru
