SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,UAU!TV,1-2,,10975 H,tp 2K,,Videoguard,https://www.lyngsat.com/providers/ao/UAUTV.html,,,True,UAU!TV,/10,9,DVB-S2,,
1.0,TPA 1,MPEG-4/SD,1001.0,10975 H,tp 2K,,,,TPA 1,https://www.lyngsat.com/tvchannels/ao/TPA-1.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
2.0,TPA 2,MPEG-4/SD,1011.0,10975 H,tp 2K,,Videoguard,,TPA 2,https://www.lyngsat.com/tvchannels/ao/TPA-2.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
3.0,RTP África,MPEG-4/SD,1021.0,10975 H,tp 2K,,Videoguard,,RTP África,https://www.lyngsat.com/tvchannels/pt/RTP-Africa.html,False,UAU!TV,/10,9,DVB-S2,Por,pt
3.0,RTP África,MPEG-4/SD,1021.0,10975 H,tp 2K,,Videoguard,,RTP África,https://www.lyngsat.com/tvchannels/pt/RTP-Africa.html,False,UAU!TV,/10,9,DVB-S2,Por,pt
4.0,RTP Internacional Europa,MPEG-4/SD,1031.0,10975 H,tp 2K,,Videoguard,,RTP Internacional Europa,https://www.lyngsat.com/tvchannels/pt/RTP-Internacional-Europa.html,False,UAU!TV,/10,9,DVB-S2,Por,pt
4.0,RTP Internacional Europa,MPEG-4/SD,1031.0,10975 H,tp 2K,,Videoguard,,RTP Internacional Europa,https://www.lyngsat.com/tvchannels/pt/RTP-Internacional-Europa.html,False,UAU!TV,/10,9,DVB-S2,Por,pt
5.0,Record TV Europa,MPEG-4/SD,1041.0,10975 H,tp 2K,,Videoguard,,Record TV Europa,https://www.lyngsat.com/tvchannels/br/Record-TV-Europa.html,False,UAU!TV,/10,9,DVB-S2,Por,br
6.0,Band Internacional,MPEG-4/SD,1051.0,10975 H,tp 2K,,Videoguard,,Band Internacional,https://www.lyngsat.com/tvchannels/br/Band-Internacional.html,False,UAU!TV,/10,9,DVB-S2,Por,br
7.0,TV Zimbo,MPEG-4/SD,1061.0,10975 H,tp 2K,,Videoguard,,TV Zimbo,https://www.lyngsat.com/tvchannels/ao/TV-Zimbo.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
7.0,TV Zimbo,MPEG-4/SD,1061.0,10975 H,tp 2K,,Videoguard,,TV Zimbo,https://www.lyngsat.com/tvchannels/ao/TV-Zimbo.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
