SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
1.0,Es'hailSat promo,65535-43690MPEG-4/HD,257.0,10492 H,,,,,,,False,,4/5,1500.0,DVB-S2,,
,,224-1090,,10730 H,,50.0,,,,,False,,3/4,30000.0,DVB-S3,,
,,,,10890 V,,50.0,,,,,False,,,,,,
,,,,10930 H,,50.0,,,,,False,,,,,,
,,224-2050,,11310 V,tp E6,50.0,,,,,False,,2/3,30000.0,DVB-S2,,
,,,,11430 H,,50.0,,,,,False,,,,,,
10903.0,Qatar Today,MPEG-4/SD,931.0,10730 H,,50.0,,,Qatar Today,https://www.lyngsat.com/tvchannels/qa/Qatar-Today.html,False,,3/4,30000.0,DVB-S3,Ara,qa
10904.0,Al Mamlaka TV,MPEG-2/SD,941.0,10730 H,,50.0,,,Al Mamlaka TV,https://www.lyngsat.com/tvchannels/jo/Al-Mamlaka-TV.html,False,,3/4,30000.0,DVB-S3,Ara,jo
10904.0,Al Mamlaka TV,MPEG-2/SD,941.0,10730 H,,50.0,,,Al Mamlaka TV,https://www.lyngsat.com/tvchannels/jo/Al-Mamlaka-TV.html,False,,3/4,30000.0,DVB-S3,Ara,jo
10905.0,Al-Aqsa TV,MPEG-4/HD,951.0,10730 H,,50.0,,,Al-Aqsa TV,https://www.lyngsat.com/tvchannels/ps/Al-Aqsa-TV.html,False,,3/4,30000.0,DVB-S3,Ara,ps
,Al Rayyan,224-2070,,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,True,Al Rayyan,2/3,27500.0,DVB-S2,,qa
,Al Rayyan,224-2070,,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,True,Al Rayyan,2/3,27500.0,DVB-S2,,qa
20701.0,Al Rayyan,MPEG-4/HD,101.0,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,True,Al Rayyan,2/3,27500.0,DVB-S2,Ara,qa
20701.0,Al Rayyan,MPEG-4/HD,101.0,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,True,Al Rayyan,2/3,27500.0,DVB-S2,Ara,qa
20702.0,Al Rayyan Al Qadeem,MPEG-4/HD,102.0,10730 V,,50.0,,,Al Rayyan Al Qadeem,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan-Al-Qadeem.html,False,Al Rayyan,2/3,27500.0,DVB-S2,Ara,qa
20703.0,Al Rayyan Radio,,,10730 V,,50.0,,,Al Rayyan Radio,https://www.lyngsat.com/radiochannels/qa/Al-Rayyan-Radio.html,False,Al Rayyan,2/3,27500.0,DVB-S2,Ara,qa
20704.0,Sout Al Islam,,,10730 V,,50.0,,,Sout Al Islam,https://www.lyngsat.com/radiochannels/qa/Sout-Al-Islam.html,False,Al Rayyan,2/3,27500.0,DVB-S2,Ara,qa
,Al Kass,224-4137,,10770 H,,50.0,"Irdeto,Videoguard",https://www.lyngsat.com/providers/qa/Al-Kass.html,,,True,Al Kass,3/4,27500.0,DVB-S2,,
111.0,Al Kass Five,MPEG-4/HD,203.0,10770 H,,50.0,,,Al Kass Five,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Five.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
112.0,Al Kass Six,MPEG-4/HD,221.0,10770 H,,50.0,"Irdeto,Videoguard",,Al Kass Six,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Six.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
113.0,Al Kass Nine,MPEG-4/HD,223.0,10770 H,,50.0,"Irdeto,Videoguard",,Al Kass Nine,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Nine.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
114.0,Al Kass Ten,MPEG-4/HD,202.0,10770 H,,50.0,"Irdeto,Videoguard",,Al Kass Ten,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Ten.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
,Qatari mux,2-2,,10770 V,,50.0,,,,,False,Al Kass,3/4,27500.0,DVB-S2,,
1.0,Qatar TV,MPEG-4/HD,401.0,10770 V,,50.0,,,Qatar TV,https://www.lyngsat.com/tvchannels/qa/Qatar-TV.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
1.0,Qatar TV,MPEG-4/HD,401.0,10770 V,,50.0,,,Qatar TV,https://www.lyngsat.com/tvchannels/qa/Qatar-TV.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
2.0,Qatar TV 2,MPEG-4/HD,201.0,10770 V,,50.0,,,Qatar TV 2,https://www.lyngsat.com/tvchannels/qa/Qatar-TV-2.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
2.0,Qatar TV 2,MPEG-4/HD,201.0,10770 V,,50.0,,,Qatar TV 2,https://www.lyngsat.com/tvchannels/qa/Qatar-TV-2.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
3.0,Al Kass One,MPEG-4/HD,210.0,10770 V,,50.0,,,Al Kass One,https://www.lyngsat.com/tvchannels/qa/Al-Kass-One.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
4.0,Al Kass Two,MPEG-4/HD,204.0,10770 V,,50.0,,,Al Kass Two,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Two.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
5.0,Al Kass Four,MPEG-4/HD,205.0,10770 V,,50.0,,,Al Kass Four,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Four.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara Eng,qa
10.0,Sout al Khaleej 2,,,10770 V,,50.0,,,Sout al Khaleej 2,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-2.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
11.0,Sout al Khaleej 3,,,10770 V,,50.0,,,Sout al Khaleej 3,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-3.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
12.0,Sout al Khaleej 4,,,10770 V,,50.0,,,Sout al Khaleej 4,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-4.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
13.0,Sout al Khaleej Europe,,,10770 V,,50.0,,,Sout al Khaleej Europe,https://www.lyngsat.com/radiochannels/qa/Sout-al-Khaleej-Europe.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
21.0,Qatar Radio,,,10770 V,,50.0,,,Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Qatar-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
21.0,Qatar Radio,,,10770 V,,50.0,,,Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Qatar-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
22.0,Holy Quran Radio 1,,,10770 V,,50.0,,,Holy Quran Radio 1,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-1.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
22.0,Holy Quran Radio 1,,,10770 V,,50.0,,,Holy Quran Radio 1,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-1.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
23.0,Oryx FM,,,10770 V,,50.0,,,Oryx FM,https://www.lyngsat.com/radiochannels/qa/Oryx-FM.html,False,Al Kass,3/4,27500.0,DVB-S2,Fre,qa
23.0,Oryx FM,,,10770 V,,50.0,,,Oryx FM,https://www.lyngsat.com/radiochannels/qa/Oryx-FM.html,False,Al Kass,3/4,27500.0,DVB-S2,Fre,qa
24.0,QBS Radio,,,10770 V,,50.0,,,QBS Radio,https://www.lyngsat.com/radiochannels/qa/QBS-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Eng,qa
24.0,QBS Radio,,,10770 V,,50.0,,,QBS Radio,https://www.lyngsat.com/radiochannels/qa/QBS-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Eng,qa
25.0,Urdu Radio,,,10770 V,,50.0,,,Urdu Radio,https://www.lyngsat.com/radiochannels/qa/Urdu-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Urd,qa
25.0,Urdu Radio,,,10770 V,,50.0,,,Urdu Radio,https://www.lyngsat.com/radiochannels/qa/Urdu-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Urd,qa
26.0,Holy Quran Radio 2,,,10770 V,,50.0,,,Holy Quran Radio 2,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-2.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
26.0,Holy Quran Radio 2,,,10770 V,,50.0,,,Holy Quran Radio 2,https://www.lyngsat.com/radiochannels/qa/Holy-Quran-Radio-2.html,False,Al Kass,3/4,27500.0,DVB-S2,Ara,qa
27.0,Hola Qatar Radio,,,10770 V,,50.0,,,Hola Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Hola-Qatar-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Spa,qa
27.0,Hola Qatar Radio,,,10770 V,,50.0,,,Hola Qatar Radio,https://www.lyngsat.com/radiochannels/qa/Hola-Qatar-Radio.html,False,Al Kass,3/4,27500.0,DVB-S2,Spa,qa
,BeIn,224-8040,,10810 H,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-8060,,10810 V,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-2040,,10850 H,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-1080,,10850 V,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-4050,,10890 H,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-4010,,11310 H,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-4020,,11350 V,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-4030,,11390 H,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-8070,,11390 V,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
,BeIn,224-4040,,11430 V,,50.0,"Irdeto,Videoguard",,,,False,Al Kass,2/3,27500.0,DVB-S2,,
8605.0,[BeIn Sports Max 1 info card],MPEG-4/HD,491.0,10810 V,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,Ara,
8607.0,BeIn Sports News,MPEG-4/HD,511.0,10810 V,,50.0,,,BeIn Sports News,https://www.lyngsat.com/tvchannels/qa/BeIn-Sports-News.html,False,Al Kass,2/3,27500.0,DVB-S2,Ara,qa
20415.0,[Al Kass Seven info card],MPEG-4/HD,491.0,10850 H,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
20416.0,[Al Kass Eight info card],MPEG-4/HD,501.0,10850 H,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
20417.0,BeIn Sports,MPEG-4/HD,541.0,10850 H,,50.0,,,BeIn Sports,https://www.lyngsat.com/tvchannels/qa/BeIn-Sports.html,False,Al Kass,2/3,27500.0,DVB-S2,Ara Eng,qa
20418.0,[BeIn Sports Max 3 info card],MPEG-4/HD,451.0,10850 H,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
20419.0,[BeIn Sports Max 4 info card],MPEG-4/HD,551.0,10850 H,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
20420.0,[BeIn Sports Max 5 info card],MPEG-4/HD,521.0,10850 H,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
20421.0,[BeIn Sports Max 6 info card],MPEG-4/HD,531.0,10850 H,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
8805.0,[BeIn Sports Max 2 info card],MPEG-4/HD,531.0,10850 V,,50.0,,,,,False,Al Kass,2/3,27500.0,DVB-S2,,
4.0,A News,MPEG-4/HD,60.0,11310 V,tp E6,50.0,,,A News,https://www.lyngsat.com/tvchannels/tr/A-News.html,False,Al Kass,2/3,30000.0,DVB-S2,Eng,tr
4.0,A News,MPEG-4/HD,60.0,11310 V,tp E6,50.0,,,A News,https://www.lyngsat.com/tvchannels/tr/A-News.html,False,Al Kass,2/3,30000.0,DVB-S2,Eng,tr
20501.0,Alaraby TV,MPEG-4/HD,101.0,11310 V,tp E6,50.0,,,Alaraby TV,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,uk
20501.0,Alaraby TV,MPEG-4/HD,101.0,11310 V,tp E6,50.0,,,Alaraby TV,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,uk
20502.0,Syria TV,MPEG-4/HD,102.0,11310 V,tp E6,50.0,,,Syria TV,https://www.lyngsat.com/tvchannels/tr/Syria-TV.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,tr
20502.0,Syria TV,MPEG-4/HD,102.0,11310 V,tp E6,50.0,,,Syria TV,https://www.lyngsat.com/tvchannels/tr/Syria-TV.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,tr
20503.0,Bedaya TV,MPEG-4/HD,103.0,11310 V,tp E6,50.0,,,Bedaya TV,https://www.lyngsat.com/tvchannels/sa/Bedaya-TV.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,sa
20504.0,Alaraby TV 2,MPEG-4/HD,104.0,11310 V,tp E6,50.0,,,Alaraby TV 2,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV-2.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,uk
20504.0,Alaraby TV 2,MPEG-4/HD,104.0,11310 V,tp E6,50.0,,,Alaraby TV 2,https://www.lyngsat.com/tvchannels/uk/Alaraby-TV-2.html,False,Al Kass,2/3,30000.0,DVB-S2,Ara,uk
