SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,TuVes HD,,,10983 H,tp 8,0.0,"Verimatrix (B),StreamGuard",,,,False,,4/5,45000.0,DVB-S2,,
,TuVes HD,,,11733 H,tp 12,0.0,"Verimatrix (B),StreamGuard",,,,False,,4/5,45000.0,DVB-S2,,
,TuVes HD,,,11795 H,tp 13,0.0,"Verimatrix (B),StreamGuard",,,,False,,4/5,45000.0,DVB-S2,,
,TuVes HD,?-1,,11857 H,tp 14,0.0,"Verimatrix (B),Irdeto,StreamGuard",,,,False,,4/5,45000.0,DVB-S2,,
,TuVes HD,,,11919 H,tp 15,0.0,"Verimatrix (B),Irdeto,StreamGuard",,,,False,,000,45.0,DVB-S2,,
9990.0,[Avalpa test card],MPEG-4/SD,1501.0,10983 H,tp 8,0.0,,,,,False,,4/5,45000.0,DVB-S2,,
,Voice of America,,,11026 H,tp 9,0.0,,https://www.lyngsat.com/providers/us/Voice-of-America.html,,,True,Voice of America,1/2,12500.0,DVB-S1,,
340.0,VoA TV Global,MPEG-4/HD,100.0,11026 H,tp 9,0.0,,,VoA TV Global,https://www.lyngsat.com/tvchannels/us/VoA-TV-Global.html,False,Voice of America,1/2,12500.0,DVB-S1,Eng,us
350.0,TV Martí,MPEG-4/HD,110.0,11026 H,tp 9,0.0,,,TV Martí,https://www.lyngsat.com/tvchannels/us/TV-Marti.html,False,Voice of America,1/2,12500.0,DVB-S1,Spa,us
350.0,TV Martí,MPEG-4/HD,110.0,11026 H,tp 9,0.0,,,TV Martí,https://www.lyngsat.com/tvchannels/us/TV-Marti.html,False,Voice of America,1/2,12500.0,DVB-S1,Spa,us
300.0,Voz de América,,,11026 H,tp 9,0.0,,,Voz de América,https://www.lyngsat.com/radiochannels/us/Voz-de-America.html,False,Voice of America,1/2,12500.0,DVB-S1,Spa,us
301.0,VoA 1,,,11026 H,tp 9,0.0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html,False,Voice of America,1/2,12500.0,DVB-S1,Eng,us
301.0,VoA 1,,,11026 H,tp 9,0.0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html,False,Voice of America,1/2,12500.0,DVB-S1,Eng,us
302.0,VoA 1,,,11026 H,tp 9,0.0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html,False,Voice of America,1/2,12500.0,DVB-S1,Eng,us
302.0,VoA 1,,,11026 H,tp 9,0.0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html,False,Voice of America,1/2,12500.0,DVB-S1,Eng,us
303.0,Radio Martí,,,11026 H,tp 9,0.0,,,Radio Martí,https://www.lyngsat.com/radiochannels/us/Radio-Marti.html,False,Voice of America,1/2,12500.0,DVB-S1,Spa,us
303.0,Radio Martí,,,11026 H,tp 9,0.0,,,Radio Martí,https://www.lyngsat.com/radiochannels/us/Radio-Marti.html,False,Voice of America,1/2,12500.0,DVB-S1,Spa,us
304.0,VoA Global Live,,,11026 H,tp 9,0.0,,,VoA Global Live,https://www.lyngsat.com/radiochannels/us/VoA-Global-Live.html,False,Voice of America,1/2,12500.0,DVB-S1,Eng,us
,Freeview,,,11043 V,,,BISS,https://www.lyngsat.com/providers/uk/Freeview.html,,,True,Freeview,/10,41009.0,DVB-S2,,
0.0,BBC One North East & Cumbria,MPEG-2/SD,101.0,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC One North East & Cumbria,MPEG-2/SD,101.0,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC One North East & Cumbria,MPEG-4/HD,6601.0,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC One North East & Cumbria,MPEG-4/HD,6601.0,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC Two,MPEG-2/SD,201.0,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC Two,MPEG-2/SD,201.0,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC Two,MPEG-4/HD,6101.0,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,BBC Two,MPEG-4/HD,6101.0,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,CBBC (07-19),MPEG-2/SD,301.0,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,CBBC (07-19),MPEG-2/SD,301.0,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,CBBC (07-19),MPEG-4/HD,7001.0,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
0.0,CBBC (07-19),MPEG-4/HD,7001.0,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html,False,Freeview,/10,41009.0,DVB-S2,Eng,uk
