SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,Bell TV,256-1,,12224 R,tp 1,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-2,,12239 L,tp 2,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-3,,12253 R,tp 3,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-4,,12268 L,tp 4,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-5,,12282 R,tp 5,0,Nagravision,,,,False,,000,20,DVB-S2,,
,Bell TV,256-6,,12297 L,tp 6,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-7,,12311 R,tp 7,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-8,,12326 L,tp 8,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-9,,12341 R,tp 9,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-10,,12355 L,tp 10,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-11,,12370 R,tp 11,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-12,,12384 L,tp 12,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-13,,12399 R,tp 13,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-14,,12414 L,tp 14,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-15,,12428 R,tp 15,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-16,,12443 L,tp 16,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-17,,12457 R,tp 17,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-18,,12472 L,tp 18,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-19,,12486 R,tp 19,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-20,,12501 L,tp 20,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-21,,12516 R,tp 21,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-22,,12530 L,tp 22,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-23,,12545 R,tp 23,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-24,,12559 L,tp 24,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-25,,12574 R,tp 25,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-26,,12588 L,tp 26,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-27,,12603 R,tp 27,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-28,,12618 L,tp 28,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-29,,12632 R,tp 29,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-30,,12647 L,tp 30,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-31,,12661 R,tp 31,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
,Bell TV,256-32,,12676 L,tp 32,0,Nagravision,,,,False,,7/8,20000,DVB-S2,,
195.0,Free Previews Info Channel,MPEG-2/SD,,12559 L,tp 24,0,,,Free Previews Info Channel,https://www.lyngsat.com/tvchannels/ca/Free-Previews-Info-Channel.html,False,,7/8,20000,DVB-S2,,ca
994.0,Uniprix,,,12632 R,tp 29,0,,,Uniprix,https://www.lyngsat.com/radiochannels/ca/Uniprix.html,False,,7/8,20000,DVB-S2,Fre,ca
184.0,[Channel Lock Out info card],MPEG-2/SD,7458.0,12661 R,tp 31,0,,,,,False,,7/8,20000,DVB-S2,,
