SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
1.0,DD Uttarakhand,?-?MPEG-2/SD,522.0,3750 V,,,,,,,False,,3/4,2900.0,DVB-S2,Hin,
,DD Chhattisgarh,MPEG-2/SD,308.0,3753 V,,,,,,,False,,3/4,2900.0,DVB-S2,Hin,
,DD Jharkhand,MPEG-2/SD,308.0,3757 V,,,,,,,False,,3/4,2900.0,DVB-S2,Hin,
,(DD feeds),,,3765 V,,,,,,,False,,3/4,2900.0,DVB-S2,,
,(DD feeds),,,3774 V,,,,,,,False,,3/4,2900.0,DVB-S2,,
12.0,(DD feeds),,523.0,3885 V,,,,,,,False,,3/4,30000.0,DVB-S2,,
13.0,(DD feeds),,524.0,3885 V,,,,,,,False,,3/4,30000.0,DVB-S2,,
1.0,DD Haryana,65535-1MPEG-2/SD,308.0,3769 V,,,,,,,False,,3/4,2900.0,DVB-S2,Hin,
,Gyandarshan 1,,,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1,3/4,3000.0,DVB-S2,,in
,Gyandarshan 1,,,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1,3/4,3000.0,DVB-S2,,in
1.0,Gyandarshan 1,MPEG-4/HD,50.0,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1,3/4,3000.0,DVB-S2,Hin,in
1.0,Gyandarshan 1,MPEG-4/HD,50.0,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1,3/4,3000.0,DVB-S2,Hin,in
2.0,Gyandarshan 1,MPEG-4/SD,55.0,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1,3/4,3000.0,DVB-S2,Hin,in
2.0,Gyandarshan 1,MPEG-4/SD,55.0,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1,3/4,3000.0,DVB-S2,Hin,in
3.0,[test card],MPEG-4/SD,258.0,3832 V,,,,,,,False,Gyandarshan 1,3/4,3000.0,DVB-S2,,
6.0,[test card],MPEG-4/SD,802.0,4073 V,,,,,,,False,Gyandarshan 1,3/4,9600.0,DVB-S2,,
4.0,Gyanvani,,,3832 V,,,,,Gyanvani,https://www.lyngsat.com/radiochannels/in/Gyanvani.html,False,Gyandarshan 1,3/4,3000.0,DVB-S2,,in
,(feeds),,,3842 V,,,,,,,False,Gyandarshan 1,3/4,1100.0,DVB-S2,,
,(feeds),,,3845 V,,,,,,,False,Gyandarshan 1,3/4,1100.0,DVB-S2,,
,(feeds),,,4030 V,,,,,,,False,Gyandarshan 1,3/4,7200.0,DVB-S2,,
,(feeds),,,4040 V,,,,,,,False,Gyandarshan 1,3/4,7200.0,DVB-S2,,
,(feeds),,,4050 V,,,,,,,False,Gyandarshan 1,3/4,7200.0,DVB-S2,,
,(feeds),,,4060 V,,,,,,,False,Gyandarshan 1,3/5,7200.0,DVB-S2,,
,Kanak Teleport,0-1,,3861 V,,,,https://www.lyngsat.com/providers/in/Kanak-Teleport.html,,,True,Kanak Teleport,3/5,3974.0,DVB-S2,,
1.0,Kanak News,MPEG-4/SD,37.0,3861 V,,,,,Kanak News,https://www.lyngsat.com/tvchannels/in/Kanak-News.html,False,Kanak Teleport,3/5,3974.0,DVB-S2,Ori,in
1.0,Kanak News,MPEG-4/SD,37.0,3861 V,,,,,Kanak News,https://www.lyngsat.com/tvchannels/in/Kanak-News.html,False,Kanak Teleport,3/5,3974.0,DVB-S2,Ori,in
2.0,Manjari TV,MPEG-4/SD,47.0,3861 V,,,,,Manjari TV,https://www.lyngsat.com/tvchannels/in/Manjari-TV.html,False,Kanak Teleport,3/5,3974.0,DVB-S2,Ori,in
3.0,Anaadi TV,MPEG-4/SD,57.0,3861 V,,,,,Anaadi TV,https://www.lyngsat.com/tvchannels/in/Anaadi-TV.html,False,Kanak Teleport,3/5,3974.0,DVB-S2,,in
