SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,Platforma Canal +,318-11000,,10719 V,tp 110,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",https://www.lyngsat.com/providers/pl/Platforma-Canal--.html,,,True,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Platforma Canal +,318-11400,,10796 V,tp 114,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",https://www.lyngsat.com/providers/pl/Platforma-Canal--.html,,,True,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Platforma Canal +,318-1100,,11411 H,tp 11,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",https://www.lyngsat.com/providers/pl/Platforma-Canal--.html,,,True,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Platforma Canal +,318-1300,,11449 H,tp 13,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",https://www.lyngsat.com/providers/pl/Platforma-Canal--.html,,,True,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Platforma Canal +,318-1500,,11488 H,tp 15,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",https://www.lyngsat.com/providers/pl/Platforma-Canal--.html,,,True,Platforma Canal +,3/4,27500.0,DVB-S2,,
4409,TVP Info,MPEG-4/HD,168.0,10719 V,tp 110,44-46,,,TVP Info,https://www.lyngsat.com/tvchannels/pl/TVP-Info.html,False,Platforma Canal +,3/4,27500.0,DVB-S2,Pol,pl
4409,TVP Info,MPEG-4/HD,168.0,10719 V,tp 110,44-46,,,TVP Info,https://www.lyngsat.com/tvchannels/pl/TVP-Info.html,False,Platforma Canal +,3/4,27500.0,DVB-S2,Pol,pl
,Polsat Box,318-11200,,10758 V,tp 112,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,318-12000,,10911 V,tp 120,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,318-13000,,11117 V,tp 130,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,113-13200,,11158 V,tp 132,44-46,"Conax,Irdeto,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,318-6500,,12015 H,tp 65,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,113-7400,,12188 V,tp 74,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,113-7800,,12265 V,tp 78,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
,Polsat Box,113-7900,,12284 H,tp 79,44-46,"Conax,Irdeto,Mediaguard,Nagravision,Viaccess",,,,False,Platforma Canal +,3/4,27500.0,DVB-S2,,
17023,Stars TV,MPEG-4/SD,291.0,10758 V,tp 112,44-46,,,Stars TV,https://www.lyngsat.com/tvchannels/pl/Stars-TV.html,False,Platforma Canal +,3/4,27500.0,DVB-S2,Pol,pl
17037,4 Fun TV,MPEG-4/SD,265.0,10758 V,tp 112,44-46,,,4 Fun TV,https://www.lyngsat.com/tvchannels/pl/4-Fun-TV.html,False,Platforma Canal +,3/4,27500.0,DVB-S2,Pol,pl
17037,4 Fun TV,MPEG-4/SD,265.0,10758 V,tp 112,44-46,,,4 Fun TV,https://www.lyngsat.com/tvchannels/pl/4-Fun-TV.html,False,Platforma Canal +,3/4,27500.0,DVB-S2,Pol,pl
