SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,,,,3641 L,tp 52,0.0,,,,,False,,,,,,
,,,,3675 R,tp 53,0.0,,,,,False,,,,,,
,,,,3679 R,tp 53,0.0,,,,,False,,,,,,
,,3-1,,3710 L,tp 56,0.0,,,,,False,,3/4,8330.0,DVB-S2,,
,,,,3763 R,tp 57,0.0,,,,,False,,,,,,
,,100-100,,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto,VisionCrypt",,,,False,,5/6,30000.0,DVB-S2,,
,,513-513,,3830 R,tp 61,0.0,,,,,False,,2/3,6666.0,DVB-S2,,
,,1-101,,3834 L,tp 62,0.0,PowerVu,,,,False,,5/6,15000.0,DVB-S2,,
,,3-101,,3847 L,tp 62,0.0,PowerVu,,,,False,,3/4,6670.0,DVB-S6,,
,,1-0,,3858 R,tp 61,0.0,,,,,False,,3/4,5714.0,DVB-S2,,
,,,,3874 R,tp 63,0.0,,,,,False,,,,,,
,,,,3878 L,tp 64,0.0,,,,,False,,,,,,
,,,,3884 R,tp 63,0.0,,,,,False,,,,,,
,,,,3887 L,tp 64,0.0,,,,,False,,,,,,
,,,,4004 L,tp 70,0.0,,,,,False,,,,,,
,,,,4043 R,tp 71,0.0,,,,,False,,,,,,
,,8362-3031,,4061 L,tp 72,0.0,,,,,False,,3/4,4285.0,DVB-S2,,
,,33-1,,4135 L,tp 76,0.0,PowerVu,,,,False,,5/6,30000.0,DVB-S2,,
,,,,4151 R,tp 75,0.0,,,,,False,,,,,,
,,1-1,,4191 L,tp 78,0.0,"PowerVu,Viaccess",,,,False,,2/3,7332.0,DVB-S2,,
1,Canal Antigua,MPEG-4/SD,34.0,3710 L,tp 56,0.0,,,Canal Antigua,https://www.lyngsat.com/tvchannels/gt/Canal-Antigua.html,False,,3/4,8330.0,DVB-S2,Spa,gt
2,Conectados con Dios TV,MPEG-4/SD,36.0,3710 L,tp 56,0.0,,,Conectados con Dios TV,https://www.lyngsat.com/tvchannels/gt/Conectados-con-Dios-TV.html,False,,3/4,8330.0,DVB-S2,Spa,gt
2,Conectados con Dios TV,MPEG-4/SD,36.0,3710 L,tp 56,0.0,,,Conectados con Dios TV,https://www.lyngsat.com/tvchannels/gt/Conectados-con-Dios-TV.html,False,,3/4,8330.0,DVB-S2,Spa,gt
6,Gallero Soy,MPEG-4/SD,41.0,3710 L,tp 56,0.0,,,Gallero Soy,https://www.lyngsat.com/tvchannels/do/Gallero-Soy.html,False,,3/4,8330.0,DVB-S2,Spa,do
9,LTV,MPEG-4/SD,769.0,3710 L,tp 56,0.0,,,LTV,https://www.lyngsat.com/tvchannels/hn/LTV.html,False,,3/4,8330.0,DVB-S2,Spa,hn
9,LTV,MPEG-4/SD,769.0,3710 L,tp 56,0.0,,,LTV,https://www.lyngsat.com/tvchannels/hn/LTV.html,False,,3/4,8330.0,DVB-S2,Spa,hn
10,TV Canal Sur,MPEG-4/SD,43.0,3710 L,tp 56,0.0,,,TV Canal Sur,https://www.lyngsat.com/tvchannels/do/TV-Canal-Sur.html,False,,3/4,8330.0,DVB-S2,Spa,do
10,TV Canal Sur,MPEG-4/SD,43.0,3710 L,tp 56,0.0,,,TV Canal Sur,https://www.lyngsat.com/tvchannels/do/TV-Canal-Sur.html,False,,3/4,8330.0,DVB-S2,Spa,do
11,Megavisión,MPEG-4/SD,48.0,3710 L,tp 56,0.0,,,Megavisión,https://www.lyngsat.com/tvchannels/do/Megavision.html,False,,3/4,8330.0,DVB-S2,Spa,do
12,Teleunion,MPEG-4/SD,4128.0,3710 L,tp 56,0.0,,,Teleunion,https://www.lyngsat.com/tvchannels/do/Teleunion.html,False,,3/4,8330.0,DVB-S2,Spa,do
14,TNH Canal 8,MPEG-4/SD,51.0,3710 L,tp 56,0.0,,,TNH Canal 8,https://www.lyngsat.com/tvchannels/hn/TNH-Canal-8.html,False,,3/4,8330.0,DVB-S2,Spa,hn
14,TNH Canal 8,MPEG-4/SD,51.0,3710 L,tp 56,0.0,,,TNH Canal 8,https://www.lyngsat.com/tvchannels/hn/TNH-Canal-8.html,False,,3/4,8330.0,DVB-S2,Spa,hn
15,Congreso TV (Honduras),MPEG-4/SD,54.0,3710 L,tp 56,0.0,,,Congreso TV (Honduras),https://www.lyngsat.com/tvchannels/hn/Congreso-TV.html,False,,3/4,8330.0,DVB-S2,Spa,hn
16,Une TV,MPEG-4/HD,62.0,3710 L,tp 56,0.0,,,Une TV,https://www.lyngsat.com/tvchannels/hn/Une-TV.html,False,,3/4,8330.0,DVB-S2,Spa,hn
16,Une TV,MPEG-4/HD,62.0,3710 L,tp 56,0.0,,,Une TV,https://www.lyngsat.com/tvchannels/hn/Une-TV.html,False,,3/4,8330.0,DVB-S2,Spa,hn
3011,Canal 6 (Honduras),HEVC,47.0,3710 L,tp 56,0.0,,,Canal 6 (Honduras),https://www.lyngsat.com/tvchannels/hn/Canal-6.html,False,,3/4,8330.0,DVB-S2,Spa,hn
3011,Canal 6 (Honduras),HEVC,47.0,3710 L,tp 56,0.0,,,Canal 6 (Honduras),https://www.lyngsat.com/tvchannels/hn/Canal-6.html,False,,3/4,8330.0,DVB-S2,Spa,hn
7,Radio Nacional de Honduras,,,3710 L,tp 56,0.0,,,Radio Nacional de Honduras,https://www.lyngsat.com/radiochannels/hn/Radio-Nacional-de-Honduras.html,False,,3/4,8330.0,DVB-S2,Spa,hn
7,Radio Nacional de Honduras,,,3710 L,tp 56,0.0,,,Radio Nacional de Honduras,https://www.lyngsat.com/radiochannels/hn/Radio-Nacional-de-Honduras.html,False,,3/4,8330.0,DVB-S2,Spa,hn
,(feeds),,,3725 L,tp 56,,,,,,False,,3/4,3750.0,DVB-S2,,
,(feeds),,,3870 R,tp 63,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,3905 L,tp 66,,,,,,False,,3/4,3680.0,DVB-S2,,
903,(feeds),,904.0,3935 L,tp 66,0.0,Irdeto,,,,False,,2/3,9600.0,DVB-S2,,
,(feeds),,,3938 R,tp 65,,,,,,False,,2/3,4700.0,DVB-S4,,
,(feeds),,,11340 H,tp AEH70,,,,,,False,,3/4,14400.0,DVB-S2,,
,(ESPN feeds),,,3763 L,tp 58,,,,,,False,,5/6,30000.0,DVB-S2,,
1,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),MPEG-2/SD,2001.0,3803 L,tp 60,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,False,,5/6,30000.0,DVB-S2,Hun,hu
1,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),MPEG-2/SD,2001.0,3803 L,tp 60,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,False,,5/6,30000.0,DVB-S2,Hun,hu
1,M4 Sport + (Sat-Sun 14-22),MPEG-2/SD,2001.0,3803 L,tp 60,0.0,,,M4 Sport + (Sat-Sun 14-22),https://www.lyngsat.com/tvchannels/hu/M4-Sport--.html,False,,5/6,30000.0,DVB-S2,Hun,hu
3,TV Agro,MPEG-4/SD,101.0,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,TV Agro,https://www.lyngsat.com/tvchannels/co/TV-Agro.html,False,,5/6,30000.0,DVB-S2,Spa,co
4,Primetime (USA),MPEG-4/SD,253.0,3803 L,tp 60,0.0,VisionCrypt,,Primetime (USA),https://www.lyngsat.com/tvchannels/us/Primetime.html,False,,5/6,30000.0,DVB-S2,Spa,us
5,Hogar TV (Colombia),MPEG-4/SD,201.0,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,Hogar TV (Colombia),https://www.lyngsat.com/tvchannels/co/Hogar-TV.html,False,,5/6,30000.0,DVB-S2,Spa,co
6,Rumba TV,MPEG-4/SD,301.0,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,Rumba TV,https://www.lyngsat.com/tvchannels/co/Rumba-TV.html,False,,5/6,30000.0,DVB-S2,Spa,co
7,Tele Nostalgia,MPEG-4/SD,501.0,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,Tele Nostalgia,https://www.lyngsat.com/tvchannels/co/Tele-Nostalgia.html,False,,5/6,30000.0,DVB-S2,Spa,co
8,Mórbido TV,MPEG-4/HD,500.0,3803 L,tp 60,0.0,,,Mórbido TV,https://www.lyngsat.com/tvchannels/mx/Morbido-TV.html,False,,5/6,30000.0,DVB-S2,Spa,mx
9,Aliento Vision,MPEG-4/SD,481.0,3803 L,tp 60,0.0,,,Aliento Vision,https://www.lyngsat.com/tvchannels/us/Aliento-Vision.html,False,,5/6,30000.0,DVB-S2,Spa,us
9,Aliento Vision,MPEG-4/SD,481.0,3803 L,tp 60,0.0,,,Aliento Vision,https://www.lyngsat.com/tvchannels/us/Aliento-Vision.html,False,,5/6,30000.0,DVB-S2,Spa,us
1613,ZooMoo Kids,MPEG-4/HD,3538.0,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,False,,5/6,30000.0,DVB-S2,Por,nz
1613,ZooMoo Kids,MPEG-4/HD,3538.0,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,False,,5/6,30000.0,DVB-S2,Por,nz
1614,ZooMoo Kids,MPEG-2/SD,3839.0,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,False,,5/6,30000.0,DVB-S2,Por,nz
1614,ZooMoo Kids,MPEG-2/SD,3839.0,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,False,,5/6,30000.0,DVB-S2,Por,nz
2,Duna World Rádió,,,3803 L,tp 60,0.0,,,Duna World Rádió,https://www.lyngsat.com/radiochannels/hu/Duna-World-Radio.html,False,,5/6,30000.0,DVB-S2,Hun,hu
2,Duna World Rádió,,,3803 L,tp 60,0.0,,,Duna World Rádió,https://www.lyngsat.com/radiochannels/hu/Duna-World-Radio.html,False,,5/6,30000.0,DVB-S2,Hun,hu
1,Rede Gênesis,MPEG-4/HD,530.0,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,False,,2/3,6666.0,DVB-S2,Por Por,br
1,Rede Gênesis,MPEG-4/HD,530.0,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,False,,2/3,6666.0,DVB-S2,Por Por,br
4,Rede Gênesis,MPEG-2/1seg,337.0,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,False,,2/3,6666.0,DVB-S2,Por,br
4,Rede Gênesis,MPEG-2/1seg,337.0,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,False,,2/3,6666.0,DVB-S2,Por,br
3,Sara Brasil FM,,,3830 R,tp 61,0.0,,,Sara Brasil FM,https://www.lyngsat.com/radiochannels/br/Sara-Brasil-FM.html,False,,2/3,6666.0,DVB-S2,Por,br
3,Sara Brasil FM,,,3830 R,tp 61,0.0,,,Sara Brasil FM,https://www.lyngsat.com/radiochannels/br/Sara-Brasil-FM.html,False,,2/3,6666.0,DVB-S2,Por,br
111,LN+,MPEG-4/HD,1110.0,3834 L,tp 62,0.0,PowerVu,,LN+,https://www.lyngsat.com/tvchannels/ar/LN-.html,False,,5/6,15000.0,DVB-S2,Spa,ar
111,LN+,MPEG-4/HD,1110.0,3834 L,tp 62,0.0,PowerVu,,LN+,https://www.lyngsat.com/tvchannels/ar/LN-.html,False,,5/6,15000.0,DVB-S2,Spa,ar
112,Plim Plim,MPEG-4/HD,1620.0,3834 L,tp 62,0.0,,,Plim Plim,https://www.lyngsat.com/tvchannels/ar/Plim-Plim.html,False,,5/6,15000.0,DVB-S2,Spa,ar
113,Unife,MPEG-4/HD,1130.0,3834 L,tp 62,0.0,PowerVu,,Unife,https://www.lyngsat.com/tvchannels/ar/Unife.html,False,,5/6,15000.0,DVB-S2,Spa,ar
113,Unife,MPEG-4/HD,1130.0,3834 L,tp 62,0.0,PowerVu,,Unife,https://www.lyngsat.com/tvchannels/ar/Unife.html,False,,5/6,15000.0,DVB-S2,Spa,ar
