SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
1.0,TV Tapajós,?-?MPEG-2/SD,256.0,3890 V,tp 5BNC,0.0,,,,,False,,5/6,4000.0,DVB-S4,Por,
2.0,94 FM (Santarém),,,3890 V,tp 5BNC,0.0,,,94 FM (Santarém),https://www.lyngsat.com/radiochannels/br/94-FM.html,False,,5/6,4000.0,DVB-S4,Por,br
2.0,94 FM (Santarém),,,3890 V,tp 5BNC,0.0,,,94 FM (Santarém),https://www.lyngsat.com/radiochannels/br/94-FM.html,False,,5/6,4000.0,DVB-S4,Por,br
,TV Mirante,,,3908 H,tp 6ANC,0.0,,https://www.lyngsat.com/providers/br/TV-Mirante.html,,,True,TV Mirante,3/4,8333.0,DVB-S2,,
,TV Mirante Imperatriz,MPEG-4/1seg,101.0,3908 H,tp 6ANC,0.0,,,TV Mirante Imperatriz,https://www.lyngsat.com/tvchannels/br/TV-Mirante-Imperatriz.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,TV Mirante Imperatriz,MPEG-4/1seg,101.0,3908 H,tp 6ANC,0.0,,,TV Mirante Imperatriz,https://www.lyngsat.com/tvchannels/br/TV-Mirante-Imperatriz.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,TV Mirante Imperatriz,MPEG-4/HD,1001.0,3908 H,tp 6ANC,0.0,,,TV Mirante Imperatriz,https://www.lyngsat.com/tvchannels/br/TV-Mirante-Imperatriz.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,TV Mirante Imperatriz,MPEG-4/HD,1001.0,3908 H,tp 6ANC,0.0,,,TV Mirante Imperatriz,https://www.lyngsat.com/tvchannels/br/TV-Mirante-Imperatriz.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,TV Educação MA,MPEG-4/HD,265.0,3908 H,tp 6ANC,0.0,,,TV Educação MA,https://www.lyngsat.com/tvchannels/br/TV-Educacao-MA.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,TV Mirante Cocais,MPEG-4/HD,273.0,3908 H,tp 6ANC,0.0,,,TV Mirante Cocais,https://www.lyngsat.com/tvchannels/br/TV-Mirante-Cocais.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,Mirante FM,,,3908 H,tp 6ANC,0.0,,,Mirante FM,https://www.lyngsat.com/radiochannels/br/Mirante-FM.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,Mirante FM,,,3908 H,tp 6ANC,0.0,,,Mirante FM,https://www.lyngsat.com/radiochannels/br/Mirante-FM.html,False,TV Mirante,3/4,8333.0,DVB-S2,Por,br
,,,,3918 H,tp 6ANC,0.0,,,,,False,TV Mirante,3/4,8232.0,DVB-S2,,
,Rede Clube,MPEG-4/1seg,101.0,3918 H,tp 6ANC,0.0,,,Rede Clube,https://www.lyngsat.com/tvchannels/br/Rede-Clube.html,False,TV Mirante,3/4,8232.0,DVB-S2,Por,br
,Rede Clube,MPEG-4/1seg,101.0,3918 H,tp 6ANC,0.0,,,Rede Clube,https://www.lyngsat.com/tvchannels/br/Rede-Clube.html,False,TV Mirante,3/4,8232.0,DVB-S2,Por,br
,Rede Clube,MPEG-4/HD,273.0,3918 H,tp 6ANC,0.0,,,Rede Clube,https://www.lyngsat.com/tvchannels/br/Rede-Clube.html,False,TV Mirante,3/4,8232.0,DVB-S2,Por,br
,Rede Clube,MPEG-4/HD,273.0,3918 H,tp 6ANC,0.0,,,Rede Clube,https://www.lyngsat.com/tvchannels/br/Rede-Clube.html,False,TV Mirante,3/4,8232.0,DVB-S2,Por,br
