SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,,,,12188 L,tp 25,0,,,,,False,,3/4,27500,DVB-S2,,
17.0,Novoe Radio,,,12188 L,tp 25,0,,,Novoe Radio,https://www.lyngsat.com/radiochannels/ru/Novoe-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
17.0,Novoe Radio,,,12188 L,tp 25,0,,,Novoe Radio,https://www.lyngsat.com/radiochannels/ru/Novoe-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
18.0,Nashe Radio (+4h),,,12188 L,tp 25,0,,,Nashe Radio (+4h),https://www.lyngsat.com/radiochannels/ru/Nashe-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
18.0,Nashe Radio (+4h),,,12188 L,tp 25,0,,,Nashe Radio (+4h),https://www.lyngsat.com/radiochannels/ru/Nashe-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
21.0,Love Radio (Russia),,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
21.0,Love Radio (Russia),,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
21.0,Love Radio (Russia),,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
21.0,Love Radio (Russia),,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
56758.0,Love Radio (Russia),,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
56758.0,Love Radio (Russia),,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
56758.0,Love Radio (Russia),,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
56758.0,Love Radio (Russia),,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html,False,,3/4,27500,DVB-S2,Rus,ru
,NTV Plus Dalniy Vostok,,,12245 R,tp 28,0,"Compunicate,Viaccess",,,,False,,3/4,27500,DVB-S2,,
,NTV Plus Dalniy Vostok,,,12303 L,tp 31,0,"Compunicate,Viaccess",,,,False,,3/4,27500,DVB-S2,,
,NTV Plus Dalniy Vostok,,,12322 R,tp 32,0,"Compunicate,Viaccess",,,,False,,3/4,27500,DVB-S2,,
,NTV Plus Dalniy Vostok,,,12380 L,tp 35,0,"Compunicate,Viaccess",,,,False,,3/4,27500,DVB-S2,,
,NTV Plus Dalniy Vostok,,,12399 R,tp 36,0,"Compunicate,Viaccess",,,,False,,3/4,27500,DVB-S2,,
,NTV Plus Dalniy Vostok,,,12476 R,tp 40,0,"Compunicate,Viaccess",,,,False,,3/4,27500,DVB-S2,,
56741.0,Humor FM,,,12380 L,tp 35,0,,,Humor FM,https://www.lyngsat.com/radiochannels/ru/Humor-FM.html,False,,3/4,27500,DVB-S2,Rus,ru
56741.0,Humor FM,,,12380 L,tp 35,0,,,Humor FM,https://www.lyngsat.com/radiochannels/ru/Humor-FM.html,False,,3/4,27500,DVB-S2,Rus,ru
56743.0,Radio Romantika,,,12380 L,tp 35,0,,,Radio Romantika,https://www.lyngsat.com/radiochannels/ru/Radio-Romantika.html,False,,3/4,27500,DVB-S2,Rus,ru
