SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
16300.0,TRT 4K,1070-43104HEVC/UHD,4855.0,11767 V,tp 31,46-50,,,,,False,,3/4,15000.0,DVB-S2,Tur,,
,Tivibu,1070-43203,,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,False,,3/4,20000.0,DVB-S2,,,
,Tivibu,1070-43401,,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,False,,3/4,25000.0,DVB-S2,,,
,Tivibu,1070-43402,,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,False,,3/4,20000.0,DVB-S2,,,
,TRT,1070-43105,,11794 V,tp 31,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,True,TRT,3/4,30000.0,DVB-S2,,,tr
,TRT,1070-43105,,11794 V,tp 31,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,True,TRT,3/4,30000.0,DVB-S2,,,tr
,TRT,1070-40301,,11958 V,tp 3,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,True,TRT,5/6,27500.0,DVB-S2,,,tr
,TRT,1070-40301,,11958 V,tp 3,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,True,TRT,5/6,27500.0,DVB-S2,,,tr
10600.0,TRT Çocuk,MPEG-4/HD,1600.0,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10600.0,TRT Çocuk,MPEG-4/HD,1600.0,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10600.0,TRT Çocuk,MPEG-4/HD,1600.0,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10600.0,TRT Çocuk,MPEG-4/HD,1600.0,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10504.0,TRT Çocuk,MPEG-2/SD,1504.0,11958 V,tp 3,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10504.0,TRT Çocuk,MPEG-2/SD,1504.0,11958 V,tp 3,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10504.0,TRT Çocuk,MPEG-2/SD,1504.0,11958 V,tp 3,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10504.0,TRT Çocuk,MPEG-2/SD,1504.0,11958 V,tp 3,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10601.0,TRT 1,MPEG-4/HD,1601.0,11794 V,tp 31,46-50,,,TRT 1,https://www.lyngsat.com/tvchannels/tr/TRT-1.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10601.0,TRT 1,MPEG-4/HD,1601.0,11794 V,tp 31,46-50,,,TRT 1,https://www.lyngsat.com/tvchannels/tr/TRT-1.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10601.0,TRT 1,MPEG-4/HD,1601.0,11794 V,tp 31,46-50,,,TRT 1,https://www.lyngsat.com/tvchannels/tr/TRT-1.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10601.0,TRT 1,MPEG-4/HD,1601.0,11794 V,tp 31,46-50,,,TRT 1,https://www.lyngsat.com/tvchannels/tr/TRT-1.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
