SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,SES,3-3217,,12032 H,tp 217,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",https://www.lyngsat.com/providers/lu/SES.html,,,True,SES,/10,75009.0,DVB-S2,,,lu
,SES,3-3217,,12032 H,tp 217,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",https://www.lyngsat.com/providers/lu/SES.html,,,True,SES,/10,75009.0,DVB-S2,,,lu
,SES,3-3224,,12168 V,tp 224,,,https://www.lyngsat.com/providers/lu/SES.html,,,True,SES,3/4,27500.0,DVB-S2,,,lu
,SES,3-3224,,12168 V,tp 224,,,https://www.lyngsat.com/providers/lu/SES.html,,,True,SES,3/4,27500.0,DVB-S2,,,lu
6101.0,Stingray Classica,MPEG-4/HD,511.0,12032 H,tp 217,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Stingray Classica,https://www.lyngsat.com/tvchannels/ca/Stingray-Classica.html,False,SES,/10,75009.0,DVB-S2,Ger,ca,
6101.0,Stingray Classica,MPEG-4/HD,511.0,12032 H,tp 217,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Stingray Classica,https://www.lyngsat.com/tvchannels/ca/Stingray-Classica.html,False,SES,/10,75009.0,DVB-S2,Ger,ca,
5172.0,Stingray Classica,MPEG-4/HD,511.0,12363 V,tp 234,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Stingray Classica,https://www.lyngsat.com/tvchannels/ca/Stingray-Classica.html,False,SES,3/4,29500.0,DVB-S2,Ger,ca,
5172.0,Stingray Classica,MPEG-4/HD,511.0,12363 V,tp 234,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Stingray Classica,https://www.lyngsat.com/tvchannels/ca/Stingray-Classica.html,False,SES,3/4,29500.0,DVB-S2,Ger,ca,
6102.0,Stingray IConcerts,MPEG-4/HD,767.0,12032 H,tp 217,,"Conax,Irdeto,Nagravision,Viaccess",,Stingray IConcerts,https://www.lyngsat.com/tvchannels/ca/Stingray-IConcerts.html,False,SES,/10,75009.0,DVB-S2,Eng,ca,
6102.0,Stingray IConcerts,MPEG-4/HD,767.0,12032 H,tp 217,,"Conax,Irdeto,Nagravision,Viaccess",,Stingray IConcerts,https://www.lyngsat.com/tvchannels/ca/Stingray-IConcerts.html,False,SES,/10,75009.0,DVB-S2,Eng,ca,
5171.0,Stingray IConcerts,MPEG-4/HD,767.0,12363 V,tp 234,,"Conax,Irdeto,Nagravision,Viaccess",,Stingray IConcerts,https://www.lyngsat.com/tvchannels/ca/Stingray-IConcerts.html,False,SES,3/4,29500.0,DVB-S2,Eng,ca,
5171.0,Stingray IConcerts,MPEG-4/HD,767.0,12363 V,tp 234,,"Conax,Irdeto,Nagravision,Viaccess",,Stingray IConcerts,https://www.lyngsat.com/tvchannels/ca/Stingray-IConcerts.html,False,SES,3/4,29500.0,DVB-S2,Eng,ca,
6103.0,Auto Motor und Sport,MPEG-4/HD,1023.0,12032 H,tp 217,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Auto Motor und Sport,https://www.lyngsat.com/tvchannels/de/Auto-Motor-und-Sport.html,False,SES,/10,75009.0,DVB-S2,Ger Bul Cze Hun,de,
6103.0,Auto Motor und Sport,MPEG-4/HD,1023.0,12032 H,tp 217,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Auto Motor und Sport,https://www.lyngsat.com/tvchannels/de/Auto-Motor-und-Sport.html,False,SES,/10,75009.0,DVB-S2,Ger Bul Cze Hun,de,
5170.0,Auto Motor und Sport,MPEG-4/HD,1023.0,12363 V,tp 234,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Auto Motor und Sport,https://www.lyngsat.com/tvchannels/de/Auto-Motor-und-Sport.html,False,SES,3/4,29500.0,DVB-S2,Ger Bul Cze Hun,de,
5170.0,Auto Motor und Sport,MPEG-4/HD,1023.0,12363 V,tp 234,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Auto Motor und Sport,https://www.lyngsat.com/tvchannels/de/Auto-Motor-und-Sport.html,False,SES,3/4,29500.0,DVB-S2,Ger Bul Cze Hun,de,
6121.0,RTS Nauka,MPEG-4/SD,2815.0,12032 H,tp 217,,Conax,,RTS Nauka,https://www.lyngsat.com/tvchannels/rs/RTS-Nauka.html,False,SES,/10,75009.0,DVB-S2,Srp,rs,
6121.0,RTS Nauka,MPEG-4/SD,2815.0,12032 H,tp 217,,Conax,,RTS Nauka,https://www.lyngsat.com/tvchannels/rs/RTS-Nauka.html,False,SES,/10,75009.0,DVB-S2,Srp,rs,
5001.0,RTS Nauka,MPEG-4/SD,2815.0,12363 V,tp 234,,"Conax,Nagravision",,RTS Nauka,https://www.lyngsat.com/tvchannels/rs/RTS-Nauka.html,False,SES,3/4,29500.0,DVB-S2,Srp,rs,
5001.0,RTS Nauka,MPEG-4/SD,2815.0,12363 V,tp 234,,"Conax,Nagravision",,RTS Nauka,https://www.lyngsat.com/tvchannels/rs/RTS-Nauka.html,False,SES,3/4,29500.0,DVB-S2,Srp,rs,
6122.0,RTS Poletarac 2,MPEG-4/SD,3071.0,12032 H,tp 217,,Conax,,RTS Poletarac 2,https://www.lyngsat.com/tvchannels/rs/RTS-Poletarac-2.html,False,SES,/10,75009.0,DVB-S2,Srp,rs,
6122.0,RTS Poletarac 2,MPEG-4/SD,3071.0,12032 H,tp 217,,Conax,,RTS Poletarac 2,https://www.lyngsat.com/tvchannels/rs/RTS-Poletarac-2.html,False,SES,/10,75009.0,DVB-S2,Srp,rs,
5002.0,RTS Poletarac 2,MPEG-4/SD,3071.0,12363 V,tp 234,,"Conax,Nagravision",,RTS Poletarac 2,https://www.lyngsat.com/tvchannels/rs/RTS-Poletarac-2.html,False,SES,3/4,29500.0,DVB-S2,Srp,rs,
5002.0,RTS Poletarac 2,MPEG-4/SD,3071.0,12363 V,tp 234,,"Conax,Nagravision",,RTS Poletarac 2,https://www.lyngsat.com/tvchannels/rs/RTS-Poletarac-2.html,False,SES,3/4,29500.0,DVB-S2,Srp,rs,
6190.0,@ Astra Connect,,,12032 H,tp 217,,Nagravision,,,,False,SES,/10,75009.0,DVB-S2,,,
