SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,,318-11100,,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,,,False,,3/4,30000.0,DVB-S2,,,
,,,,12245 H,tp 77,44-46,,,,,False,,,,,,,
4602,NASA TV UHD,HEVC/UHD,357.0,10727 H,tp 111,44-46,,,NASA TV UHD,https://www.lyngsat.com/tvchannels/us/NASA-TV-UHD.html,False,,3/4,30000.0,DVB-S2,Eng Eng,us,
4603,Travelxp 4K Europe,HEVC/UHD,457.0,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,Travelxp 4K Europe,https://www.lyngsat.com/tvchannels/in/Travelxp-4K-Europe.html,False,,3/4,30000.0,DVB-S2,Eng Cze Ger Hun Fre Rus Pol,in,
4604,Museum TV International,HEVC/UHD,6041.0,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,Museum TV International,https://www.lyngsat.com/tvchannels/fr/Museum-TV-International.html,False,,3/4,30000.0,DVB-S2,Eng Fre Pol Rus,fr,
4605,MyZen TV 4K,HEVC/UHD,6501.0,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,MyZen TV 4K,https://www.lyngsat.com/tvchannels/fr/MyZen-TV-4K.html,False,,3/4,30000.0,DVB-S2,Spa Eng Fre Rus Tur Pol,fr,
,Kabelio,318-11700,,10853 H,tp 117,44-46,Panaccess,,,,False,,2/3,29900.0,DVB-S2,,,
,Kabelio,318-12900,,11096 H,tp 129,44-46,Panaccess,,,,False,,3/4,30000.0,DVB-S2,,,
,Kabelio,318-1700,,11526 H,tp 17,44-46,Panaccess,,,,False,,2/3,29700.0,DVB-S2,,,
,SNRT,176-11800,,10873 V,tp 118,44-46,,https://www.lyngsat.com/providers/ma/SNRT.html,,,True,SNRT,3/4,27500.0,DVB-S2,,,ma
1,Al Maghribia,MPEG-4/HD,308.0,10873 V,tp 118,44-46,,,Al Maghribia,https://www.lyngsat.com/tvchannels/ma/Al-Maghribia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
1,Al Maghribia,MPEG-4/HD,308.0,10873 V,tp 118,44-46,,,Al Maghribia,https://www.lyngsat.com/tvchannels/ma/Al-Maghribia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
2,Laayoune TV,MPEG-4/HD,35.0,10873 V,tp 118,44-46,,,Laayoune TV,https://www.lyngsat.com/tvchannels/ma/Laayoune-TV.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
2,Laayoune TV,MPEG-4/HD,35.0,10873 V,tp 118,44-46,,,Laayoune TV,https://www.lyngsat.com/tvchannels/ma/Laayoune-TV.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
3,Al Aoula Inter,MPEG-4/HD,1001.0,10873 V,tp 118,44-46,,,Al Aoula Inter,https://www.lyngsat.com/tvchannels/ma/Al-Aoula-Inter.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
3,Al Aoula Inter,MPEG-4/HD,1001.0,10873 V,tp 118,44-46,,,Al Aoula Inter,https://www.lyngsat.com/tvchannels/ma/Al-Aoula-Inter.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
5,Al Aoula Inter,MPEG-2/SD,1026.0,10873 V,tp 118,44-46,,,Al Aoula Inter,https://www.lyngsat.com/tvchannels/ma/Al-Aoula-Inter.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
5,Al Aoula Inter,MPEG-2/SD,1026.0,10873 V,tp 118,44-46,,,Al Aoula Inter,https://www.lyngsat.com/tvchannels/ma/Al-Aoula-Inter.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
4,Athaqafia,MPEG-4/HD,46.0,10873 V,tp 118,44-46,,,Athaqafia,https://www.lyngsat.com/tvchannels/ma/Athaqafia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
4,Athaqafia,MPEG-4/HD,46.0,10873 V,tp 118,44-46,,,Athaqafia,https://www.lyngsat.com/tvchannels/ma/Athaqafia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
6,Assadissa,MPEG-4/HD,1537.0,10873 V,tp 118,44-46,,,Assadissa,https://www.lyngsat.com/tvchannels/ma/Assadissa.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
6,Assadissa,MPEG-4/HD,1537.0,10873 V,tp 118,44-46,,,Assadissa,https://www.lyngsat.com/tvchannels/ma/Assadissa.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
10,Arryadia,MPEG-4/HD,2562.0,10873 V,tp 118,44-46,,,Arryadia,https://www.lyngsat.com/tvchannels/ma/Arryadia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
10,Arryadia,MPEG-4/HD,2562.0,10873 V,tp 118,44-46,,,Arryadia,https://www.lyngsat.com/tvchannels/ma/Arryadia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
241,Tamazight,MPEG-4/HD,3841.0,10873 V,tp 118,44-46,,,Tamazight,https://www.lyngsat.com/tvchannels/ma/Tamazight.html,False,SNRT,3/4,27500.0,DVB-S2,Ber,ma,
241,Tamazight,MPEG-4/HD,3841.0,10873 V,tp 118,44-46,,,Tamazight,https://www.lyngsat.com/tvchannels/ma/Tamazight.html,False,SNRT,3/4,27500.0,DVB-S2,Ber,ma,
11,Idaa al Watania,,,10873 V,tp 118,44-46,,,Idaa al Watania,https://www.lyngsat.com/radiochannels/ma/Idaa-al-Watania.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
11,Idaa al Watania,,,10873 V,tp 118,44-46,,,Idaa al Watania,https://www.lyngsat.com/radiochannels/ma/Idaa-al-Watania.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
12,Sud Radio,,,10873 V,tp 118,44-46,,,Sud Radio,https://www.lyngsat.com/radiochannels/eh/Sud-Radio.html,False,SNRT,3/4,27500.0,DVB-S2,,eh,
14,Chaîne Inter,,,10873 V,tp 118,44-46,,,Chaîne Inter,https://www.lyngsat.com/radiochannels/ma/Chaine-Inter.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
14,Chaîne Inter,,,10873 V,tp 118,44-46,,,Chaîne Inter,https://www.lyngsat.com/radiochannels/ma/Chaine-Inter.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
15,Idaa al Amazighia,,,10873 V,tp 118,44-46,,,Idaa al Amazighia,https://www.lyngsat.com/radiochannels/ma/Idaa-al-Amazighia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
15,Idaa al Amazighia,,,10873 V,tp 118,44-46,,,Idaa al Amazighia,https://www.lyngsat.com/radiochannels/ma/Idaa-al-Amazighia.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
16,Idaa Mohammed Assadiss,,,10873 V,tp 118,44-46,,,Idaa Mohammed Assadiss,https://www.lyngsat.com/radiochannels/ma/Idaa-Mohammed-Assadiss.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
16,Idaa Mohammed Assadiss,,,10873 V,tp 118,44-46,,,Idaa Mohammed Assadiss,https://www.lyngsat.com/radiochannels/ma/Idaa-Mohammed-Assadiss.html,False,SNRT,3/4,27500.0,DVB-S2,Ara,ma,
50,Radio Agadir,,,10873 V,tp 118,44-46,,,Radio Agadir,https://www.lyngsat.com/radiochannels/ma/Radio-Agadir.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
50,Radio Agadir,,,10873 V,tp 118,44-46,,,Radio Agadir,https://www.lyngsat.com/radiochannels/ma/Radio-Agadir.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
53,Radio Oujda,,,10873 V,tp 118,44-46,,,Radio Oujda,https://www.lyngsat.com/radiochannels/ma/Radio-Oujda.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
53,Radio Oujda,,,10873 V,tp 118,44-46,,,Radio Oujda,https://www.lyngsat.com/radiochannels/ma/Radio-Oujda.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
54,Radio Casablanca,,,10873 V,tp 118,44-46,,,Radio Casablanca,https://www.lyngsat.com/radiochannels/ma/Radio-Casablanca.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
54,Radio Casablanca,,,10873 V,tp 118,44-46,,,Radio Casablanca,https://www.lyngsat.com/radiochannels/ma/Radio-Casablanca.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
60,Radio Houceima,,,10873 V,tp 118,44-46,,,Radio Houceima,https://www.lyngsat.com/radiochannels/ma/Radio-Houceima.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
60,Radio Houceima,,,10873 V,tp 118,44-46,,,Radio Houceima,https://www.lyngsat.com/radiochannels/ma/Radio-Houceima.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
70,Radio Tétouan,,,10873 V,tp 118,44-46,,,Radio Tétouan,https://www.lyngsat.com/radiochannels/ma/Radio-Tetouan.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
70,Radio Tétouan,,,10873 V,tp 118,44-46,,,Radio Tétouan,https://www.lyngsat.com/radiochannels/ma/Radio-Tetouan.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
80,Radio Meknes,,,10873 V,tp 118,44-46,,,Radio Meknes,https://www.lyngsat.com/radiochannels/ma/Radio-Meknes.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
80,Radio Meknes,,,10873 V,tp 118,44-46,,,Radio Meknes,https://www.lyngsat.com/radiochannels/ma/Radio-Meknes.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
90,Radio Laayoune,,,10873 V,tp 118,44-46,,,Radio Laayoune,https://www.lyngsat.com/radiochannels/ma/Radio-Laayoune.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
90,Radio Laayoune,,,10873 V,tp 118,44-46,,,Radio Laayoune,https://www.lyngsat.com/radiochannels/ma/Radio-Laayoune.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
91,Radio Dakhla,,,10873 V,tp 118,44-46,,,Radio Dakhla,https://www.lyngsat.com/radiochannels/ma/Radio-Dakhla.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
91,Radio Dakhla,,,10873 V,tp 118,44-46,,,Radio Dakhla,https://www.lyngsat.com/radiochannels/ma/Radio-Dakhla.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
177,Radio Tanger,,,10873 V,tp 118,44-46,,,Radio Tanger,https://www.lyngsat.com/radiochannels/ma/Radio-Tanger.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
177,Radio Tanger,,,10873 V,tp 118,44-46,,,Radio Tanger,https://www.lyngsat.com/radiochannels/ma/Radio-Tanger.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
178,Radio Fes,,,10873 V,tp 118,44-46,,,Radio Fes,https://www.lyngsat.com/radiochannels/ma/Radio-Fes.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
178,Radio Fes,,,10873 V,tp 118,44-46,,,Radio Fes,https://www.lyngsat.com/radiochannels/ma/Radio-Fes.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
179,Radio Marrakech,,,10873 V,tp 118,44-46,,,Radio Marrakech,https://www.lyngsat.com/radiochannels/ma/Radio-Marrakech.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
179,Radio Marrakech,,,10873 V,tp 118,44-46,,,Radio Marrakech,https://www.lyngsat.com/radiochannels/ma/Radio-Marrakech.html,False,SNRT,3/4,27500.0,DVB-S2,,ma,
136,Kabelio Infokanal,MPEG-4/HD,1361.0,11096 H,tp 129,44-46,,,Kabelio Infokanal,https://www.lyngsat.com/tvchannels/ch/Kabelio-Infokanal.html,False,SNRT,3/4,30000.0,DVB-S2,Ger,ch,
,Warner Bros. Discovery,318-300,,11258 H,tp 3,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-300,,11258 H,tp 3,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-300,,11258 H,tp 3,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-300,,11258 H,tp 3,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-700,,11334 H,tp 7,44-46,"Irdeto,Viaccess,Videoguard,Verimatrix",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-700,,11334 H,tp 7,44-46,"Irdeto,Viaccess,Videoguard,Verimatrix",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-700,,11334 H,tp 7,44-46,"Irdeto,Viaccess,Videoguard,Verimatrix",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-700,,11334 H,tp 7,44-46,"Irdeto,Viaccess,Videoguard,Verimatrix",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-1000,,11393 V,tp 10,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-1000,,11393 V,tp 10,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-1000,,11393 V,tp 10,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-1000,,11393 V,tp 10,44-46,"Conax,Irdeto,Nagravision,Viaccess,Videoguard",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-1600,,11508 V,tp 16,44-46,"Conax,Irdeto,Nagravision,Viaccess",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
,Warner Bros. Discovery,318-1600,,11508 V,tp 16,44-46,"Conax,Irdeto,Nagravision,Viaccess",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,27500.0,DVB-S2,,,us
