SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Provider_Country
,DirecTV USA,,,12224 R,tp 1,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12239 L,tp 2,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12253 R,tp 3,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12282 R,tp 5,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12297 L,tp 6,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12311 R,tp 7,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12326 L,tp 8,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12341 R,tp 9,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12355 L,tp 10,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12370 R,tp 11,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12399 R,tp 13,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12414 L,tp 14,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12428 R,tp 15,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12443 L,tp 16,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12457 R,tp 17,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12486 R,tp 19,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12516 R,tp 21,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12530 L,tp 22,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12545 R,tp 23,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12559 L,tp 24,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12574 R,tp 25,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12603 R,tp 27,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12632 R,tp 29,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12647 L,tp 30,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12661 R,tp 31,,Videoguard,,False,,6/7,20000,DSS200,,
,DirecTV USA,,,12676 L,tp 32,,Videoguard,,False,,6/7,20000,DSS200,,
