SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,(feeds),,,3708 V,tp WH1C,,,,,,False,,3/4,7000.0,DVB-S2,,,
,(feeds),,,3716 V,tp WH1C,,,,,,False,,3/4,5630.0,DVB-S2,,,
,(feeds),,,3726 H,tp WH2C,,,,,,False,,3/4,3260.0,DVB-S2,,,
,(feeds),,,3807 H,tp WH6C,,,,,,False,,3/4,7500.0,DVB-S2,,,
,(feeds),,,3825 H,tp WH6C,,,,,,False,,3/4,7500.0,DVB-S2,,,
,(feeds),,,4023 H,tp WH16C,,,,,,False,,3/4,7200.0,DVB-S2,,,
,(feeds),,,12390 H,tp 26K,,,,,,False,,2/3,7200.0,DVB-S2,,,
,(feeds),,,12399 H,tp 26K,,,,,,False,,2/3,7200.0,DVB-S2,,,
,(feeds),,,12412 V,tp 7K,,,,,,False,,400,14.0,DVB-S2,,,
,(feeds),,,12441 V,tp 9K,,,,,,False,,200,7.0,DVB-S7,,,
,(feeds),,,12498 H,tp 12K,,,,,,False,,200,8.0,DVB-S2,,,
,(feeds),,,12511 H,tp 14K,,,,,,False,,500,8.0,DVB-S2,,,
,(feeds),,,12520 H,tp 14K,,,,,,False,,500,8.0,DVB-S2,,,
,(feeds),,,12538 H,tp 14K,,,,,,False,,500,8.0,DVB-S2,,,
,(feeds),,,12591 V,tp 17K,,,,,,False,,5/6,7200.0,DVB-S2,,,
,(feeds),,,12600 V,tp 17K,,,,,,False,,5/6,7200.0,DVB-S2,,,
,(feeds),,,12609 V,tp 17K,,,,,,False,,5/6,7200.0,DVB-S2,,,
,(feeds),,,12618 V,tp 17K,,,,,,False,,500,8.0,DVB-S2,,,
,(ABS-CBN feeds),,,3723 H,tp WH2C,,,,,,False,,7/8,3000.0,DVB-S3,,,
,(ABS-CBN feeds),,,3729 H,tp WH2C,,,,,,False,,3/4,3260.0,DVB-S2,,,
,(ABS-CBN feeds),,,3733 H,tp WH2C,,,,,,False,,7/8,3000.0,DVB-S3,,,
,(ABS-CBN feeds),,,3737 H,tp WH2C,,,,,,False,,7/8,3000.0,DVB-S3,,,
,(EM TV feeds),,,3810 V,tp WH5C,,,,,,False,,5/6,3333.0,DVB-S2,,,
,Warner Bros. Discovery,,,3840 V,tp WH7C,0.0,"PowerVu,PowerVu",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,3840 V,tp WH7C,0.0,"PowerVu,PowerVu",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,3840 V,tp WH7C,0.0,"PowerVu,PowerVu",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,3840 V,tp WH7C,0.0,"PowerVu,PowerVu",https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-1,,3980 H,tp WH14C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-1,,3980 H,tp WH14C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-1,,3980 H,tp WH14C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-1,,3980 H,tp WH14C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,4040 V,tp WH17C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,4040 V,tp WH17C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,4040 V,tp WH17C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,,,4040 V,tp WH17C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-101,,4080 V,tp WH19C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-101,,4080 V,tp WH19C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-101,,4080 V,tp WH19C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
,Warner Bros. Discovery,1-101,,4080 V,tp WH19C,0.0,PowerVu,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,,,True,Warner Bros. Discovery,3/4,30000.0,DVB-S2,,,us
301,Animal Planet Taiwan,MPEG-4/HD,4400.0,3840 V,tp WH7C,0.0,PowerVu,,Animal Planet Taiwan,https://www.lyngsat.com/tvchannels/us/Animal-Planet-Taiwan.html,False,Warner Bros. Discovery,3/4,30000.0,DVB-S2,Chi Eng,us,
302,TLC Taiwan,MPEG-4/HD,4500.0,3840 V,tp WH7C,0.0,PowerVu,,TLC Taiwan,https://www.lyngsat.com/tvchannels/us/TLC-Taiwan.html,False,Warner Bros. Discovery,3/4,30000.0,DVB-S2,Eng,us,
303,Discovery Channel Taiwan,MPEG-4/HD,4800.0,3840 V,tp WH7C,0.0,PowerVu,,Discovery Channel Taiwan,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-Taiwan.html,False,Warner Bros. Discovery,3/4,30000.0,DVB-S2,Chi Eng,us,
333,TLC New Zealand,MPEG-4/SD,4100.0,3840 V,tp WH7C,0.0,PowerVu,,TLC New Zealand,https://www.lyngsat.com/tvchannels/us/TLC-New-Zealand.html,False,Warner Bros. Discovery,3/4,30000.0,DVB-S2,Eng,us,
340,Discovery Channel Philippines,MPEG-4/HD,4600.0,3840 V,tp WH7C,0.0,PowerVu,,Discovery Channel Philippines,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-Philippines.html,False,Warner Bros. Discovery,3/4,30000.0,DVB-S2,Eng,us,
341,TLC Philippines,MPEG-4/HD,4700.0,3840 V,tp WH7C,0.0,PowerVu,,TLC Philippines,https://www.lyngsat.com/tvchannels/us/TLC-Philippines.html,False,Warner Bros. Discovery,3/4,30000.0,DVB-S2,Eng,us,
1,EM TV (Papua New Guinea),0-0MPEG-2/SD,103.0,3882 V,tp WH9C,0.0,,,,,False,Warner Bros. Discovery,3/4,3960.0,DVB-S2,,,
