SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,Dish TV India,,,12464 H,tp SAHF10,0,Conax,,,,False,,3/4,43000,DVB-S2,,,
,Dish TV India,1-200,,12535 V,tp SEVC1,0,Conax,,,,False,,3/4,43200,DVB-S2,,,
,Dish TV India,1-100,,12595 V,tp SEVC3,0,Conax,,,,False,,3/4,40700,DVB-S2,,,
,Dish TV India,1-1000,,12647 H,tp SEHC6,0,Conax,,,,False,,3/4,30000,DVB-S2,,,
,Dish TV India,1-700,,12688 V,tp SEVC7,0,Conax,,,,False,,5/6,27500,DVB-S2,,,
,Dish TV India,1-1200,,12688 H,tp SEHC8,0,Conax,,,,False,,3/4,32000,DVB-S2,,,
,Dish TV India,1-1300,,12729 V,tp SEVC9,0,Conax,,,,False,,3/4,32700,DVB-S2,,,
33098.0,[Recharge Now info card],,8098.0,12647 H,tp SEHC6,0,,,,,False,,3/4,30000,DVB-S2,,,
33285.0,Zee News,,3967.0,12647 H,tp SEHC6,0,,,Zee News,https://www.lyngsat.com/tvchannels/in/Zee-News.html,False,,3/4,30000,DVB-S2,Hin,in,
33285.0,Zee News,,3967.0,12647 H,tp SEHC6,0,,,Zee News,https://www.lyngsat.com/tvchannels/in/Zee-News.html,False,,3/4,30000,DVB-S2,Hin,in,
,Dish TV India promo,MPEG-2/SD,8087.0,12688 V,tp SEVC7,0,,,,,False,,5/6,27500,DVB-S2,,,
,Dish TV India promo,,3652.0,12729 V,tp SEVC9,0,,,,,False,,3/4,32700,DVB-S2,,,
