SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,DD Meghalaya,,,3711 H,tp 1,,,https://www.lyngsat.com/providers/in/DD-Meghalaya.html,DD Meghalaya,https://www.lyngsat.com/tvchannels/in/DD-Meghalaya.html,True,DD Meghalaya,3/4,6250.0,DVB-S6,,in,in
1.0,DD Meghalaya,MPEG-2/SD,257.0,3711 H,tp 1,,,https://www.lyngsat.com/providers/in/DD-Meghalaya.html,DD Meghalaya,https://www.lyngsat.com/tvchannels/in/DD-Meghalaya.html,True,DD Meghalaya,3/4,6250.0,DVB-S6,,in,in
2.0,(DD Meghalaya feeds),,513.0,3711 H,tp 1,,,,,,False,DD Meghalaya,3/4,6250.0,DVB-S6,,,
,DD Mizoram,,,3721 H,tp 1,,,https://www.lyngsat.com/providers/in/DD-Mizoram.html,DD Mizoram,https://www.lyngsat.com/tvchannels/in/DD-Mizoram.html,True,DD Mizoram,3/4,6250.0,DVB-S6,,in,in
2.0,DD Mizoram,MPEG-2/SD,513.0,3721 H,tp 1,,,https://www.lyngsat.com/providers/in/DD-Mizoram.html,DD Mizoram,https://www.lyngsat.com/tvchannels/in/DD-Mizoram.html,True,DD Mizoram,3/4,6250.0,DVB-S6,,in,in
1.0,(DD Mizoram feeds),,257.0,3721 H,tp 1,,,,,,False,DD Mizoram,3/4,6250.0,DVB-S6,,,
1.0,DD Tripura,?-?MPEG-2/SD,308.0,3728 H,tp 1,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S4,,,
1.0,DD Arun Prabha,?-?MPEG-2/SD,308.0,3734 H,tp 1,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S4,,,
1.0,DD Nagaland,?-?MPEG-2/SD,308.0,3740 H,tp 1,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S4,,,
,(DD feeds),,,3750 H,tp 2,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S2,,,
,(DD feeds),,,3756 H,tp 2,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S2,,,
,(DD feeds),,,3762 H,tp 2,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S3,,,
,(DD feeds),,,3768 H,tp 2,,,,,,False,DD Mizoram,3/4,3000.0,DVB-S2,,,
,(DD feeds),,,3774 H,tp 2,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S4,,,
,(DD feeds),,,3780 H,tp 2,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S2,,,
,(DD feeds),,,3790 H,tp 3,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S2,,,
,(DD feeds),,,3797 H,tp 3,,,,,,False,DD Mizoram,3/4,2900.0,DVB-S2,,,
,(DD feeds),,,3808 H,tp 3,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S2,,,
,(DD feeds),,,3820 H,tp 3,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S2,,,
,(DD feeds),,,3834 H,tp 4,,,,,,False,DD Mizoram,3/4,2900.0,DVB-S2,,,
,(DD feeds),,,3854 H,tp 4,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S3,,,
,(DD feeds),,,4003 H,tp 8,,,,,,False,DD Mizoram,3/4,2900.0,DVB-S2,,,
,(DD feeds),,,4043 H,tp 9,,,,,,False,DD Mizoram,3/4,2900.0,DVB-S2,,,
,(DD feeds),,,4110 H,tp 11,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S4,,,
,(feeds),,,3814 H,tp 3,,,,,,False,DD Mizoram,3/4,3800.0,DVB-S2,,,
,(feeds),,,4014 H,tp 8,,,,,,False,DD Mizoram,3/4,5400.0,DVB-S2,,,
,(feeds),,,4134 H,tp 11,,,,,,False,DD Mizoram,3/4,4250.0,DVB-S2,,,
1.0,DD Bihar,1-1MPEG-2/SD,512.0,3830 H,tp 4,,,,,,False,DD Mizoram,3/4,3330.0,DVB-S3,Hin,,
,DD Assam,0-1,,3840 H,tp 4,,,https://www.lyngsat.com/providers/in/DD-Assam.html,DD Assam,https://www.lyngsat.com/tvchannels/in/DD-Assam.html,True,DD Assam,3/4,6250.0,DVB-S6,,in,in
1.0,DD Assam,MPEG-2/SD,257.0,3840 H,tp 4,,,https://www.lyngsat.com/providers/in/DD-Assam.html,DD Assam,https://www.lyngsat.com/tvchannels/in/DD-Assam.html,True,DD Assam,3/4,6250.0,DVB-S6,Asm,in,in
2.0,(DD Assam feeds),,513.0,3840 H,tp 4,,,,,,False,DD Assam,3/4,6250.0,DVB-S6,,,
,DD Assamese,,,3848 H,tp 4,,,https://www.lyngsat.com/providers/in/DD-Assamese.html,DD Assamese,https://www.lyngsat.com/tvchannels/in/DD-Assamese.html,True,DD Assamese,3/4,4250.0,DVB-S4,,in,in
1.0,DD Assamese,MPEG-2/SD,512.0,3848 H,tp 4,,,https://www.lyngsat.com/providers/in/DD-Assamese.html,DD Assamese,https://www.lyngsat.com/tvchannels/in/DD-Assamese.html,True,DD Assamese,3/4,4250.0,DVB-S4,Asm,in,in
2.0,(DD Assamese feeds),,513.0,3848 H,tp 4,,,,,,False,DD Assamese,3/4,4250.0,DVB-S4,,,
1.0,DD Goa,?-?MPEG-2/SD,308.0,3860 H,tp 4,,,,,,False,DD Assamese,3/4,4250.0,DVB-S4,,,
,Doordarshan,45-45,,3925 H,tp 6,,,https://www.lyngsat.com/providers/in/Doordarshan.html,,,True,Doordarshan,3/4,27500.0,DVB-S2,,,in
1.0,DD National,MPEG-2/SD,2304.0,3925 H,tp 6,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan,3/4,27500.0,DVB-S2,Hin,in,
2.0,DD News,MPEG-2/SD,2306.0,3925 H,tp 6,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,27500.0,DVB-S2,Hin,in,
2.0,DD News,MPEG-2/SD,2306.0,3925 H,tp 6,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,27500.0,DVB-S2,Hin,in,
3.0,DD India,MPEG-2/SD,2308.0,3925 H,tp 6,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan,3/4,27500.0,DVB-S2,Hin,in,
