SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,Astro,2176-501,,10732 V,tp 1VB,0.0,Videoguard,,,,False,,5/6,30000,DVB-S2,,,
,Astro,2176-502,,10772 V,tp 2VB,0.0,Videoguard,,,,False,,5/6,30000,DVB-S2,,,
,Astro,2176-503,,10812 V,tp 3VB,0.0,Videoguard,,,,False,,5/6,30000,DVB-S2,,,
,Astro,2176-504,,10852 V,tp 4VB,0.0,Videoguard,,,,False,,5/6,30000,DVB-S2,,,
,Astro,2176-505,,10892 V,tp 5VB,0.0,Videoguard,,,,False,,5/6,30000,DVB-S2,,,
,Astro,2176-506,,10932 V,tp 6VB,0.0,Videoguard,,,,False,,5/6,30000,DVB-S2,,,
,Astro,2176-302,,11775 V,tp 8VB,0.0,Videoguard,,,,False,,3/4,30000,DVB-S2,,,
,Astro,2176-305,,11895 V,tp 11VB,0.0,Videoguard,,,,False,,3/4,30000,DVB-S2,,,
,Sun Direct,18-21,,12276 H,tp 13KH,,Irdeto,,,,False,,3/4,34000,DVB-S2,,,
,Sun Direct,18-11,,12316 H,tp 14KH,,Irdeto,,,,False,,5/6,30000,DVB-S3,,,
,Sun Direct,,,12436 H,tp 17KH,,Irdeto,,,,False,,3/4,32000,DVB-S3,,,
,Sun Direct,18-22,,12436 V,,,Irdeto,,,,False,,3/4,32000,DVB-S2,,,
,Sun Direct,,,12476 H,tp 18KH,,Irdeto,,,,False,,5/6,32000,DVB-S3,,,
,Sun Direct,,,12523 V,tp 7KV,,Irdeto,,,,False,,3/4,32000,DVB-S2,,,
,Sun Direct,,,12563 V,tp 8KV,,Irdeto,,,,False,,5/6,32000,DVB-S3,,,
,Sun Direct,,,12603 V,tp 9KV,,Irdeto,,,,False,,5/6,32000,DVB-S3,,,
,Sun Direct,,,12643 V,tp 10KV,,Irdeto,,,,False,,5/6,32000,DVB-S3,,,
,Sun Direct,,,12683 H,tp 23KH,,Irdeto,,,,False,,3/4,32000,DVB-S2,,,
21.0,Sun Direct promo,MPEG-4/SD,94.0,12316 H,tp 14KH,,,,,,False,,5/6,30000,DVB-S3,,,
,K Vision,,,12563 H,,,"Conax,Neotion SHL",,,,False,,2/3,31000,DVB-S2,,,
,K Vision,,,12643 H,,,"Conax,Neotion SHL",,,,False,,2/3,31000,DVB-S2,,,
