SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Provider_Country
,Tata Play,,,11720 H,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11720 V,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11760 H,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11760 V,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11800 H,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11800 V,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11840 H,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11840 V,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11880 H,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11880 V,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11920 H,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11920 V,,,"Irdeto,Videoguard",,False,,3/4,32720,DVB-S2,,
,Tata Play,,,11960 H,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,Tata Play,,,11960 V,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,Tata Play,,,12000 H,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,Tata Play,,,12000 V,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,Tata Play,,,12040 H,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,Tata Play,,,12040 V,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,{},,,12080 H,,,,,False,,3/5,34280,DVB-S2,,
,Tata Play,,,12080 V,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
,{},,,12120 H,,,,,False,,3/5,34280,DVB-S2,,
,{},,,12120 V,,,,,False,,3/5,34280,DVB-S2,,
,{},,,12160 H,,,,,False,,3/5,34280,DVB-S2,,
,Tata Play,,,12160 V,,,"Irdeto,Videoguard",,False,,3/5,34280,DVB-S2,,
