SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Provider_Country
,DSTV South Africa,6144-26,,11728 V,tp SF13K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-32,,11728 H,tp SF14K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-27,,11768 V,tp SF15K,,,,False,,2/3,30000,DVB-S2,,
2710.0,[Nano VOD test card],MPEG-4/HD,3065.0,11768 V,tp SF15K,,,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-33,,11768 H,tp SF16K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-30,,11808 V,tp SF17K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-34,,11808 H,tp SF18K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-31,,11848 V,tp SF19K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-35,,11848 H,tp SF20K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-28,,11888 V,tp SF21K,,Irdeto,,False,,5/6,30000,DVB-S3,,
,DSTV South Africa,6144-36,,11888 H,tp SF22K,,Irdeto,,False,,2/3,30000,DVB-S2,,
,DSTV South Africa,6144-?,,11928 V,tp SF23K,,Irdeto,,False,,5/6,30000,DVB-S3,,
