Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10713 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,Noone Swedish240216,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10713 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,Noone Swedish240216,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10713 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,Noone Swedish240216,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10713 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,Noone Swedish240216,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10713 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,Noone Swedish240216,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10713 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,Noone Swedish240216,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10730 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,N Stanislav231119,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10730 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,N Stanislav231119,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10730 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,N Stanislav231119,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10730 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,N Stanislav231119,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10730 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,N Stanislav231119,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10730 Vtp E2Ku Fixed 145-47,DVB-S28PSK141803/4T2-MIPLP 0,,RSCC,,,,7.9,,N Stanislav231119,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10749 Vtp E2Ku Fixed 145-47,DVB-S28PSK164102/3,,RSCC,,,,6.6,,N Stanislav230202,DVB-S2,16410,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10749 Vtp E2Ku Fixed 145-47,DVB-S28PSK164102/3,,RSCC,,,,6.6,,N Stanislav230202,DVB-S2,16410,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10749 Vtp E2Ku Fixed 145-47,DVB-S28PSK164102/3,,RSCC,,,,6.6,,N Stanislav230202,DVB-S2,16410,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10749 Vtp E2Ku Fixed 145-47,DVB-S28PSK164102/3,,RSCC,,,,6.6,,N Stanislav230202,DVB-S2,16410,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10749 Vtp E2Ku Fixed 145-47,DVB-S28PSK164102/3,,RSCC,,,,6.6,,N Stanislav230202,DVB-S2,16410,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
10749 Vtp E2Ku Fixed 145-47,DVB-S28PSK164102/3,,RSCC,,,,6.6,,N Stanislav230202,DVB-S2,16410,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,
