Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11767 Vtp 31Turkey46-50,DVB-S28PSK150003/4,16300,TRT 4K,,1070-43104HEVC/UHD,4855,7.94955 Tur,,T KaderliE KaradumanD Shimoni210617,DVB-S2,15000,3/4,11767 V,tp 31,46-50,,,,,,
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11789 H,tp 32,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,DVB-S2,25000,3/4,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,DVB-S2,25000,3/4,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,DVB-S2,25000,3/4,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,DVB-S2,25000,3/4,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,DVB-S2,25000,3/4,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,DVB-S2,25000,3/4,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,DVB-S2,20000,3/4,11880 H,tp 34,50-53,"Irdeto,Videoguard",,,,Tivibu,https://www.lyngsat.com/packages/Tivibu.html
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,,TRT,,1070-43105,,7.9,,S Günes230823,DVB-S2,30000,3/4,11794 V,tp 31,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,,TRT,,1070-43105,,7.9,,S Günes230823,DVB-S2,30000,3/4,11794 V,tp 31,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,,TRT,,1070-40301,,6.5,,MZ220420,DVB-S,27500,5/6,11958 V,tp 3,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,,TRT,,1070-40301,,6.5,,MZ220420,DVB-S,27500,5/6,11958 V,tp 3,46-50,,https://www.lyngsat.com/providers/tr/TRT.html,,,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10600,TRT Çocuk,,MPEG-4/HD,1600,1700 Tur,,,DVB-S2,30000,3/4,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10600,TRT Çocuk,,MPEG-4/HD,1600,1700 Tur,,,DVB-S2,30000,3/4,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10600,TRT Çocuk,,MPEG-4/HD,1600,1700 Tur,,,DVB-S2,30000,3/4,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10600,TRT Çocuk,,MPEG-4/HD,1600,1700 Tur,,,DVB-S2,30000,3/4,11794 V,tp 31,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,10504,TRT Çocuk,,MPEG-2/SD,1504,1604 Tur,,,DVB-S,27500,5/6,11958 V,tp 3,46-50,,,TRT Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Cocuk.html,,
