Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,DVB-S,27800,3/4,12278 H,tp 13,,"Irdeto,Videoguard",,,,Foxtel,https://www.lyngsat.com/packages/Foxtel.html
