Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11023 Htp 61UK0,DVB-S28PSK230003/4,,Freesat,,2-2061,,7.9,,M Al-Taie240118,DVB-S2,23000,3/4,11023 H,tp 61,0,,https://www.lyngsat.com/providers/uk/Freesat.html,,,,
11023 Htp 61UK0,DVB-S28PSK230003/4,,Freesat,,2-2061,,7.9,,M Al-Taie240118,DVB-S2,23000,3/4,11023 H,tp 61,0,,https://www.lyngsat.com/providers/uk/Freesat.html,,,,
11126 Vtp 68UK0,DVB-S220005/6,,Freesat,,2-2068,,6.5,,D Shimoni150621,DVB-S,22000,5/6,11126 V,tp 68,0,,https://www.lyngsat.com/providers/uk/Freesat.html,,,,
11126 Vtp 68UK0,DVB-S220005/6,,Freesat,,2-2068,,6.5,,D Shimoni150621,DVB-S,22000,5/6,11126 V,tp 68,0,,https://www.lyngsat.com/providers/uk/Freesat.html,,,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8901,BBC One Scotland,,MPEG-4/HD,5100,5101 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC One Scotland,https://www.lyngsat.com/tvchannels/uk/BBC-One-Scotland.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8911,BBC One Wales,,MPEG-4/HD,5200,5201 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC One Wales,https://www.lyngsat.com/tvchannels/uk/BBC-One-Wales.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8921,BBC News UK,,MPEG-4/HD,5000,5001 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC News UK,https://www.lyngsat.com/tvchannels/uk/BBC-News-UK.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8926,BBC Alba,,MPEG-4/HD,5500,5501 Gla,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Alba,https://www.lyngsat.com/tvchannels/uk/BBC-Alba.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8941,BBC One West Midlands,,MPEG-4/HD,5400,5401 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC One West Midlands,https://www.lyngsat.com/tvchannels/uk/BBC-One-West-Midlands.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8961,BBC Radio 1,,,,6001 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 1,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-1.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8961,BBC Radio 1,,,,6001 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 1,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-1.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8962,BBC Radio 2,,,,6002 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 2,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-2.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8962,BBC Radio 2,,,,6002 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 2,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-2.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8963,BBC Radio 3,,,,6003 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 3,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-3.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8963,BBC Radio 3,,,,6003 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 3,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-3.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8964,BBC Radio 4 FM,,,,6004 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 4 FM,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-4-FM.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8964,BBC Radio 4 FM,,,,6004 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 4 FM,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-4-FM.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8965,BBC Radio 5 Live,,,,6005 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 5 Live,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-5-Live.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8965,BBC Radio 5 Live,,,,6005 Eng,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio 5 Live,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-5-Live.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8966,BBC Radio Asian Network,,,,6006,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio Asian Network,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-Asian-Network.html,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8966,BBC Radio Asian Network,,,,6006,,,DVB-S2,23000,3/4,11023 H,tp 61,0,,,BBC Radio Asian Network,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-Asian-Network.html,,
11038 Vtp 62Europe Ku0,DVB-S220005/6,,Sky UK,,2-2062,,6.5,Videoguard,J RobinsonR Eckendorff210209,DVB-S,22000,5/6,11038 V,tp 62,0,Videoguard,,,,Sky UK,https://www.lyngsat.com/packages/Sky-UK.html
11038 Vtp 62Europe Ku0,DVB-S220005/6,,Sky UK,,2-2062,,6.5,Videoguard,J RobinsonR Eckendorff210209,DVB-S,22000,5/6,11038 V,tp 62,0,Videoguard,,,,Sky UK,https://www.lyngsat.com/packages/Sky-UK.html
11038 Vtp 62Europe Ku0,DVB-S220005/6,,Sky UK,,2-2062,,6.5,Videoguard,J RobinsonR Eckendorff210209,DVB-S,22000,5/6,11038 V,tp 62,0,Videoguard,,,,Sky UK,https://www.lyngsat.com/packages/Sky-UK.html
11038 Vtp 62Europe Ku0,DVB-S220005/6,,Sky UK,,2-2062,,6.5,Videoguard,J RobinsonR Eckendorff210209,DVB-S,22000,5/6,11038 V,tp 62,0,Videoguard,,,,Sky UK,https://www.lyngsat.com/packages/Sky-UK.html
