Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,,Aljazeera,,224-1010,,6.6,,K Berkes201019,DVB-S2,27500,2/3,11046 H,tp B5,51,,https://www.lyngsat.com/providers/qa/Aljazeera.html,,,Aljazeera,https://www.lyngsat.com/packages/BeIn-26E.html
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,,Aljazeera,,224-1010,,6.6,,K Berkes201019,DVB-S2,27500,2/3,11046 H,tp B5,51,,https://www.lyngsat.com/providers/qa/Aljazeera.html,,,Aljazeera,https://www.lyngsat.com/packages/BeIn-26E.html
11604 Htp D7MENA Ku51,DVB-S275003/4,,Aljazeera,,224-1050,,5.5,,DX Bozóth231109,DVB-S,27500,3/4,11604 H,tp D7,51,,https://www.lyngsat.com/providers/qa/Aljazeera.html,,,Aljazeera,https://www.lyngsat.com/packages/BeIn-26E.html
11604 Htp D7MENA Ku51,DVB-S275003/4,,Aljazeera,,224-1050,,5.5,,DX Bozóth231109,DVB-S,27500,3/4,11604 H,tp D7,51,,https://www.lyngsat.com/providers/qa/Aljazeera.html,,,Aljazeera,https://www.lyngsat.com/packages/BeIn-26E.html
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10101,Aljazeera Channel,,MPEG-4/HD,601,810 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10101,Aljazeera Channel,,MPEG-4/HD,601,810 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10101,Aljazeera Channel,,MPEG-4/HD,601,810 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10101,Aljazeera Channel,,MPEG-4/HD,601,810 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10501,Aljazeera Channel,,MPEG-2/SD,512,650 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10501,Aljazeera Channel,,MPEG-2/SD,512,650 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10501,Aljazeera Channel,,MPEG-2/SD,512,650 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10501,Aljazeera Channel,,MPEG-2/SD,512,650 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,DVB-S,27500,3/4,11604 H,tp D7,51,,,Aljazeera Mubasher,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Mubasher.html,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10103,Aljazeera English,,MPEG-4/HD,603,830 Eng 831 Eng,,,DVB-S2,27500,2/3,11046 H,tp B5,51,,,Aljazeera English,https://www.lyngsat.com/tvchannels/qa/Aljazeera-English.html,,
