Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3836 RWide C42-43,DVB-S28PSK16505/6,481,Loveworld XP,,2710-257MPEG-4/HD,481,9.4 482 Eng,,M Al-Taie210919,DVB-S2,1650,5/6,3836 R,,42-43,,,,
3850 LWide C42-43,DVB-S28PSK91703/4,,Ugandan mux,,,,7.9,,DX Bozóth240314,DVB-S2,9170,3/4,3850 L,,42-43,,,,
3850 LWide C42-43,DVB-S28PSK91703/4,350,UBC TV,,MPEG-4/SD,3502,3503,,,DVB-S2,9170,3/4,3850 L,,42-43,,,UBC TV,https://www.lyngsat.com/tvchannels/ug/UBC-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,351,NTV Uganda,,MPEG-4/SD,3512,3513 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,NTV Uganda,https://www.lyngsat.com/tvchannels/ke/NTV-Uganda.html
3850 LWide C42-43,DVB-S28PSK91703/4,352,NBS TV,,MPEG-4/SD,3522,3523 Swa,,,DVB-S2,9170,3/4,3850 L,,42-43,,,NBS TV,https://www.lyngsat.com/tvchannels/ug/NBS-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,353,Bukedde 1,,MPEG-4/SD,3532,3533,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Bukedde 1,https://www.lyngsat.com/tvchannels/ug/Bukedde-1.html
3850 LWide C42-43,DVB-S28PSK91703/4,353,Bukedde 1,,MPEG-4/SD,3532,3533,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Bukedde 1,https://www.lyngsat.com/tvchannels/ug/Bukedde-1.html
3850 LWide C42-43,DVB-S28PSK91703/4,355,BBS TV,,MPEG-4/SD,3552,3553 Swa,,,DVB-S2,9170,3/4,3850 L,,42-43,,,BBS TV,https://www.lyngsat.com/tvchannels/ug/BBS-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,358,Spark TV,,MPEG-4/SD,3582,3583 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Spark TV,https://www.lyngsat.com/tvchannels/ug/Spark-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,359,Salt TV,,MPEG-4/SD,3592,3593 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Salt TV,https://www.lyngsat.com/tvchannels/ug/Salt-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,360,Channel 44,,MPEG-4/SD,3602,3603 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Channel 44,https://www.lyngsat.com/tvchannels/ug/Channel-44.html
3850 LWide C42-43,DVB-S28PSK91703/4,361,Top TV (Uganda),,MPEG-4/SD,3612,3613 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Top TV (Uganda),https://www.lyngsat.com/tvchannels/ug/Top-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,362,Chamuka TV,,MPEG-4/SD,3622,3623 Eng,,new,DVB-S2,9170,3/4,3850 L,,42-43,,,Chamuka TV,https://www.lyngsat.com/tvchannels/ug/Chamuka-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,363,Kingdom TV (Uganda),,MPEG-4/SD,3632,3633 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Kingdom TV (Uganda),https://www.lyngsat.com/tvchannels/ug/Kingdom-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,364,King Solomon TV,,MPEG-4/SD,3642,3643 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,King Solomon TV,https://www.lyngsat.com/tvchannels/ug/King-Solomon-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,364,King Solomon TV,,MPEG-4/SD,3642,3643 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,King Solomon TV,https://www.lyngsat.com/tvchannels/ug/King-Solomon-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,365,Baba TV,,MPEG-4/SD,3652,3653 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,Baba TV,https://www.lyngsat.com/tvchannels/ug/Baba-TV.html
3850 LWide C42-43,DVB-S28PSK91703/4,366,KBS TV,,MPEG-4/SD,3662,3663 Eng,,,DVB-S2,9170,3/4,3850 L,,42-43,,,KBS TV,https://www.lyngsat.com/tvchannels/ug/KBS-TV.html
3852 RWide C42-43,DVB-S2QPSK46803/4,,Burundi mux,,136-3,,4.0,,N Stanislav240104,DVB-S2,4680,3/4,3852 R,,42-43,,,,
3852 RWide C42-43,DVB-S2QPSK46803/4,1,RTNB TV,,MPEG-4/SD,102,202 Fre,,,DVB-S2,4680,3/4,3852 R,,42-43,,,RTNB TV,https://www.lyngsat.com/tvchannels/bi/RTNB-TV.html
3852 RWide C42-43,DVB-S2QPSK46803/4,2,BETV,,MPEG-4/SD,256,257 Fre,,,DVB-S2,4680,3/4,3852 R,,42-43,,,BETV,https://www.lyngsat.com/tvchannels/bi/BETV.html
3852 RWide C42-43,DVB-S2QPSK46803/4,4,Buntu TV,,MPEG-4/SD,100,200 Fre,,,DVB-S2,4680,3/4,3852 R,,42-43,,,Buntu TV,https://www.lyngsat.com/tvchannels/bi/Buntu-TV.html
3852 RWide C42-43,DVB-S2QPSK46803/4,5,RTI,,MPEG-4/SD,29,28 Run,,,DVB-S2,4680,3/4,3852 R,,42-43,,,RTI,https://www.lyngsat.com/tvchannels/bi/RTI.html
3852 RWide C42-43,DVB-S2QPSK46803/4,6,Mashariki TV,,MPEG-4/SD,32,31 Run,,,DVB-S2,4680,3/4,3852 R,,42-43,,,Mashariki TV,https://www.lyngsat.com/tvchannels/bi/Mashariki-TV.html
3861 RWide C42-43,DVB-S28PSK40422/3,1,Télé Tchad,,0-0MPEG-4/HD,4212,6.6 512 Fre,,DX Bozóth230422,DVB-S2,4042,2/3,3861 R,,42-43,,,,
3861 RWide C42-43,DVB-S28PSK40422/3,1,Radio Tchad,,,,513 Fre,,,DVB-S2,4042,2/3,3861 R,,42-43,,,Radio Tchad,https://www.lyngsat.com/radiochannels/td/Radio-Tchad.html
3869 RWide C42-43,DVB-S28PSK33332/3,,Rwanda TV,,1000-1,,6.6,,N Stanislav220821,DVB-S2,3333,2/3,3869 R,,42-43,,https://www.lyngsat.com/providers/rw/Rwanda-TV.html,Rwanda TV,https://www.lyngsat.com/tvchannels/rw/Rwanda-TV.html
3869 RWide C42-43,DVB-S28PSK33332/3,,Rwanda TV,,1000-1,,6.6,,N Stanislav220821,DVB-S2,3333,2/3,3869 R,,42-43,,https://www.lyngsat.com/providers/rw/Rwanda-TV.html,Rwanda TV,https://www.lyngsat.com/tvchannels/rw/Rwanda-TV.html
