Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3712 HEast hemi41,DVB-S2QPSK51652/3,1,Tchad 24,,?-?MPEG-4/HD,481,3.1 482 Fre,,N Stanislav240223,DVB-S2,5165,2/3,3712 H,,41,,,,
3942 VEast hemi41,DVB-S28PSK16663/4,1,Channels TV,,?-?MPEG-2/HD,308,7.9 256 Eng,,N Stanislav240127,DVB-S2,1666,3/4,3942 V,,41,,,,
3954 VWest hemi,DVB-S28PSK34132/3,,Rede Brasil de Comunicação,,MPEG-4/HD,264,6.6 265 Por,,Edinho fta230606,DVB-S2,3413,2/3,3954 V,,,,,,
3954 VWest hemi,DVB-S28PSK34132/3,,RBC Rádio,,,,768 Por,,,DVB-S2,3413,2/3,3954 V,,,,,RBC Rádio,https://www.lyngsat.com/radiochannels/br/RBC-Radio.html
3954 VWest hemi,DVB-S28PSK34132/3,,RBC Rádio,,,,768 Por,,,DVB-S2,3413,2/3,3954 V,,,,,RBC Rádio,https://www.lyngsat.com/radiochannels/br/RBC-Radio.html
3960 VWest hemi,DVB-S28PSK37502/3,,TV Assembleia Legislativa do Tocantins,,MPEG-4/HD,102,6.6 103 Por,,Edinho fta230629,DVB-S2,3750,2/3,3960 V,,,,,,
3962 HWest hemi,DVB-S28PSK72003/4,,IMPD TV,,,,7.9,,Wilkherdasilva190831,DVB-S2,7200,3/4,3962 H,,,,https://www.lyngsat.com/providers/br/IMPD-TV.html,IMPD TV,https://www.lyngsat.com/tvchannels/br/IMPD-TV.html
3962 HWest hemi,DVB-S28PSK72003/4,,IMPD TV,,,,7.9,,Wilkherdasilva190831,DVB-S2,7200,3/4,3962 H,,,,https://www.lyngsat.com/providers/br/IMPD-TV.html,IMPD TV,https://www.lyngsat.com/tvchannels/br/IMPD-TV.html
3962 HWest hemi,DVB-S28PSK72003/4,,IMPD TV,,,,7.9,,Wilkherdasilva190831,DVB-S2,7200,3/4,3962 H,,,,https://www.lyngsat.com/providers/br/IMPD-TV.html,IMPD TV,https://www.lyngsat.com/tvchannels/br/IMPD-TV.html
3962 HWest hemi,DVB-S28PSK72003/4,,IMPD TV,,,,7.9,,Wilkherdasilva190831,DVB-S2,7200,3/4,3962 H,,,,https://www.lyngsat.com/providers/br/IMPD-TV.html,IMPD TV,https://www.lyngsat.com/tvchannels/br/IMPD-TV.html
