Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3868 Vtp 9North America0,DVB-S66663/4,,Unitel (Greece),,,,5.5,BISS,M Kotsias070906,DVB-S,6666,3/4,3868 V,tp 9,0,BISS,https://www.lyngsat.com/providers/gr/Unitel.html,,
3868 Vtp 9North America0,DVB-S66663/4,,Mega Cosmos,,MPEG-2/SD,513,641 Gre,BISS,,DVB-S,6666,3/4,3868 V,tp 9,0,BISS,,Mega Cosmos,https://www.lyngsat.com/tvchannels/gr/Mega-Cosmos.html
3868 Vtp 9North America0,DVB-S66663/4,,[test card],,MPEG-2/SD,514,642,,,DVB-S,6666,3/4,3868 V,tp 9,0,,,,
3888 Htp 9Europe & Africa,DVB-S32503/4,,(feeds),,,,,,Onacila111105,DVB-S,3250,3/4,3888 H,tp 9,,,,,
3955 Htp 12South America0,DVB-S2QPSK24003/4,,Encadena TV,,,256,4.0 512 Spa,,D Dragos170724,DVB-S2,2400,3/4,3955 H,tp 12,0,,,,
3955 Htp 12South America0,DVB-S2QPSK24003/4,,Radio Chetumal,,,,513 Spa,,,DVB-S2,2400,3/4,3955 H,tp 12,0,,,Radio Chetumal,https://www.lyngsat.com/radiochannels/mx/Radio-Chetumal.html
3958 Htp 12South America0,DVB-S22223/4,,SQCS Canal 4,,MPEG-2/SD,4194,5.54197 Spa,,D Dragos170724,DVB-S,2222,3/4,3958 H,tp 12,0,,,,
3958 Htp 12South America0,DVB-S22223/4,,Caribe FM,,,,4195 Spa,,,DVB-S,2222,3/4,3958 H,tp 12,0,,,Caribe FM,https://www.lyngsat.com/radiochannels/mx/Caribe-FM.html
4068 Vtp 18Europe & Africa41-43,DVB-S25407/8,,@ SkyVision,,,,7.2,,DX Bozóth091109,DVB-S,2540,7/8,4068 V,tp 18,41-43,,,,
4083 Htp 19Europe & Africa41-43,DVB-S28PSK100002/3,,@ Xicom,,,,6.6,,C Szkarlat080912,DVB-S2,10000,2/3,4083 H,tp 19,41-43,,,,
4176 Vtp 24North America0,DVB-S44113/4,,Antenna Group,,,,5.5,BISS,D Dragos170724,DVB-S,4411,3/4,4176 V,tp 24,0,BISS,https://www.lyngsat.com/providers/gr/Antenna-Group.html,,
4176 Vtp 24North America0,DVB-S44113/4,,Ant1 Satellite,,MPEG-2/SD,516,701 Gre,BISS,,DVB-S,4411,3/4,4176 V,tp 24,0,BISS,,Ant1 Satellite,https://www.lyngsat.com/tvchannels/gr/Ant1-Satellite.html
4176 Vtp 24North America0,DVB-S44113/4,,Easy 97.2,,,,702 Gre,BISS,,DVB-S,4411,3/4,4176 V,tp 24,0,BISS,,Easy 97.2,https://www.lyngsat.com/radiochannels/gr/Easy-972.html
4176 Vtp 24North America0,DVB-S44113/4,,Easy 97.2,,,,702 Gre,BISS,,DVB-S,4411,3/4,4176 V,tp 24,0,BISS,,Easy 97.2,https://www.lyngsat.com/radiochannels/gr/Easy-972.html
,,,,,,,,,,,,,,,,,,DVB-S2QPSK24003/4,
,,,,,,,,,,,,,,,,,,DVB-S22223/4,
