Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
12230 HLatin America,DVB-S231300,,Movistar,,,,,Nagravision,C de Berazategui240223,DVB-S2,,,12230 H,,,Nagravision,,,,Movistar,https://www.lyngsat.com/packages/Movistar.html
12230 HLatin America,DVB-S231300,,Movistar,,,,,Nagravision,C de Berazategui240223,DVB-S2,,,12230 H,,,Nagravision,,,,Movistar,https://www.lyngsat.com/packages/Movistar.html
12230 HLatin America,DVB-S231300,1273,ESPN 6 América Latina,,MPEG-4/SD,8144,8146 Spa,,,DVB-S2,,,12230 H,,,,,ESPN 6 América Latina,https://www.lyngsat.com/tvchannels/us/ESPN-6-America-Latina.html,,
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12230 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,Conax,StarTVuser220603,DVB-S,,,12230 V,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 HLatin America,DVB-S28PSK300002/3,,Claro Americas Sur,,,,6.6,Conax,StarTVuser220603,DVB-S2,30000,2/3,12270 H,,,Conax,,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,ConaxIrdeto,C de Berazategui210908,DVB-S,30000,2/3,12270 V,,,"Conax,Irdeto",,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
12270 VLatin America,DVB-S30000,,Claro Americas Sur,,,,,ConaxIrdeto,C de Berazategui210908,DVB-S,30000,2/3,12270 V,,,"Conax,Irdeto",,,,Claro Americas Sur,https://www.lyngsat.com/packages/Claro-Americas-Sur.html
