Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11175 VArgentina,DVB-S42003/4,,(feeds),,,,,,J Rector 2150807,DVB-S,4200,3/4,11175 V,,,,,,,,
11179 VArgentina,DVB-S31003/4,,(feeds),,,,,,J Rector 2150807,DVB-S,3100,3/4,11179 V,,,,,,,,
11540 HArgentina,DVB-S33303/4,,(feeds),,,,,,J Rector 2150807,DVB-S,3330,3/4,11540 H,,,,,,,,
11544 HArgentina,DVB-S6660,,(feeds),,,,,,J Rector 2150807,DVB-S,3330,3/4,11544 H,,,,,,,,
11552 HArgentina,DVB-S25913/4,,(feeds),,,,,,J Rector 2150807,DVB-S,2591,3/4,11552 H,,,,,,,,
11555 HArgentina,DVB-S1904,,(feeds),,,,,,J Rector 2150807,DVB-S,2591,3/4,11555 H,,,,,,,,
11564 HArgentina,DVB-S32003/4,,(feeds),,,,,,J Rector 2150807,DVB-S,3200,3/4,11564 H,,,,,,,,
11568 HArgentina,DVB-S33503/4,,(feeds),,,,,,J Rector 2150807,DVB-S,3350,3/4,11568 H,,,,,,,,
11573 HArgentina,DVB-S33333/4,,(feeds),,,,,,J Rector 2150807,DVB-S,3333,3/4,11573 H,,,,,,,,
11577 HArgentina,DVB-S33333/4,,(feeds),,,,,,J Rector 2150807,DVB-S,3333,3/4,11577 H,,,,,,,,
11581 HArgentina,DVB-S13253/4,,(feeds),,,,,,J Rector 2150807,DVB-S,1325,3/4,11581 H,,,,,,,,
11584 HArgentina,DVB-S26557/8,,(feeds),,,,,,J Rector 2150807,DVB-S,2655,7/8,11584 H,,,,,,,,
11595 HArgentina,DVB-S19047/8,,(feeds),,,,,,J Rector 2150807,DVB-S,1904,7/8,11595 H,,,,,,,,
11598 HArgentina,DVB-S25003/4,,(feeds),,,,,,J Rector 2150807,DVB-S,2500,3/4,11598 H,,,,,,,,
11651 VArgentina,DVB-S19047/8,,(feeds),,,,,,J Rector 2150807,DVB-S,1904,7/8,11651 V,,,,,,,,
