Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
12224 Rtp 1Canada0,DVB-S8PSK Turbo215002/3,,Bell TV,,257-101,,,Nagravision,NK170819,DVB-S,21500,2/3,12224 R,tp 1,0,Nagravision,,Bell TV,https://www.lyngsat.com/packages/Bell-TV-82W.html
