Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
2334,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2334,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2334,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2334,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2334,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2334,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2334,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2334,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2344,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2344,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2344,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2344,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2344,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2344,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
2344,MPEG,,Sirius XM Satellite Radio,,,,,,A de Jong130731,,,,2344,,,,,,,Sirius XM Satellite Radio,https://www.lyngsat.com/packages/Sirius-XM-Satellite-Radio-85W.html
S,MPEG,,Sirius XM Preview,,,,Eng,,,,,,S,,,,,,,,
,,,,,,,,,,,,,,,,,,MPEG,,,
