Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4010 Htp 15North America,DVB-S28PSK144008/9,,MASN,,,,10.7,PowerVu,Mike 4230108,DVB-S2,14400,8/9,4010 H,tp 15,,PowerVu,https://www.lyngsat.com/providers/us/MASN.html,,
4010 Htp 15North America,DVB-S28PSK144008/9,100,MASN Baltimore,,MPEG-4/HD,100,101 Eng,PowerVu,,DVB-S2,14400,8/9,4010 H,tp 15,,PowerVu,,MASN Baltimore,https://www.lyngsat.com/tvchannels/us/MASN-Baltimore.html
4010 Htp 15North America,DVB-S28PSK144008/9,110,MASN Washington,,MPEG-4/HD,110,111 Eng,PowerVu,,DVB-S2,14400,8/9,4010 H,tp 15,,PowerVu,,MASN Washington,https://www.lyngsat.com/tvchannels/us/MASN-Washington.html
4010 Htp 15North America,DVB-S28PSK144008/9,120,MASN 2 Baltimore,,MPEG-4/HD,120,121 Eng,PowerVu,,DVB-S2,14400,8/9,4010 H,tp 15,,PowerVu,,MASN 2 Baltimore,https://www.lyngsat.com/tvchannels/us/MASN-2-Baltimore.html
4010 Htp 15North America,DVB-S28PSK144008/9,130,MASN 2 Washington,,MPEG-4/HD,130,131 Eng,PowerVu,,DVB-S2,14400,8/9,4010 H,tp 15,,PowerVu,,MASN 2 Washington,https://www.lyngsat.com/tvchannels/us/MASN-2-Washington.html
4020 Vtp 16North America,DVB-S28PSK312503/4,,Fox Corporation,,,,7.9,Irdeto,T Bohnet220728,DVB-S2,31250,3/4,4020 V,tp 16,,Irdeto,https://www.lyngsat.com/providers/us/Fox-Corporation.html,,
4020 Vtp 16North America,DVB-S28PSK312503/4,551,Fox News Channel,,HEVC/HD,101,102 Eng 103 Spa,Irdeto,,DVB-S2,31250,3/4,4020 V,tp 16,,Irdeto,,Fox News Channel,https://www.lyngsat.com/tvchannels/us/Fox-News-Channel.html
4020 Vtp 16North America,DVB-S28PSK312503/4,552,FS1,,HEVC/HD,201,202 Eng 203 Spa,Irdeto,,DVB-S2,31250,3/4,4020 V,tp 16,,Irdeto,,FS1,https://www.lyngsat.com/tvchannels/us/FS1.html
4020 Vtp 16North America,DVB-S28PSK312503/4,553,FS2,,HEVC/HD,301,302 Eng 303 Spa,Irdeto,,DVB-S2,31250,3/4,4020 V,tp 16,,Irdeto,,FS2,https://www.lyngsat.com/tvchannels/us/FS2.html
4020 Vtp 16North America,DVB-S28PSK312503/4,554,Fox Business,,HEVC/HD,401,402 Eng,Irdeto,,DVB-S2,31250,3/4,4020 V,tp 16,,Irdeto,,Fox Business,https://www.lyngsat.com/tvchannels/us/Fox-Business.html
