Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,,CTV,,,,4.0,,D Dennett221010,DVB-S2,15000,3/4,4030 V,tp 8B,0,,https://www.lyngsat.com/providers/ca/CTV.html,,,,
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,1,CTV British Columbia,,MPEG-4/HD,4097,4098 Eng,,,DVB-S2,15000,3/4,4030 V,tp 8B,0,,,CTV British Columbia,https://www.lyngsat.com/tvchannels/ca/CTV-British-Columbia.html,,
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,2,CTV 2 Vancouver Island,,MPEG-4/HD,1793,1794 Eng,,,DVB-S2,15000,3/4,4030 V,tp 8B,0,,,CTV 2 Vancouver Island,https://www.lyngsat.com/tvchannels/ca/CTV-2-Vancouver-Island.html,,
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,3,(CTV feeds),,,2049,2050,,,DVB-S2,15000,3/4,4030 V,tp 8B,0,,,,,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,,,,3-301,,5.5,,ML240102,DVB-S,23800,3/4,4096 V,tp 10B,0,,,,,,
4144 Vtp 11BNorth America C0,DVB-S210001/2,,,,0-1148,,2.7,Digicipher,J-G Belanger210709,DVB-S,21000,1/2,4144 V,tp 11B,0,Digicipher,,,,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,2,[test card],,MPEG-2/SD,110,,,,DVB-S,23800,3/4,4096 V,tp 10B,0,,,,,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,500,Legislative Assembly TV Nunavut,,MPEG-2/SD,200,201 Eng,,,DVB-S,23800,3/4,4096 V,tp 10B,0,,,Legislative Assembly TV Nunavut,https://www.lyngsat.com/tvchannels/ca/Legislative-Assembly-TV-Nunavut.html,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,500,Legislative Assembly TV Nunavut,,MPEG-2/SD,200,201 Eng,,,DVB-S,23800,3/4,4096 V,tp 10B,0,,,Legislative Assembly TV Nunavut,https://www.lyngsat.com/tvchannels/ca/Legislative-Assembly-TV-Nunavut.html,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,510,Canal M (Canada),,,,152 Fre,,,DVB-S,23800,3/4,4096 V,tp 10B,0,,,Canal M (Canada),https://www.lyngsat.com/radiochannels/ca/Canal-M.html,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,510,Canal M (Canada),,,,152 Fre,,,DVB-S,23800,3/4,4096 V,tp 10B,0,,,Canal M (Canada),https://www.lyngsat.com/radiochannels/ca/Canal-M.html,,
4096 Vtp 10BNorth America C0,DVB-S238003/4,520,Radio France Internationale,,,,240 Fre,,,DVB-S,23800,3/4,4096 V,tp 10B,0,,,Radio France Internationale,https://www.lyngsat.com/radiochannels/fr/Radio-France-Internationale.html,,
4116 Vtp 10BNorth America C0,DVB-S2QPSK33994/5,,Legislative Assembly of Ontario,,MPEG-4/HD,95,4.7 200 Eng201 Fre,,J Walsh210911,DVB-S2,3399,4/5,4116 V,tp 10B,0,,,Legislative Assembly of Ontario,https://www.lyngsat.com/tvchannels/ca/Legislative-Assembly-of-Ontario.html,,
4116 Vtp 10BNorth America C0,DVB-S2QPSK33994/5,,Legislative Assembly of Ontario,,MPEG-4/HD,95,4.7 200 Eng201 Fre,,J Walsh210911,DVB-S2,3399,4/5,4116 V,tp 10B,0,,,Legislative Assembly of Ontario,https://www.lyngsat.com/tvchannels/ca/Legislative-Assembly-of-Ontario.html,,
4144 Vtp 11BNorth America C0,DVB-S210001/2,904,Legislative Assembly of Ontario,,MPEG-4/SD,131,132 Eng,Digicipher,,DVB-S,21000,1/2,4144 V,tp 11B,0,Digicipher,,Legislative Assembly of Ontario,https://www.lyngsat.com/tvchannels/ca/Legislative-Assembly-of-Ontario.html,,
4144 Vtp 11BNorth America C0,DVB-S210001/2,904,Legislative Assembly of Ontario,,MPEG-4/SD,131,132 Eng,Digicipher,,DVB-S,21000,1/2,4144 V,tp 11B,0,Digicipher,,Legislative Assembly of Ontario,https://www.lyngsat.com/tvchannels/ca/Legislative-Assembly-of-Ontario.html,,
4144 Vtp 11BNorth America C0,DVB-S210001/2,901,APTN E,,MPEG-4/SD,101,102 Eng,Digicipher,,DVB-S,21000,1/2,4144 V,tp 11B,0,Digicipher,,APTN E,https://www.lyngsat.com/tvchannels/ca/APTN-E.html,,
4144 Vtp 11BNorth America C0,DVB-S210001/2,902,APTN W,,MPEG-4/SD,111,112 Eng,Digicipher,,DVB-S,21000,1/2,4144 V,tp 11B,0,Digicipher,,APTN W,https://www.lyngsat.com/tvchannels/ca/APTN-W.html,,
4144 Vtp 11BNorth America C0,DVB-S210001/2,903,APTN N,,MPEG-4/SD,121,122 Eng,Digicipher,,DVB-S,21000,1/2,4144 V,tp 11B,0,Digicipher,,APTN N,https://www.lyngsat.com/tvchannels/ca/APTN-N.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,,Educational Media Foundation,,1-1,,5.5,,J-G Belanger210527,DVB-S,2800,3/4,4196 V,tp 12B,0,,https://www.lyngsat.com/providers/us/Educational-Media-Foundation.html,,,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,1,Radio Nueva Vida,,,,4213 Spa,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,Radio Nueva Vida,https://www.lyngsat.com/radiochannels/us/Radio-Nueva-Vida.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,1,Radio Nueva Vida,,,,4213 Spa,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,Radio Nueva Vida,https://www.lyngsat.com/radiochannels/us/Radio-Nueva-Vida.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,2,K-Love,,,,4181 Eng,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,K-Love,https://www.lyngsat.com/radiochannels/us/K-Love.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,2,K-Love,,,,4181 Eng,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,K-Love,https://www.lyngsat.com/radiochannels/us/K-Love.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,3,Air 1 Worship Now,,,,4197 Eng,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,Air 1 Worship Now,https://www.lyngsat.com/radiochannels/us/Air-1-Worship-Now.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,3,Air 1 Worship Now,,,,4197 Eng,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,Air 1 Worship Now,https://www.lyngsat.com/radiochannels/us/Air-1-Worship-Now.html,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,13,K-Love 90s,,,,4177 Eng,,,DVB-S,2800,3/4,4196 V,tp 12B,0,,,K-Love 90s,https://www.lyngsat.com/radiochannels/us/K-Love-90s.html,,
