Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
12347 VSouth Korea,DVB-S107402/3,,CGN TV,,1-1,,4.4,,N Kawano200826,DVB-S,10740,2/3,12347 V,,,,https://www.lyngsat.com/providers/kr/CGN-TV.html,CGN TV,https://www.lyngsat.com/tvchannels/kr/CGN-TV.html
12347 VSouth Korea,DVB-S107402/3,,CGN TV,,1-1,,4.4,,N Kawano200826,DVB-S,10740,2/3,12347 V,,,,https://www.lyngsat.com/providers/kr/CGN-TV.html,CGN TV,https://www.lyngsat.com/tvchannels/kr/CGN-TV.html
12347 VSouth Korea,DVB-S107402/3,1,CGN TV,,MPEG-2/SD,512,650 Kor,,,DVB-S,10740,2/3,12347 V,,,,https://www.lyngsat.com/providers/kr/CGN-TV.html,CGN TV,https://www.lyngsat.com/tvchannels/kr/CGN-TV.html
12347 VSouth Korea,DVB-S107402/3,1,CGN TV,,MPEG-2/SD,512,650 Kor,,,DVB-S,10740,2/3,12347 V,,,,https://www.lyngsat.com/providers/kr/CGN-TV.html,CGN TV,https://www.lyngsat.com/tvchannels/kr/CGN-TV.html
12347 VSouth Korea,DVB-S107402/3,2,CGN TV Japan,,MPEG-2/SD,513,660 Jpn,,,DVB-S,10740,2/3,12347 V,,,,,CGN TV Japan,https://www.lyngsat.com/tvchannels/kr/CGN-TV-Japan.html
12347 VSouth Korea,DVB-S107402/3,2,CGN TV Japan,,MPEG-2/SD,513,660 Jpn,,,DVB-S,10740,2/3,12347 V,,,,,CGN TV Japan,https://www.lyngsat.com/tvchannels/kr/CGN-TV-Japan.html
12347 VSouth Korea,DVB-S107402/3,3,CGN TV Chinese,,MPEG-2/SD,514,670 Chi,,,DVB-S,10740,2/3,12347 V,,,,,CGN TV Chinese,https://www.lyngsat.com/tvchannels/kr/CGN-TV-Chinese.html
12347 VSouth Korea,DVB-S107402/3,3,CGN TV Chinese,,MPEG-2/SD,514,670 Chi,,,DVB-S,10740,2/3,12347 V,,,,,CGN TV Chinese,https://www.lyngsat.com/tvchannels/kr/CGN-TV-Chinese.html
12363 VNE Asia,DVB-S2QPSK39003/4,1,NTD TV China,,?-?MPEG-2/SD,512,4.04112 Chi,,T Kameda220109,DVB-S2,3900,3/4,12363 V,,,,,,
12363 VNE Asia,DVB-S2QPSK39003/4,2,Sound of Hope,,,,3001 Chi,,,DVB-S2,3900,3/4,12363 V,,,,,Sound of Hope,https://www.lyngsat.com/radiochannels/us/Sound-of-Hope.html
12363 VNE Asia,DVB-S2QPSK39003/4,2,Sound of Hope,,,,3001 Chi,,,DVB-S2,3900,3/4,12363 V,,,,,Sound of Hope,https://www.lyngsat.com/radiochannels/us/Sound-of-Hope.html
,,,,,,,,,,,,,,,,,,DVB-S2QPSK39003/4,
,,,,,,,,,,,,,,,,,,DVB-S2QPSK39003/4,
