Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
12291 Rtp 2Ku,ISDB-SQPSK288603/4,,Sky PerfecTV!,,,,,B-CAS,Alimudin 328200503,ISDB-S,28860,3/4,12291 R,tp 2,,B-CAS,,,,Sky PerfecTV!,https://www.lyngsat.com/packages/Sky-PerfecTV.html
