Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,,RTRS Yakutia,,,,7.9,,N Stanislav220612,DVB-S2,,,3675 R,,,,https://www.lyngsat.com/providers/ru/RTRS-Yakutia.html,,
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3675 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3675 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3675 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3675 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3688 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3688 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3688 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,DVB-S2,,,3688 R,,,GoSTcrypt,,Rossiya 1 (+7h),https://www.lyngsat.com/tvchannels/ru/Rossiya-1.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,DVB-S2,,,3675 R,,,,,Rossiya 24,https://www.lyngsat.com/tvchannels/ru/Rossiya-24.html
