Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11568 Htp ICHD22Indo China,DVB-S33402/3,1,CGN TV,,?-?MPEG-2/SD,308,4.4 256 Kor,,Bulek Sps210316,DVB-S,3340,2/3,11568 H,tp ICHD22,,,,,
11605 Htp ICHD23Indo China,DVB-S33402/3,1,CGN TV,,?-?MPEG-2/SD,308,4.4 256 Kor,,Bulek Sps210316,DVB-S,3340,2/3,11605 H,tp ICHD23,,,,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,,Freesat,,?-1,,6.6,,Er Balvinder240328,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,https://www.lyngsat.com/providers/lk/Freesat.html,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,1,Freesat promo,,HEVC/SD,2001,3001,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,2,Sri Dalada Maligawa,,HEVC/SD,2002,3002,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Sri Dalada Maligawa,https://www.lyngsat.com/tvchannels/lk/Sri-Dalada-Maligawa.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,3,Rupavahini,,HEVC/SD,2003,3003 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Rupavahini,https://www.lyngsat.com/tvchannels/lk/Rupavahini.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,3,Rupavahini,,HEVC/SD,2003,3003 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Rupavahini,https://www.lyngsat.com/tvchannels/lk/Rupavahini.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,4,Nethra TV,,HEVC/SD,2004,3004 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Nethra TV,https://www.lyngsat.com/tvchannels/lk/Nethra-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,4,Nethra TV,,HEVC/SD,2004,3004 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Nethra TV,https://www.lyngsat.com/tvchannels/lk/Nethra-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,5,ITN (Sri Lanka),,HEVC/SD,2005,3005 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,ITN (Sri Lanka),https://www.lyngsat.com/tvchannels/lk/ITN.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,5,ITN (Sri Lanka),,HEVC/SD,2005,3005 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,ITN (Sri Lanka),https://www.lyngsat.com/tvchannels/lk/ITN.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,6,Vasantham TV,,HEVC/SD,2006,3006 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Vasantham TV,https://www.lyngsat.com/tvchannels/lk/Vasantham-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,6,Vasantham TV,,HEVC/SD,2006,3006 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Vasantham TV,https://www.lyngsat.com/tvchannels/lk/Vasantham-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,7,TNL TV,,HEVC/SD,2007,3007,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,TNL TV,https://www.lyngsat.com/tvchannels/lk/TNL-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,7,TNL TV,,HEVC/SD,2007,3007,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,TNL TV,https://www.lyngsat.com/tvchannels/lk/TNL-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,8,Sirasa TV,,HEVC/SD,2008,3008 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Sirasa TV,https://www.lyngsat.com/tvchannels/lk/Sirasa-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,9,Shakthi TV,,HEVC/SD,2009,3009 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Shakthi TV,https://www.lyngsat.com/tvchannels/lk/Shakthi-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,10,TV 1 (Sri Lanka),,HEVC/SD,2010,3010,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,TV 1 (Sri Lanka),https://www.lyngsat.com/tvchannels/lk/TV-1.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,11,Swarnavahini,,HEVC/SD,2011,3011 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Swarnavahini,https://www.lyngsat.com/tvchannels/lk/Swarnavahini.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,11,Swarnavahini,,HEVC/SD,2011,3011 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Swarnavahini,https://www.lyngsat.com/tvchannels/lk/Swarnavahini.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,12,TV Derana,,HEVC/HD,2012,3012,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,TV Derana,https://www.lyngsat.com/tvchannels/lk/TV-Derana.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,13,Ada Derana 24,,HEVC/SD,2013,3013,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Ada Derana 24,https://www.lyngsat.com/tvchannels/lk/Ada-Derana-24.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,14,Siyatha TV,,HEVC/SD,2014,3014 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Siyatha TV,https://www.lyngsat.com/tvchannels/lk/Siyatha-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,15,Star Tamil TV,,HEVC/SD,2015,3015 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Star Tamil TV,https://www.lyngsat.com/tvchannels/lk/Star-Tamil-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,16,Hiru TV,,HEVC/SD,2016,3016 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Hiru TV,https://www.lyngsat.com/tvchannels/lk/Hiru-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,16,Hiru TV,,HEVC/SD,2016,3016 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Hiru TV,https://www.lyngsat.com/tvchannels/lk/Hiru-TV.html
