Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
12314 HJapan,DVB-S2QPSK51803/4,1,Nippon TV,,?-?HEVC/HD,512,4.04112 Jpn,BISS,T Kameda200713,DVB-S2,5180,3/4,12314 H,,,BISS,,,
12319 HJapan,DVB-S216APSK51792/3,1,[NTV test card],,?-?HEVC/HD,512,4112,BISS,T Kameda180905,DVB-S2,5179,2/3,12319 H,,,BISS,,,
12324 HJapan,DVB-S2QPSK51791/2,1,NTV News 24,,?-?HEVC/HD,512,1.04112 Jpn,BISS,T Kameda180905,DVB-S2,5179,1/2,12324 H,,,BISS,,,
12348 HJapan,DVB-S216APSK51792/3,,(TBS feeds),,,,,,T Kameda180905,DVB-S2,5179,2/3,12348 H,,,,,,
12354 HJapan,DVB-S216APSK51792/3,,(NTV feeds),,,,,,T Kameda180905,DVB-S2,5179,2/3,12354 H,,,,,,
12395 HJapan,DVB-S232APSK70723/4,,(Fuji TV feeds),,,,,,T Kameda180905,DVB-S2,7072,3/4,12395 H,,,,,,
12403 VJapan,DVB-S2QPSK151503/4,,(feeds),,,,,,T Kameda201122,DVB-S2,15150,3/4,12403 V,,,,,,
12419 VJapan,DVB-S2117073/4,,(feeds),,,,,,T Kameda181104,DVB-S2,11707,3/4,12419 V,,,,,,
12441 VJapan,DVB-S2QPSK122223/4,,(feeds),,,,,,T Kameda180905,DVB-S2,12222,3/4,12441 V,,,,,,
12523 HJapan,DVB-S2QPSK54543/4,1,[test card],,?-?HEVC/SD,1241,4.01242,,T Kameda190421,DVB-S2,5454,3/4,12523 H,,,,,,
,,,,,,,,,,,,,,,,,,DVB-S2QPSK51803/4,BISS
,,,,,,,,,,,,,,,,,,DVB-S2QPSK51791/2,BISS
