Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3871 LWest hemi39.7-41.7,DVB-S21505/6,,RMS Radio,,65535-1,,6.5,,F Dibba191025,DVB-S,2150,5/6,3871 L,,39.7-41.7,,https://www.lyngsat.com/providers/ke/RMS-Radio.html,,
3871 LWest hemi39.7-41.7,DVB-S21505/6,1,Hot 96,,,,3604 Eng,,,DVB-S,2150,5/6,3871 L,,39.7-41.7,,,Hot 96,https://www.lyngsat.com/radiochannels/ke/Hot-96.html
3871 LWest hemi39.7-41.7,DVB-S21505/6,1,Hot 96,,,,3604 Eng,,,DVB-S,2150,5/6,3871 L,,39.7-41.7,,,Hot 96,https://www.lyngsat.com/radiochannels/ke/Hot-96.html
3871 LWest hemi39.7-41.7,DVB-S21505/6,1,Radio Citizen,,,,3605,,,DVB-S,2150,5/6,3871 L,,39.7-41.7,,,Radio Citizen,https://www.lyngsat.com/radiochannels/ke/Radio-Citizen.html
3871 LWest hemi39.7-41.7,DVB-S21505/6,1,Radio Citizen,,,,3605,,,DVB-S,2150,5/6,3871 L,,39.7-41.7,,,Radio Citizen,https://www.lyngsat.com/radiochannels/ke/Radio-Citizen.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,,Kenyan mux,,.-.,,9.4,,M Al-Taie211221,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,,
3940 LWest hemi39.7-41.7,DVB-S28PSK20833/4,,Kenyan mux,,8192-4096,,7.9,,DX Bozóth240204,DVB-S2,2083,3/4,3940 L,,39.7-41.7,,,,
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,1,NTV (Kenya),,MPEG-4/SD,544,800 Eng,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,1,NTV (Kenya),,MPEG-4/SD,544,800 Eng,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,2,Citizen TV,,MPEG-4/SD,545,801 Eng,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,Citizen TV,https://www.lyngsat.com/tvchannels/ke/Citizen-TV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,2,Citizen TV,,MPEG-4/SD,545,801 Eng,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,Citizen TV,https://www.lyngsat.com/tvchannels/ke/Citizen-TV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,3,Inooro TV,,MPEG-4/SD,546,802 Eng,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,Inooro TV,https://www.lyngsat.com/tvchannels/ke/Inooro-TV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,3,Inooro TV,,MPEG-4/SD,546,802 Eng,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,Inooro TV,https://www.lyngsat.com/tvchannels/ke/Inooro-TV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,4,QTV (Kenya),,MPEG-4/SD,547,803 Swa,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,QTV (Kenya),https://www.lyngsat.com/tvchannels/ke/QTV.html
3878 LWest hemi39.7-41.7,DVB-S28PSK55745/6MultistreamStream 2T2-MIPLP 0,5,Ramogi TV,,MPEG-4/SD,548,804,,,DVB-S2,2150,5/6,3878 L,,39.7-41.7,,,Ramogi TV,https://www.lyngsat.com/tvchannels/ke/Ramogi-TV.html
