Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,,Nigerian mux,,1-2,,5.2,,M Hajdú201229,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,,
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,201,Lagos TV,,MPEG-4/SD,273,274 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Lagos TV,https://www.lyngsat.com/tvchannels/ng/Lagos-TV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,202,MITV,,MPEG-4/SD,289,290 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,MITV,https://www.lyngsat.com/tvchannels/ng/MITV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,203,Silverbird TV,,MPEG-4/SD,305,306 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Silverbird TV,https://www.lyngsat.com/tvchannels/ng/Silverbird-TV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,204,TVC News,,MPEG-4/SD,321,322 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,TVC News,https://www.lyngsat.com/tvchannels/ng/TVC-News.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,204,TVC News,,MPEG-4/SD,321,322 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,TVC News,https://www.lyngsat.com/tvchannels/ng/TVC-News.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,205,TVC,,MPEG-4/SD,337,338 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,TVC,https://www.lyngsat.com/tvchannels/ng/TVC.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,205,TVC,,MPEG-4/SD,337,338 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,TVC,https://www.lyngsat.com/tvchannels/ng/TVC.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,206,Sunna TV (Nigeria),,MPEG-4/SD,353,354 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Sunna TV (Nigeria),https://www.lyngsat.com/tvchannels/ng/Sunna-TV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,207,Wazobia TV,,MPEG-4/SD,369,370 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Wazobia TV,https://www.lyngsat.com/tvchannels/ng/Wazobia-TV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,208,Trybe TV,,MPEG-4/SD,385,386 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Trybe TV,https://www.lyngsat.com/tvchannels/ng/Trybe-TV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,209,Spice,,MPEG-4/SD,401,402 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Spice,https://www.lyngsat.com/tvchannels/ng/Spice.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,210,Televista,,MPEG-4/SD,513,514 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Televista,https://www.lyngsat.com/tvchannels/ng/Televista.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,211,OnMax,,MPEG-4/SD,529,530 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,OnMax,https://www.lyngsat.com/tvchannels/ng/OnMax.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,212,Soundcity TV,,MPEG-4/SD,545,546 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Soundcity TV,https://www.lyngsat.com/tvchannels/ng/Soundcity-TV.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,213,Wazobia Max TV Lagos,,MPEG-4/SD,561,562 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Wazobia Max TV Lagos,https://www.lyngsat.com/tvchannels/ng/Wazobia-Max-TV-Lagos.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,213,Wazobia Max TV Lagos,,MPEG-4/SD,561,562 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Wazobia Max TV Lagos,https://www.lyngsat.com/tvchannels/ng/Wazobia-Max-TV-Lagos.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,214,Arewa 24,,MPEG-4/SD,577,578 Hau,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Arewa 24,https://www.lyngsat.com/tvchannels/ng/Arewa-24.html
3751 Rtp SZD11Sub-Sahara0,DVB-S2QPSK183155/6,215,Lumen Christi Catholic TV,,MPEG-4/SD,593,594 Eng,,,DVB-S2,18315,5/6,3751 R,tp SZD11,0,,,Lumen Christi Catholic TV,https://www.lyngsat.com/tvchannels/ng/Lumen-Christi-Catholic-TV.html
