Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
11455 HMiddle East,DVB-S28PSK50002/3,,(feeds),,,,,,Roli220929,DVB-S2,5000.0,2/3,11455 H,,,,,,,,,False,
11461 HMiddle East,DVB-S28PSK50002/3,,(feeds),,,,,,Roli220929,DVB-S2,5000.0,2/3,11461 H,,,,,,,,,False,
11467 HMiddle East,DVB-S28PSK45003/4,,(feeds),,,,,,Roli201004,DVB-S2,4500.0,3/4,11467 H,,,,,,,,,False,
11481 HMiddle East,DVB-S28PSK38753/4,,(feeds),,,,,,Marcel 2180327,DVB-S2,3875.0,3/4,11481 H,,,,,,,,,False,
11487 HMiddle East,DVB-S2QPSK38755/6,,(feeds),,,,,,Roli200905,DVB-S2,3875.0,5/6,11487 H,,,,,,,,,False,
11502 HMiddle East,DVB-S22225/6,,(feeds),,,,,,Roli191124,DVB-S,2222.0,5/6,11502 H,,,,,,,,,False,
11516 HMiddle East,DVB-S28PSK20005/6,,(feeds),,,,,,Janlakomcik231109,DVB-S2,2000.0,5/6,11516 H,,,,,,,,,False,
11542 HMiddle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240310,DVB-S2,7200.0,3/4,11542 H,,,,,,,,,False,
11551 HMiddle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240324,DVB-S2,7200.0,3/4,11551 H,,,,,,,,,False,
11625 Htp 11Middle East,DVB-S28PSK10005/6,,(feeds),,,,,,N Stanislav211107,DVB-S2,1000.0,5/6,11625 H,tp 11,,,,,,,,False,
11663 Htp 12Middle East,DVB-S297003/4,,(feeds),,,,,,Stanley_cassidy230917,DVB-S2,9700.0,3/4,11663 H,tp 12,,,,,,,,False,
11672 Htp 12Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli230907,DVB-S2,7200.0,3/4,11672 H,tp 12,,,,,,,,False,
11680 Htp 12Middle East,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy231031,DVB-S2,7200.0,3/4,11680 H,tp 12,,,,,,,,False,
11681 Vtp 12Europe,DVB-S28PSK22005/6,,(feeds),,,,,,Roli230309,DVB-S2,2200.0,5/6,11681 V,tp 12,,,,,,,,False,
11689 Htp 12Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli231201,DVB-S2,7200.0,3/4,11689 H,tp 12,,,,,,,,False,
12548 HEurope,DVB-S28PSK36003/4,,(feeds),,,,,,Roli231103,DVB-S2,3600.0,3/4,12548 H,,,,,,,,,False,
12560 HEurope,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli230318,DVB-S2,7200.0,3/4,12560 H,,,,,,,,,False,
12567 HEurope,DVB-S28PSK50003/4,,(feeds),,,,,,Roli240310,DVB-S2,5000.0,3/4,12567 H,,,,,,,,,False,
12578 HEurope,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli230318,DVB-S2,7200.0,3/4,12578 H,,,,,,,,,False,
12629 HEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Roli201121,DVB-S2,2500.0,5/6,12629 H,,,,,,,,,False,
12632 HEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Roli201121,DVB-S2,2500.0,5/6,12632 H,,,,,,,,,False,
12637 HEurope,DVB-S28PSK50005/6,,(feeds),,,,,,Roli230505,DVB-S2,5000.0,5/6,12637 H,,,,,,,,,False,
12643 HEurope,DVB-S28PSK50005/6,,(feeds),,,,,,Roli200912,DVB-S2,5000.0,5/6,12643 H,,,,,,,,,False,
12682 Htp 23Europe,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220417,DVB-S2,7200.0,3/4,12682 H,tp 23,,,,,,,,False,
12693 Htp 23Europe,DVB-S293702/3,,(feeds),,,,,,Stanley_cassidy220406,DVB-S2,9370.0,2/3,12693 H,tp 23,,,,,,,,False,
