Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
10729 Vtp 50Europe0,,,,,,,,,EnoSat240202,,,,10729 V,tp 50,0.0,,,,,,,False,
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000.0,7/8,10921 H,tp 63,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000.0,7/8,10921 H,tp 63,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000.0,7/8,10921 H,tp 63,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000.0,7/8,10921 H,tp 63,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000.0,7/8,10921 H,tp 63,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11229 Vtp 2Europe0,DVB-S28PSK220002/3,,SES,,1-1002,,6.6,,DXAndyD Shimoni240104,DVB-S2,22000.0,2/3,11229 V,tp 2,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11229 Vtp 2Europe0,DVB-S28PSK220002/3,,SES,,1-1002,,6.6,,DXAndyD Shimoni240104,DVB-S2,22000.0,2/3,11229 V,tp 2,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11229 Vtp 2Europe0,DVB-S28PSK220002/3,,SES,,1-1002,,6.6,,DXAndyD Shimoni240104,DVB-S2,22000.0,2/3,11229 V,tp 2,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11229 Vtp 2Europe0,DVB-S28PSK220002/3,,SES,,1-1002,,6.6,,DXAndyD Shimoni240104,DVB-S2,22000.0,2/3,11229 V,tp 2,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11229 Vtp 2Europe0,DVB-S28PSK220002/3,,SES,,1-1002,,6.6,,DXAndyD Shimoni240104,DVB-S2,22000.0,2/3,11229 V,tp 2,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11421 Htp 15Europe0,DVB-S220005/6,,SES,,1-1015,,6.5,MarlinNagravisionTVkeyViaccessVideoguard,D Shimoni240102,DVB-S,22000.0,5/6,11421 H,tp 15,0.0,"Marlin,Nagravision,TVkey,Viaccess,Videoguard",https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11421 Htp 15Europe0,DVB-S220005/6,,SES,,1-1015,,6.5,MarlinNagravisionTVkeyViaccessVideoguard,D Shimoni240102,DVB-S,22000.0,5/6,11421 H,tp 15,0.0,"Marlin,Nagravision,TVkey,Viaccess,Videoguard",https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11421 Htp 15Europe0,DVB-S220005/6,,SES,,1-1015,,6.5,MarlinNagravisionTVkeyViaccessVideoguard,D Shimoni240102,DVB-S,22000.0,5/6,11421 H,tp 15,0.0,"Marlin,Nagravision,TVkey,Viaccess,Videoguard",https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11421 Htp 15Europe0,DVB-S220005/6,,SES,,1-1015,,6.5,MarlinNagravisionTVkeyViaccessVideoguard,D Shimoni240102,DVB-S,22000.0,5/6,11421 H,tp 15,0.0,"Marlin,Nagravision,TVkey,Viaccess,Videoguard",https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
11421 Htp 15Europe0,DVB-S220005/6,,SES,,1-1015,,6.5,MarlinNagravisionTVkeyViaccessVideoguard,D Shimoni240102,DVB-S,22000.0,5/6,11421 H,tp 15,0.0,"Marlin,Nagravision,TVkey,Viaccess,Videoguard",https://www.lyngsat.com/providers/lu/SES.html,,,,,True,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21100,Anixe HD Serie,,MPEG-4/HD,255.0,259 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,Anixe HD Serie,https://www.lyngsat.com/tvchannels/de/Anixe-HD-Serie.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21100,Anixe HD Serie,,MPEG-4/HD,255.0,259 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,Anixe HD Serie,https://www.lyngsat.com/tvchannels/de/Anixe-HD-Serie.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21103,QVC Deutschland,,MPEG-4/HD,1023.0,1027 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,QVC Deutschland,https://www.lyngsat.com/tvchannels/us/QVC-Deutschland.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21103,QVC Deutschland,,MPEG-4/HD,1023.0,1027 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,QVC Deutschland,https://www.lyngsat.com/tvchannels/us/QVC-Deutschland.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21104,HSE,,MPEG-4/HD,1279.0,1283 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,HSE,https://www.lyngsat.com/tvchannels/de/HSE.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21104,HSE,,MPEG-4/HD,1279.0,1283 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,HSE,https://www.lyngsat.com/tvchannels/de/HSE.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21107,Shop LC Deutschland,,MPEG-4/HD,511.0,512 Ger 513 Eng,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,Shop LC Deutschland,https://www.lyngsat.com/tvchannels/us/Shop-LC-Deutschland.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21107,Shop LC Deutschland,,MPEG-4/HD,511.0,512 Ger 513 Eng,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,Shop LC Deutschland,https://www.lyngsat.com/tvchannels/us/Shop-LC-Deutschland.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21108*,Welt,,MPEG-4/HD,767.0,771 Ger,IrdetoMarlinNagravisionVideoguard,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,"Irdeto,Marlin,Nagravision,Videoguard",,Welt,https://www.lyngsat.com/tvchannels/de/Welt.html,,,False,SES
10773 Htp 53Europe0,DVB-S28PSK220003/4,21113,Genius Plus TV,,MPEG-4/SD,3327.0,3328 Ger,,,DVB-S2,22000.0,3/4,10773 H,tp 53,0.0,,,Genius Plus TV,https://www.lyngsat.com/tvchannels/de/Genius-Plus-TV.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5500*,Disney Channel Deutschland,,MPEG-4/HD,255.0,259 Ger,MarlinNagravisionViaccessVideoguard,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,"Marlin,Nagravision,Viaccess,Videoguard",,Disney Channel Deutschland,https://www.lyngsat.com/tvchannels/us/Disney-Channel-Deutschland.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5501,HSE Extra,,MPEG-4/HD,511.0,515 Ger,,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,,HSE Extra,https://www.lyngsat.com/tvchannels/de/HSE-Extra.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5501,HSE Extra,,MPEG-4/HD,511.0,515 Ger,,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,,HSE Extra,https://www.lyngsat.com/tvchannels/de/HSE-Extra.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5502,1-2-3 TV,,MPEG-4/HD,767.0,771 Ger,,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,,1-2-3 TV,https://www.lyngsat.com/tvchannels/de/1-2-3-TV.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5502,1-2-3 TV,,MPEG-4/HD,767.0,771 Ger,,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,,1-2-3 TV,https://www.lyngsat.com/tvchannels/de/1-2-3-TV.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5503*,Deluxe Music,,MPEG-4/HD,1023.0,1027 Ger,MarlinNagravisionViaccessVideoguard,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,"Marlin,Nagravision,Viaccess,Videoguard",,Deluxe Music,https://www.lyngsat.com/tvchannels/de/Deluxe-Music.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5504,QVC Zwei,,MPEG-4/HD,1279.0,1283 Ger,,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,,QVC Zwei,https://www.lyngsat.com/tvchannels/us/QVC-Zwei.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5504,QVC Zwei,,MPEG-4/HD,1279.0,1283 Ger,,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,,,QVC Zwei,https://www.lyngsat.com/tvchannels/us/QVC-Zwei.html,,,False,SES
10803 Htp 55Europe0,DVB-S28PSK220003/4,5505,Sport 1 (Germany),,MPEG-4/HD,1535.0,1539 Ger,IrdetoMarlinNagravisionViaccessVideoguard,,DVB-S2,22000.0,3/4,10803 H,tp 55,0.0,"Irdeto,Marlin,Nagravision,Viaccess,Videoguard",,Sport 1 (Germany),https://www.lyngsat.com/tvchannels/de/Sport-1.html,,,False,SES
10832 Htp 57Europe0,DVB-S28PSK220002/3,,HD+,,1-1057,,6.6,IrdetoMarlinNagravisionViaccessVideoguard,H RooijackersD ShimoniT Viererbe211116,DVB-S2,22000.0,2/3,10832 H,tp 57,0.0,"Irdeto,Marlin,Nagravision,Viaccess,Videoguard",,,,HD+,https://www.lyngsat.com/packages/HD-.html,False,SES
