Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10975 Htp 1Europe & North Africa,DVB-S23250,,(feeds),,,,,,Roli100205,DVB-S2,,,10975 H,tp 1,,,,,,False,
10978 Htp 1Europe & North Africa,DVB-S31243/4,,(feeds),,,,,,Roli100411,DVB-S,3124.0,3/4,10978 H,tp 1,,,,,,False,
10989 Vtp 2Europe & North Africa,DVB-S56323/4,,(feeds),,,,,,W Zaremba100304,DVB-S,5632.0,3/4,10989 V,tp 2,,,,,,False,
10991 Htp 1Europe & North Africa,DVB-S61113/4,,(feeds),,,,,,M Sixx100621,DVB-S,6111.0,3/4,10991 H,tp 1,,,,,,False,
11032 Vtp 4Europe & North Africa,DVB-S61113/4,,(feeds),,,,,,M Sixx100610,DVB-S,6111.0,3/4,11032 V,tp 4,,,,,,False,
11043 Vtp 4Europe & North Africa,DVB-S66667/8,,(feeds),,,,,,Roli110114,DVB-S,6666.0,7/8,11043 V,tp 4,,,,,,False,
11455 Vtp 10Europe & North Africa,DVB-S248003/4,,(feeds),,,,,,Stanley_cassidy180119,DVB-S2,4800.0,3/4,11455 V,tp 10,,,,,,False,
11492 Vtp 10Europe & North Africa,DVB-S28PSK48003/4,,(feeds),,,,,,Jamie A170307,DVB-S2,4800.0,3/4,11492 V,tp 10,,,,,,False,
11639 Vtp 16AEurope & North Africa,DVB-S28PSK75003/5,,(feeds),,,,,,DX Bozóth190202,DVB-S2,7500.0,3/5,11639 V,tp 16A,,,,,,False,
11676 Vtp 16AEurope & North Africa,DVB-S237003/4,,(feeds),,,,,,Stanley_cassidy201103,DVB-S2,3700.0,3/4,11676 V,tp 16A,,,,,,False,
11680 Vtp 16AEurope & North Africa,DVB-S237003/4,,(feeds),,,,,,Stanley_cassidy201103,DVB-S2,3700.0,3/4,11680 V,tp 16A,,,,,,False,
11839 Vtp 34North & Central America,DVB-S3125,,(feeds),,,,,,G Campbell101001,DVB-S,3700.0,3/4,11839 V,tp 34,,,,,,False,
11875 Vtp 34North & Central America,DVB-S5632,,(feeds),,,,,,G Campbell110308,DVB-S,3700.0,3/4,11875 V,tp 34,,,,,,False,
12504 Vtp 18Europe & North Africa,DVB-S34007/8,,(feeds),,,,,,Roli100118,DVB-S,3400.0,7/8,12504 V,tp 18,,,,,,False,
12510 Vtp 28ASub-Saharan Africa,DVB-S258333/4,,(feeds),,,,,,Eric 2190825,DVB-S2,5833.0,3/4,12510 V,tp 28A,,,,,,False,
12524 Vtp 18Europe & North Africa,DVB-S3600,,(feeds),,,,,,Stanley_cassidy101107,DVB-S,10800.0,7/8,12524 V,tp 18,,,,,,False,
12533 Vtp 18Europe & North Africa,DVB-S61113/4,,(feeds),,,,,,J Horváth100119,DVB-S,6111.0,3/4,12533 V,tp 18,,,,,,False,
12542 Vtp 18Europe & North Africa,DVB-S61113/4,,(feeds),,,,,,Roli100120,DVB-S,6111.0,3/4,12542 V,tp 18,,,,,,False,
12543 Vtp 28ASub-Saharan Africa,DVB-S35003/4,,(feeds),,,,,,I Cartmell090517,DVB-S,3500.0,3/4,12543 V,tp 28A,,,,,,False,
12584 Vtp 20Europe & North Africa,DVB-S61113/4,,(feeds),,,,,,DX Bozóth091222,DVB-S,6111.0,3/4,12584 V,tp 20,,,,,,False,
12595 Vtp 20Europe & North Africa,DVB-S37503/4,,(feeds),,,,,,Roli191114,DVB-S,3750.0,3/4,12595 V,tp 20,,,,,,False,
12614 Vtp 20Europe & North Africa,DVB-S37505/6,,(feeds),,,,,,Roli190701,DVB-S,3750.0,5/6,12614 V,tp 20,,,,,,False,
12674 Vtp 22Europe & North Africa,DVB-S75005/6,,(feeds),,,,,,Z Viglidán190114,DVB-S,7500.0,5/6,12674 V,tp 22,,,,,,False,
12692 Vtp 24Europe & North Africa,DVB-S28PSK31243/4,,(feeds),,,,,,Roli180725,DVB-S2,3124.0,3/4,12692 V,tp 24,,,,,,False,
12701 Vtp 24Europe & North Africa,DVB-S7500,,(feeds),,,,,,Z Viglidán180404,DVB-S,3124.0,3/4,12701 V,tp 24,,,,,,False,
12710 Vtp 24Europe & North Africa,DVB-S28PSK75005/6,,(feeds),,,,,,Roli180412,DVB-S2,7500.0,5/6,12710 V,tp 24,,,,,,False,
12717 Vtp 24Europe & North Africa,DVB-S66203/4,,(feeds),,,,,,Roli111117,DVB-S,6620.0,3/4,12717 V,tp 24,,,,,,False,
12731 HEurope & North Africa,DVB-S292303/4,,(feeds),,,,,,Stanley_cassidy221002,DVB-S2,9230.0,3/4,12731 H,,,,,,,False,
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,,SES,,,,6.5,BISS,Anonymous231015,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,BISS,https://www.lyngsat.com/providers/lu/SES.html,,,True,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,1.0,RR Media promo,,MPEG-2/SD,2001.0,3001 Eng,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,,,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,2.0,Record News,,MPEG-2/SD,2002.0,3002 Por,BISS,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,BISS,,Record News,https://www.lyngsat.com/tvchannels/br/Record-News.html,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,2.0,Record News,,MPEG-2/SD,2002.0,3002 Por,BISS,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,BISS,,Record News,https://www.lyngsat.com/tvchannels/br/Record-News.html,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,3.0,(Telemedia feeds),,,2003.0,3003,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,,,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,4.0,Band Internacional,,MPEG-2/SD,2004.0,3004 Por,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Band Internacional,https://www.lyngsat.com/tvchannels/br/Band-Internacional.html,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,5.0,Band News,,MPEG-2/SD,2005.0,3005 Por,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Band News,https://www.lyngsat.com/tvchannels/br/Band-News.html,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,6.0,Woohoo,,MPEG-2/SD,2006.0,3006 Por,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Woohoo,https://www.lyngsat.com/tvchannels/br/Woohoo.html,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,10.0,[Telemedia test card],,MPEG-2/SD,2010.0,3010,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,,,False,SES
11482 Htp 9ASub-Saharan Africa0,DVB-S119705/6,11.0,Apostolic Oneness Network,,MPEG-2/SD,2011.0,3011 Eng,,,DVB-S,11970.0,5/6,11482 H,tp 9A,0.0,,,Apostolic Oneness Network,https://www.lyngsat.com/tvchannels/us/Apostolic-Oneness-Network.html,False,SES
12515 Htp 17AEurope & North Africa,DVB-S34607/8,,@ TeleSkies,,,,7.2,,DX Bozóth101225,DVB-S,3460.0,7/8,12515 H,tp 17A,,,,,,False,SES
12517 Vtp 18Europe & North Africa,DVB-S2ACM10800,1302.0,@ STM,,65281-801,,,,C Putney120625,DVB-S2,10800.0,7/8,12517 V,tp 18,,,,,,False,SES
