Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
3706 Htp 2CWest hemi,DVB-S275003/4,,(feeds),,,,,,Stanley_cassidy200823,DVB-S2,7500.0,3/4,3706 H,tp 2C,,,,,,,,False,
3736 Htp 2CWest hemi,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy200905,DVB-S2,7200.0,3/4,3736 H,tp 2C,,,,,,,,False,
3808 Htp 6CWest hemi,DVB-S260003/4,,(feeds),,,,,,Stanley_cassidy200830,DVB-S2,6000.0,3/4,3808 H,tp 6C,,,,,,,,False,
3812 Htp 6CWest hemi,DVB-S28PSK20003/4,,(feeds),,,,,,Jonali201104,DVB-S2,2000.0,3/4,3812 H,tp 6C,,,,,,,,False,
3817 Htp 6CWest hemi,DVB-S28PSK20003/4,,(feeds),,,,,,Jonali201103,DVB-S2,2000.0,3/4,3817 H,tp 6C,,,,,,,,False,
4000 Vtp 15CWest hemi0,DVB-S28PSK300005/6,,(feeds),,,225.0,226,Digicipher,,DVB-S2,30000.0,5/6,4000 V,tp 15C,0.0,Digicipher,,,,,,False,
4000 Vtp 15CWest hemi0,DVB-S28PSK300005/6,,(feeds),,,241.0,242,Digicipher,,DVB-S2,30000.0,5/6,4000 V,tp 15C,0.0,Digicipher,,,,,,False,
4080 Vtp 19CWest hemi0,DVB-S28PSK300005/6,1001.0,(feeds),,,1000.0,1001,Irdeto,,DVB-S2,30000.0,5/6,4080 V,tp 19C,0.0,Irdeto,,,,,,False,
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,,,,1-301,,10.7,PowerVu,ML231103,DVB-S2,30000.0,8/9,3720 V,tp 1C,0.0,PowerVu,,,,,,False,
3760 Htp 4CWest hemi0,DVB-S28PSK300005/6,,,,,,9.4,Digicipher,Mike 4221129,DVB-S2,30000.0,5/6,3760 H,tp 4C,0.0,Digicipher,,,,,,False,
3791 Htp 6CWest hemi0,,,,,,,,,N Stanislav240317,DVB-S2,13463.0,5/6,3791 H,tp 6C,0.0,,,,,,,False,
3798 Htp 6CWest hemi0,,,,,,,,,N Stanislav240317,DVB-S2,13463.0,5/6,3798 H,tp 6C,0.0,,,,,,,False,
4000 Vtp 15CWest hemi0,DVB-S28PSK300005/6,,,,?-4,,9.4,Digicipher,Mike 4210608,DVB-S2,30000.0,5/6,4000 V,tp 15C,0.0,Digicipher,,,,,,False,
4040 Htp 18CWest hemi0,DVB-S28PSK300005/6,,,,1-101,,9.4,PowerVu,N Stanislav231017,DVB-S2,30000.0,5/6,4040 H,tp 18C,0.0,PowerVu,,,,,,False,
4080 Vtp 19CWest hemi0,DVB-S28PSK300005/6,,,,5003-102,,9.4,,ML231114,DVB-S2,30000.0,5/6,4080 V,tp 19C,0.0,,,,,,,False,
