Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101.0,102 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101.0,102 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101.0,102 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101.0,102 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001.0,1002 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001.0,1002 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001.0,1002 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001.0,1002 Por,,,DVB-S2,5000.0,2/3,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html,True,TV Paranaíba
