Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
4056 Htp 18North America,DVB-S132503/4,,Alaskan mux,,1-101,,5.5,,D Rempfer210906,DVB-S,13250,3/4,4056 H,tp 18,,,,,,False,
4056 Htp 18North America,DVB-S132503/4,1.0,ARCS,,MPEG-2/SD,110.0,100 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,ARCS,https://www.lyngsat.com/tvchannels/us/ARCS.html,False,
4056 Htp 18North America,DVB-S132503/4,2.0,KTOO 360 TV,,MPEG-2/SD,210.0,200 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KTOO 360 TV,https://www.lyngsat.com/tvchannels/us/KTOO-360-TV.html,False,
4056 Htp 18North America,DVB-S132503/4,4.0,KAKM-TV (PBS - Anchorage),,MPEG-2/SD,410.0,400 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KAKM-TV (PBS - Anchorage),https://www.lyngsat.com/tvchannels/us/KAKM-TV.html,False,
4056 Htp 18North America,DVB-S132503/4,12.0,University of Alaska TV,,MPEG-2/SD,310.0,300 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,University of Alaska TV,https://www.lyngsat.com/tvchannels/us/University-of-Alaska-TV.html,False,
4056 Htp 18North America,DVB-S132503/4,31.0,KUCB,,,,1120 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KUCB,https://www.lyngsat.com/radiochannels/us/KUCB.html,False,
4056 Htp 18North America,DVB-S132503/4,31.0,KUCB,,,,1120 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KUCB,https://www.lyngsat.com/radiochannels/us/KUCB.html,False,
4056 Htp 18North America,DVB-S132503/4,32.0,KUAC FM,,,,1122 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KUAC FM,https://www.lyngsat.com/radiochannels/us/KUAC-FM.html,False,
4056 Htp 18North America,DVB-S132503/4,32.0,KUAC FM,,,,1122 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KUAC FM,https://www.lyngsat.com/radiochannels/us/KUAC-FM.html,False,
4056 Htp 18North America,DVB-S132503/4,33.0,KOTZ Radio 720 AM,,,,1124 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KOTZ Radio 720 AM,https://www.lyngsat.com/radiochannels/us/KOTZ-Radio-720-AM.html,False,
4056 Htp 18North America,DVB-S132503/4,34.0,KCAW-FM,,,,1126 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KCAW-FM,https://www.lyngsat.com/radiochannels/us/KCAW-FM.html,False,
4056 Htp 18North America,DVB-S132503/4,35.0,Alaska Public Radio Network,,,,1128 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,Alaska Public Radio Network,https://www.lyngsat.com/radiochannels/us/Alaska-Public-Radio-Network.html,False,
4056 Htp 18North America,DVB-S132503/4,36.0,KSKA-FM,,,,1130 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KSKA-FM,https://www.lyngsat.com/radiochannels/us/KSKA-FM.html,False,
4056 Htp 18North America,DVB-S132503/4,37.0,KMXT,,,,1132 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KMXT,https://www.lyngsat.com/radiochannels/us/KMXT.html,False,
4056 Htp 18North America,DVB-S132503/4,37.0,KMXT,,,,1132 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KMXT,https://www.lyngsat.com/radiochannels/us/KMXT.html,False,
4056 Htp 18North America,DVB-S132503/4,38.0,KSDP 830 AM,,,,1134 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KSDP 830 AM,https://www.lyngsat.com/radiochannels/us/KSDP-830-AM.html,False,
4056 Htp 18North America,DVB-S132503/4,38.0,KSDP 830 AM,,,,1134 Eng,,,DVB-S,13250,3/4,4056 H,tp 18,,,,KSDP 830 AM,https://www.lyngsat.com/radiochannels/us/KSDP-830-AM.html,False,
