Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
3410 VC0,DVB-S2QPSK32003/4,1.0,LNTV 1,,4660-1MPEG-4/SD,257.0,4.0 310 Lao,,Albert I231101,DVB-S2,3200.0,3/4,3410 V,,0.0,,,,,,,False,
3410 VC0,DVB-S2QPSK32003/4,2.0,Lao National Radio 567 AM,,,,400 Lao,,,DVB-S2,3200.0,3/4,3410 V,,0.0,,,Lao National Radio 567 AM,https://www.lyngsat.com/radiochannels/la/Lao-National-Radio-567-AM.html,,,False,
3410 VC0,DVB-S2QPSK32003/4,2.0,Lao National Radio FM 1,,,,400 Lao,,,DVB-S2,3200.0,3/4,3410 V,,0.0,,,Lao National Radio FM 1,https://www.lyngsat.com/radiochannels/la/Lao-National-Radio-FM-1.html,,,False,
3414 VC0,DVB-S2QPSK32003/4,1.0,LNTV 3,,65535-1MPEG-4/HD,33.0,4.0  34 Lao,,Albert I200706,DVB-S2,3200.0,3/4,3414 V,,0.0,,,,,,,False,
3419 VC0,DVB-S28PSK12002/3,257.0,BTV Business,,?-?MPEG-4/SD,256.0,6.6 512 Nep,,Albert I230903,DVB-S2,1200.0,2/3,3419 V,,0.0,,,,,,,False,
3424 VC0,DVB-S2QPSK15003/4,1.0,Sagarmatha TV,,65535-1MPEG-4/SD,101.0,4.0 256 Nep,,A Zapara200229,DVB-S2,1500.0,3/4,3424 V,,0.0,,,,,,,False,
3427 VC0,DVB-S28PSK48002/3,1003.0,ABC News (Nepal),,0-0MPEG-4/HD,36.0,6.6  37 Nep,,Albert I230127,DVB-S2,4800.0,2/3,3427 V,,0.0,,,,,,,False,
3432 VC0,DVB-S2QPSK24003/4,1.0,Prime TV (Nepal),,?-?MPEG-4/HD,33.0,4.0  34 Nep,,Albert I210514,DVB-S2,2400.0,3/4,3432 V,,0.0,,,,,,,False,
3437 VC0,DVB-S28PSK56003/4,,Nepalese mux,,,,7.9,,Albert I220213,DVB-S2,5600.0,3/4,3437 V,,0.0,,,,,,,False,
3437 VC0,DVB-S28PSK56003/4,1000.0,Mountain TV (Nepal),,MPEG-4/HD,1001.0,1002 Nep,,,DVB-S2,5600.0,3/4,3437 V,,0.0,,,Mountain TV (Nepal),https://www.lyngsat.com/tvchannels/np/Mountain-TV.html,,,False,
3437 VC0,DVB-S28PSK56003/4,2000.0,Business Plus (Nepal),,MPEG-4/HD,2001.0,2002 Nep,,,DVB-S2,5600.0,3/4,3437 V,,0.0,,,Business Plus (Nepal),https://www.lyngsat.com/tvchannels/np/Business-Plus.html,,,False,
3437 VC0,DVB-S28PSK56003/4,3000.0,Bhakti Darshan TV,,MPEG-4/HD,3001.0,3002 Nep,,,DVB-S2,5600.0,3/4,3437 V,,0.0,,,Bhakti Darshan TV,https://www.lyngsat.com/tvchannels/np/Bhakti-Darshan-TV.html,,,False,
3446 VC0,DVB-S2QPSK36003/4,1.0,Lao Star,,?-?MPEG-4/HD,300.0,4.0 400 Lao,,C Sutton210916,DVB-S2,3600.0,3/4,3446 V,,0.0,,,,,,,False,
3478 VC0,DVB-S2QPSK32002/3,1.0,Lao Public Security TV,,?-?MPEG-4/SD,513.0,3.14113 Lao,,Albert I220817,DVB-S2,3200.0,2/3,3478 V,,0.0,,,,,,,False,
