Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3750 VC,DVB-S29003/4,1.0,DD Uttarakhand,,?-?MPEG-2/SD,522.0,5.5 650 Hin,,J Horváth200712,DVB-S,2900.0,3/4,3750 V,,,,,,,False,
3753 VC,DVB-S29003/4,,DD Chhattisgarh,,MPEG-2/SD,308.0,5.5 256 Hin,,M Hajdú191020,DVB-S,2900.0,3/4,3753 V,,,,,,,False,
3757 VC,DVB-S29003/4,,DD Jharkhand,,MPEG-2/SD,308.0,5.5 256 Hin,,M Hajdú191020,DVB-S,2900.0,3/4,3757 V,,,,,,,False,
3765 VC,DVB-S29003/4,,(DD feeds),,,,,,N Stanislav220731,DVB-S,2900.0,3/4,3765 V,,,,,,,False,
3774 VC,DVB-S29003/4,,(DD feeds),,,,,,M Hajdú201118,DVB-S,2900.0,3/4,3774 V,,,,,,,False,
3885 VC,DVB-S28PSK300003/4,12.0,(DD feeds),,,523.0,662,,,DVB-S2,30000.0,3/4,3885 V,,,,,,,False,
3885 VC,DVB-S28PSK300003/4,13.0,(DD feeds),,,524.0,663,,,DVB-S2,30000.0,3/4,3885 V,,,,,,,False,
3769 VC,DVB-S29003/4,1.0,DD Haryana,,65535-1MPEG-2/SD,308.0,5.5 256 Hin,,F Dibba210514,DVB-S,2900.0,3/4,3769 V,,,,,,,False,
3832 VC,DVB-S28PSK30003/4,,Gyandarshan 1,,,,7.9,,N Stanislav231029,DVB-S2,3000.0,3/4,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,,Gyandarshan 1,,,,7.9,,N Stanislav231029,DVB-S2,3000.0,3/4,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,1.0,Gyandarshan 1,,MPEG-4/HD,50.0,53 Hin,,,DVB-S2,3000.0,3/4,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,1.0,Gyandarshan 1,,MPEG-4/HD,50.0,53 Hin,,,DVB-S2,3000.0,3/4,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,2.0,Gyandarshan 1,,MPEG-4/SD,55.0,54 Hin,,,DVB-S2,3000.0,3/4,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,2.0,Gyandarshan 1,,MPEG-4/SD,55.0,54 Hin,,,DVB-S2,3000.0,3/4,3832 V,,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,Gyandarshan 1,https://www.lyngsat.com/tvchannels/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,3.0,[test card],,MPEG-4/SD,258.0,35,,,DVB-S2,3000.0,3/4,3832 V,,,,,,,False,Gyandarshan 1
4073 VC,DVB-S28PSK96003/4,6.0,[test card],,MPEG-4/SD,802.0,803,,,DVB-S2,9600.0,3/4,4073 V,,,,,,,False,Gyandarshan 1
