Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
10985 Htp 17Russia0,DVB-S28PSK350073/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240402,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240402,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240402,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
11665 VRussia0,DVB-S449225/6,,STV,,4371-11,,6.5,Irdeto,N Schlammer211002,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
11665 VRussia0,DVB-S449225/6,,STV,,4371-11,,6.5,Irdeto,N Schlammer211002,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
11665 VRussia0,DVB-S449225/6,,STV,,4371-11,,6.5,Irdeto,N Schlammer211002,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
12527 HRussia0,DVB-S28PSK350003/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240402,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
12527 HRussia0,DVB-S28PSK350003/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240402,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
12527 HRussia0,DVB-S28PSK350003/4,,STV,,4371-3,,7.9,Irdeto,N Stanislav240402,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,2.0,Mult,,MPEG-4/HD,1001.0,1110 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,2.0,Mult,,MPEG-4/HD,1001.0,1110 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,2.0,Mult,,MPEG-4/HD,1001.0,1110 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV
